Id	CharacterRecomend[1]	CharacterRecomend[2]	CharacterRecomend[3]
1010	1041002	1031001	
1011	1061002	1031002	
1012	1061003	1031003	
1020	1061002	1031001	
1021	1041002	1031002	
1022	1061003	1031003	
1030	1021001	1061002	
1031	1041002	1081002	
1032	1081002	1061003	
1040	1061002	1031001	
1041	1081002	1031002	
1042	1061003	1031003	
1050	1021001	1031001	
1051	1081002	1031002	
1052	1041002	1031003	
1060	1021001	1031001	
1061	1081002	1031002	
1062	1041002	1031003	
1070	1021001	1031001	
1071	1041002	1031002	
1072	1061003	1031003	
1080	1021001	1031001	
1081	1041002	1031002	
1082	1061003	1031003	
1090	1061002	1031001	
1091	1041002	1031002	
1092	1061003	1031003	
1100	1021002	1061002	
1101	1081002	1061002	
1102	1041002	1061003	
1110	1061002	1031001	
1111	1041002	1031002	
1112	1061003	1031003	
1120	1021002	1061002	
1121	1081002	1061003	
1122	1041002	1061003	
1130	1021002	1031001	
1131	1081002	1031002	
1132	1041002	1031003	
1140	1061002	1031001	
1141	1041002	1031002	
1142	1061003	1031003	
1143	1021001	1031001	
1144	1041002	1031002	
1145	1011003	1031003	
1146	1051001	1031001	
1147	1061002	1031002	
1148	1061003	1031003	
2010	1051001	1031001	
2011	1071002	1031002	
2012	1071002	1031003	
2020	1051001	1031001	
2021	1071002	1031002	
2022	1071003	1031003	
2030	1021001	1051001	
2031	1071002	1051001	
2032	1071003	1011003	
2040	1051001	1031001	
2041	1071002	1031002	
2042	1071003	1031003	
2050	1021001	1031001	
2051	1071002	1031002	
2052	1071003	1031003	
2060	1021001	1031001	
2061	1071002	1031002	
2062	1071003	1031003	
2070	1051001	1031001	
2071	1011003	1031002	
2072	1071003	1031003	
2080	1051001	1031001	
2081	1071002	1031002	
2082	1071003	1031003	
2090	1061002	1031001	
2091	1071002	1031002	
2092	1071003	1031003	
2100	1071002	1051001	
2101	1071002	1011003	
2102	1071003	1011003	
2110	1051001	1031001	
2111	1071002	1031002	
2112	1071003	1031003	
2120	1071002	1051001	
2121	1071002	1011003	
2122	1071003	1011003	
2130	1071002	1031001	
2131	1011003	1031002	
2132	1071003	1031003	
2140	1051001	1031001	
2141	1011003	1031002	
2142	1011003	1031003	
2143	1021001	1031001	
2144	1071002	1031002	
2145	1071003	1031003	
2146	1051001	1031001	
2147	1071003	1031002	
2148	1051003	1031003	
