Id	EquipRecomend	ChipRecomend[1]	ChipRecomend[2]	ChipRecomend[3]	ChipRecomend[4]	ChipRecomend[5]	ChipRecomend[6]
3010	2016001	3016001	3026001	3036002	3046001	3056001	3066002
3011	2015001	3016001	3026001	3036002	3046001	3056001	3066002
3012	2016001	3015001	3025001	3035003	3045001	3055001	3065003
3013	2015001	3015001	3025001	3035003	3045001	3055001	3065003
3020	2026001	3016001	3026001	3036012	3046001	3056001	3066012
3021	2025001	3016001	3026001	3036012	3046001	3056001	3066012
3022	2026001	3015001	3025001	3035002	3045001	3055001	3065002
3023	2025001	3015001	3025001	3035002	3045001	3055001	3065002
3030	2036001	3016010	3026010	3036011	3046010	3056010	3066011
3031	2035001	3016010	3026010	3036011	3046010	3056010	3066011
3032	2036001	3015006	3025006	3035007	3045006	3055006	3065007
3033	2035001	3015006	3025006	3035007	3045006	3055006	3065007
3040	2046001	3016006	3026006	3036001	3046006	3056006	3066001
3041	2045001	3016006	3026006	3036001	3046006	3056006	3066001
3042	2046001	3015002	3025002	3035001	3045002	3055002	3065001
3043	2045001	3015002	3025002	3035001	3045002	3055002	3065001
3050	2056001	3016008	3026008	3036009	3046008	3056008	3066009
3051	2055001	3016008	3026008	3036009	3046008	3056008	3066009
3052	2056001	3015004	3025004	3035005	3045004	3055004	3065005
3053	2055001	3015004	3025004	3035005	3045004	3055004	3065005
3060	2066001	3016007	3026007	3036008	3046007	3056007	3066008
3061	2065001	3016007	3026007	3036008	3046007	3056007	3066008
3062	2066001	3015004	3025004	3035005	3045004	3055004	3065005
3063	2065001	3015004	3025004	3035005	3045004	3055004	3065005
3070	2076001	3016005	3026005	3036004	3046005	3056005	3066004
3071	2075001	3016005	3026005	3036004	3046005	3056005	3066004
3072	2076001	3015002	3025002	3035003	3045002	3055002	3065003
3073	2075001	3015002	3025002	3035003	3045002	3055002	3065003
3080	2086001	3016001	3026001	3036012	3046001	3056001	3066012
3081	2085001	3016001	3026001	3036012	3046001	3056001	3066012
3082	2086001	3015001	3025001	3035002	3045001	3055001	3065002
3083	2085001	3015001	3025001	3035002	3045001	3055001	3065002
3090	2026002	3016003	3026003	3036012	3046003	3056003	3066012
3091	2025001	3016003	3026003	3036012	3046003	3056003	3066012
3092	2026002	3015003	3025003	3035001	3045003	3055003	3065001
3093	2025001	3015003	3025003	3035001	3045003	3055003	3065001
3100	2036002	3016010	3026010	3036003	3046010	3056010	3066003
3101	2035001	3016010	3026010	3036003	3046010	3056010	3066003
3102	2036002	3015006	3025006	3035003	3045006	3055006	3065003
3103	2035001	3015006	3025006	3035003	3045006	3055006	3065003
3110	2016002	3016005	3026005	3036004	3046005	3056005	3066004
3111	2015001	3016005	3026005	3036004	3046005	3056005	3066004
3112	2016002	3015001	3025001	3035002	3045001	3055001	3065002
3113	2015001	3015001	3025001	3035002	3045001	3055001	3065002
3120	2036003	3016010	3026010	3036011	3046010	3056010	3066011
3121	2035001	3016010	3026010	3036011	3046010	3056010	3066011
