Id	Path	Hight
1	Assets/Product/Effect/Prefab/FxSushe/FxQAngry.prefab	-1
2	Assets/Product/Effect/Prefab/FxSushe/FxQHappy01.prefab	-1
3	Assets/Product/Effect/Prefab/FxSushe/FxQMed01.prefab	-1
4	Assets/Product/Effect/Prefab/FxSushe/FxQTired.prefab	-1
5	Assets/Product/Effect/Prefab/FxSushe/FxQAnnoyyance.prefab	-1
6	Assets/Product/Effect/Prefab/FxSushe/FxQCabinet.prefab	-1
7	Assets/Product/Effect/Prefab/FxSushe/FxQClick.prefab	-1
8	Assets/Product/Effect/Prefab/FxSushe/FxQKiss.prefab	-1
9	Assets/Product/Effect/Prefab/FxSushe/FxQLazy.prefab	-1
10	Assets/Product/Effect/Prefab/FxSushe/FxQLove.prefab	-1
11	Assets/Product/Effect/Prefab/FxSushe/FxQMed01.prefab	-1
12	Assets/Product/Effect/Prefab/FxSushe/FxQQiumo.prefab	-1
13	Assets/Product/Effect/Prefab/FxSushe/FxQSleep.prefab	-1
14	Assets/Product/Effect/Prefab/FxSushe/FxQTiliHuifu.prefab	-1
15	Assets/Product/Effect/Prefab/FxSushe/FxQXiangsi.prefab	-1
16	Assets/Product/Effect/Prefab/FxSushe/FxQXinqingHuifu.prefab	-1
17	Assets/Product/Effect/Prefab/FxSushe/FxQXinqingTisheng.prefab	-1
18	Assets/Product/Effect/Prefab/FxSushe/FxQGift.prefab	-1
19	Assets/Product/Effect/Prefab/FxSushe/FxQClick01.prefab	-0.4
20	Assets/Product/Effect/Prefab/FxSushe/FxQNiuqu.prefab	-1
21	Assets/Product/Effect/Prefab/FxSushe/FxQSmoke.prefab	-1
22	Assets/Product/Effect/Prefab/FxSushe/FxQMindBed.prefab	-1
23	Assets/Product/Effect/Prefab/FxSushe/FxQMindCabinet.prefab	-1
24	Assets/Product/Effect/Prefab/FxSushe/FxQMindFondle.prefab	-1
25	Assets/Product/Effect/Prefab/FxSushe/FxQMindPoint.prefab	-1
26	Assets/Product/Effect/Prefab/FxSushe/FxQMindSofa.prefab	-1
27	Assets/Product/Effect/Prefab/FxSushe/FxQPoint.prefab	-1
28	Assets/Product/Effect/Prefab/FxSushe/FxQShijianWancheng.prefab	-1
