Id	TemplateId	Count	Params[0]	Params[1]	Params[2]
1011002	1011002		1	2	1
1041002	1041002		1	2	1
1051001	1051001		1	1	1
1061002	1061002		1	2	1
1071002	1071002		1	2	1
1081002	1081002		1	2	1
1021002	1021002		1	2	1
1031002	1031002		1	2	1
1061003	1061003		1	3	1
1031003	1031003		1	3	1
1011003	1011003		1	3	1
1071003	1071003		1	3	1
1021001	1021001		1	1	1
1031001	1031001		1	1	1
1051003	1051003		1	3	1
2013001	2013001		1	0	
2014001	2014001		1	0	
2015001	2015001		1	0	
2016001	2016001		1	0	
2016002	2016002		1	0	
2022001	2022001		1	0	
2023001	2023001		1	0	
2024001	2024001		1	0	
2025001	2025001		1	0	
2026001	2026001		1	0	
2026002	2026002		1	0	
2026003	2026003		1	0	
2032001	2032001		1	0	
2033001	2033001		1	0	
2034001	2034001		1	0	
2035001	2035001		1	0	
2036001	2036001		1	0	
2036002	2036002		1	0	
2036003	2036003		1	0	
2043001	2043001		1	0	
2044001	2044001		1	0	
2045001	2045001		1	0	
2046001	2046001		1	0	
2053001	2053001		1	0	
2054001	2054001		1	0	
2055001	2055001		1	0	
2056001	2056001		1	0	
2056002	2056002		1	0	
2063001	2063001		1	0	
2064001	2064001		1	0	
2065001	2065001		1	0	
2066001	2066001		1	0	
2066002	2066002		1	0	
2073001	2073001		1	0	
2074001	2074001		1	0	
2075001	2075001		1	0	
2076001	2076001		1	0	
2076002	2076002		1	0	
2083001	2083001		1	0	
2084001	2084001		1	0	
2085001	2085001		1	0	
2086001	2086001		1	0	
2991001	2991001		1	0	
2992001	2992001		1	0	
2993001	2993001		1	0	
2994001	2994001		1	0	
3911001	3911001		1	0	
3912001	3912001		1	0	
3913001	3913001		1	0	
3914001	3914001		1	0	
3915001	3915001		1	0	
3921001	3921001		1	0	
3922001	3922001		1	0	
3923001	3923001		1	0	
3924001	3924001		1	0	
3925001	3925001		1	0	
3931001	3931001		1	0	
3932001	3932001		1	0	
3933001	3933001		1	0	
3934001	3934001		1	0	
3935001	3935001		1	0	
3941001	3941001		1	0	
3942001	3942001		1	0	
3943001	3943001		1	0	
3944001	3944001		1	0	
3945001	3945001		1	0	
3951001	3951001		1	0	
3952001	3952001		1	0	
3953001	3953001		1	0	
3954001	3954001		1	0	
3955001	3955001		1	0	
3961001	3961001		1	0	
3962001	3962001		1	0	
3963001	3963001		1	0	
3964001	3964001		1	0	
3965001	3965001		1	0	
3012001	3012001		1	0	
3013001	3013001		1	0	
3013002	3013002		1	0	
3014001	3014001		1	0	
3014002	3014002		1	0	
3014003	3014003		1	0	
3014004	3014004		1	0	
3015001	3015001		1	0	
3015002	3015002		1	0	
3015003	3015003		1	0	
3015004	3015004		1	0	
3015005	3015005		1	0	
3015006	3015006		1	0	
3015007	3015007		1	0	
3015008	3015008		1	0	
3016001	3016001		1	0	
3016002	3016002		1	0	
3016003	3016003		1	0	
3016004	3016004		1	0	
3016005	3016005		1	0	
3016006	3016006		1	0	
3016007	3016007		1	0	
3016008	3016008		1	0	
3016009	3016009		1	0	
3016010	3016010		1	0	
3016011	3016011		1	0	
3022001	3022001		1	0	
3023001	3023001		1	0	
3023002	3023002		1	0	
3024001	3024001		1	0	
3024002	3024002		1	0	
3024003	3024003		1	0	
3024004	3024004		1	0	
3025001	3025001		1	0	
3025002	3025002		1	0	
3025003	3025003		1	0	
3025004	3025004		1	0	
3025005	3025005		1	0	
3025006	3025006		1	0	
3025007	3025007		1	0	
3025008	3025008		1	0	
3026001	3026001		1	0	
3026002	3026002		1	0	
3026003	3026003		1	0	
3026004	3026004		1	0	
3026005	3026005		1	0	
3026006	3026006		1	0	
3026007	3026007		1	0	
3026008	3026008		1	0	
3026009	3026009		1	0	
3026010	3026010		1	0	
3026011	3026011		1	0	
3032001	3032001		1	0	
3033001	3033001		1	0	
3033002	3033002		1	0	
3034001	3034001		1	0	
3034002	3034002		1	0	
3034003	3034003		1	0	
3034004	3034004		1	0	
3035001	3035001		1	0	
3035002	3035002		1	0	
3035003	3035003		1	0	
3035004	3035004		1	0	
3035005	3035005		1	0	
3035006	3035006		1	0	
3035007	3035007		1	0	
3035008	3035008		1	0	
3036001	3036001		1	0	
3036002	3036002		1	0	
3036003	3036003		1	0	
3036004	3036004		1	0	
3036005	3036005		1	0	
3036006	3036006		1	0	
3036007	3036007		1	0	
3036008	3036008		1	0	
3036009	3036009		1	0	
3036010	3036010		1	0	
3036011	3036011		1	0	
3042001	3042001		1	0	
3043001	3043001		1	0	
3043002	3043002		1	0	
3044001	3044001		1	0	
3044002	3044002		1	0	
3044003	3044003		1	0	
3044004	3044004		1	0	
3045001	3045001		1	0	
3045002	3045002		1	0	
3045003	3045003		1	0	
3045004	3045004		1	0	
3045005	3045005		1	0	
3045006	3045006		1	0	
3045007	3045007		1	0	
3045008	3045008		1	0	
3046001	3046001		1	0	
3046002	3046002		1	0	
3046003	3046003		1	0	
3046004	3046004		1	0	
3046005	3046005		1	0	
3046006	3046006		1	0	
3046007	3046007		1	0	
3046008	3046008		1	0	
3046009	3046009		1	0	
3046010	3046010		1	0	
3046011	3046011		1	0	
3052001	3052001		1	0	
3053001	3053001		1	0	
3053002	3053002		1	0	
3054001	3054001		1	0	
3054002	3054002		1	0	
3054003	3054003		1	0	
3054004	3054004		1	0	
3055001	3055001		1	0	
3055002	3055002		1	0	
3055003	3055003		1	0	
3055004	3055004		1	0	
3055005	3055005		1	0	
3055006	3055006		1	0	
3055007	3055007		1	0	
3055008	3055008		1	0	
3056001	3056001		1	0	
3056002	3056002		1	0	
3056003	3056003		1	0	
3056004	3056004		1	0	
3056005	3056005		1	0	
3056006	3056006		1	0	
3056007	3056007		1	0	
3056008	3056008		1	0	
3056009	3056009		1	0	
3056010	3056010		1	0	
3056011	3056011		1	0	
3062001	3062001		1	0	
3063001	3063001		1	0	
3063002	3063002		1	0	
3064001	3064001		1	0	
3064002	3064002		1	0	
3064003	3064003		1	0	
3064004	3064004		1	0	
3065001	3065001		1	0	
3065002	3065002		1	0	
3065003	3065003		1	0	
3065004	3065004		1	0	
3065005	3065005		1	0	
3065006	3065006		1	0	
3065007	3065007		1	0	
3065008	3065008		1	0	
3066001	3066001		1	0	
3066002	3066002		1	0	
3066003	3066003		1	0	
3066004	3066004		1	0	
3066005	3066005		1	0	
3066006	3066006		1	0	
3066007	3066007		1	0	
3066008	3066008		1	0	
3066009	3066009		1	0	
3066010	3066010		1	0	
3066011	3066011		1	0	
31	31		1	0	
11001	11001		1	0	
11003	11003		1	0	
11004	11004		1	0	
11006	11006		1	0	
32	32		1	0	
33	33		1	0	
33	33		1	0	
36	36		1	0	
