Key	UiTemplate	UiCotainer	RollCharRandomRangeHorizontal	RollCharRandomRangeVertical	RollCharMinDir	RollCharMaxDir	RollCharSpeed	RollCharLifeTime	RollCharStayTime	RollCharStayDuration	RollCharBeginOpacity	RollCharEndOpacity	RollCharChangeOpacityTime	RollCharOffsetX	RollCharOffsetY
Normal	NormalTemplate	NormalContainer	50	55	-20	-25	120	0.5	0.1	0.4	0.2	0.6	0.1	20	-65
Crit	CritTemplate	NormalContainer	50	55	-20	-25	120	0.7	0.1	0.4	0.2	1	0.1	20	-65
Fire	FireTemplate	NormalContainer	50	55	-20	-25	120	0.5	0.1	0.4	0.2	0.6	0.1	20	-65
Electric	ThunderTemplate	NormalContainer	50	55	-20	-25	120	0.5	0.1	0.4	0.2	0.6	0.1	20	-65
Ice	IceTemplate	NormalContainer	50	55	-20	-25	120	0.5	0.1	0.4	0.2	0.6	0.1	20	-65
Dark	DarkTemplate	NormalContainer	50	55	-20	-25	120	0.5	0.1	0.4	0.2	0.6	0.1	20	-65
Lifesteal	SuckBloodTemplate	NormalContainer	50	55	-20	-25	120	0.7	0.1	0.4	0.2	1	0.1	20	-65
Cure	CureTemplate	NormalContainer	15	15	0	0	160	0.75	0.5	1.5	0	1	0.2	0	60
NormalMyself	NormalToSelfTemplate	NormalContainer	40	20	35	40	-150	0.75	0.5	1.5	0.5	0.8	0.1	-30	20
CritMyself	CritToSelfTemplate	NormalContainer	40	20	35	40	-150	0.75	0.5	1.5	0.5	1	0.1	-30	20
FireMyself	FireToSelfTemplate	NormalContainer	40	20	35	40	-150	0.75	0.5	1.5	0.5	0.8	0.1	-30	20
ElectricMyself	ThunderToSelfTemplate	NormalContainer	40	20	35	40	-150	0.75	0.5	1.5	0.5	0.8	0.1	-30	20
IceMyself	IceToSelfTemplate	NormalContainer	40	20	35	40	-150	0.75	0.5	1.5	0.5	0.8	0.1	-30	20
DarkMyself	DarkToSelfTemplate	NormalContainer	40	20	35	40	-150	0.75	0.5	1.5	0.5	0.8	0.1	-30	20
LifestealMyself	SuckBloodToSelfTemplate	NormalContainer	40	20	35	40	-150	0.75	0.5	1.5	0.5	1	0.1	-30	20
CureMyself	CureToSelfTemplate	NormalContainer	15	15	0	0	160	0.75	0.5	1.5	0	1	0.2	0	60
