UiName	ParentUiName	LoadWithParent	UiType	UiResType	ClassType	PrefabUrl	SceneUrl	IgnoreFailure	CacheTime
UiActivityBase			Normal	Bundle		Assets/Product/Ui/Prefab/UiActivityBase.prefab			5000
UiActivityBaseChild	UiActivityBase			Bundle		Assets/Product/Ui/Prefab/UiActivityBaseChild.prefab			5000
UiGameNotice	UiActivityBase			Bundle		Assets/Product/Ui/Prefab/UiGameNotice.prefab			5000
UiActivityBossSingle			Normal	Bundle		Assets/Product/Ui/Prefab/UiActivityBossSingle.prefab			5000
UiActivityBossSingleDetail			Normal	Bundle		Assets/Product/Ui/Prefab/UiActivityBossSingleDetail.prefab			5000
UiActivityBranch			Normal	Bundle		Assets/Product/Ui/Prefab/UiActivityBranch.prefab			5000
UiFubenBranchStageDetail	UiActivityBranch			Bundle		Assets/Product/Ui/Prefab/UiFubenBranchStageDetail.prefab			5000
UiActivityBranchReward			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiActivityBranchReward.prefab			5000
UiArena			Normal	Bundle		Assets/Product/Ui/Prefab/UiArena.prefab			5000
UiArenaActivityResult			Popup	Bundle		Assets/Product/Ui/Prefab/UiArenaActivityResult.prefab			5000
UiArenaFightResult			Normal	Bundle		Assets/Product/Ui/Prefab/UiArenaFightResult.prefab			5000
UiArenaLevelDetail			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiArenaLevelDetail.prefab			5000
UiArenaStage			Normal	Bundle		Assets/Product/Ui/Prefab/UiArenaStage.prefab			5000
UiArenaTask			Normal	Bundle		Assets/Product/Ui/Prefab/UiArenaTask.prefab			5000
UiArenaTeam			Normal	Bundle		Assets/Product/Ui/Prefab/UiArenaTeam.prefab			5000
UiArenaTeamRank			Normal	Bundle		Assets/Product/Ui/Prefab/UiArenaTeamRank.prefab			5000
UiArenaWarZone			Normal	Bundle		Assets/Product/Ui/Prefab/UiArenaWarZone.prefab			5000
UiAutoFightDialog			Dialog	Bundle		Assets/Product/Ui/Prefab/UiAutoFightDialog.prefab			5000
UiAutoFightList			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiAutoFightList.prefab			5000
UiAutoFightReward			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiAutoFightReward.prefab			5000
UiAutoFightTip			Tips	Bundle		Assets/Product/Ui/Prefab/UiAutoFightTip.prefab			5000
UiAutoWindow			Tips	Bundle		Assets/Product/Ui/Prefab/UiAutoWindow.prefab			5000
UiAwarenessTf			Normal	Bundle		Assets/Product/Ui/Prefab/UiAwarenessTf.prefab			5000
UiAwarenessTfChoice			Normal	Bundle		Assets/Product/Ui/Prefab/UiAwarenessTfChoice.prefab			5000
UiAwarenessTfResult			Normal	Bundle		Assets/Product/Ui/Prefab/UiAwarenessTfResult.prefab			5000
UiBag			Normal	Bundle		Assets/Product/Ui/Prefab/UiBag.prefab			5000
UiBagItemInfoPanel			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiBagItemInfoPanel.prefab			5000
UiBaseEquip			Normal	Bundle		Assets/Product/Ui/Prefab/UiBaseEquip.prefab			5000
UiBfrtDeploy			Normal	Bundle		Assets/Product/Ui/Prefab/UiBfrtDeploy.prefab			5000
UiBfrtInfo			Dialog	Bundle		Assets/Product/Ui/Prefab/UiBfrtInfo.prefab			5000
UiBfrtPostWarCount			Normal	Bundle		Assets/Product/Ui/Prefab/UiBfrtPostWarCount.prefab			5000
UiBfrtRoomCharacter			Normal	Bundle		Assets/Product/Ui/Prefab/UiBfrtRoomCharacter.prefab	Assets/Product/Ui/Scene3DPrefab/UiCharacter3d.prefab		5000
UiTipBfrtLogisticSkill			Dialog	Bundle		Assets/Product/Ui/Prefab/UiTipBfrtLogisticSkill.prefab			5000
UiBuyAsset			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiBuyAsset.prefab			5000
UiUnlockShow			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiUnlockShow.prefab			5000
UiLeftPopupTip			Tips	Bundle		Assets/Product/Ui/Prefab/UiLeftPopupTip.prefab			5000
UiCharacter			Normal	Bundle		Assets/Product/Ui/Prefab/UiCharacter.prefab	Assets/Product/Ui/Scene3DPrefab/UiCharacter3d.prefab		5000
UiPanelCharacterExchange	UiCharacter			Bundle		Assets/Product/Ui/Prefab/UiPanelCharacterExchange.prefab			5000
UiCharacterCarerrTips			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiCharacterCarerrTips.prefab			5000
UiCharacterOwnedInfo	UiCharacter	1		Bundle		Assets/Product/Ui/Prefab/UiCharacterOwnedInfo.prefab			5000
UiCharacterUnOwnedInfo	UiCharacter			Bundle		Assets/Product/Ui/Prefab/UiCharacterUnOwnedInfo.prefab			5000
UiPanelCharProperty	UiCharacter			Bundle		Assets/Product/Ui/Prefab/UiPanelCharProperty.prefab			5000
UiPanelQualityPreview			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiPanelQualityPreview.prefab			5000
UiPanelSkillTeach			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiPanelSkillTeach.prefab			5000
UiCharacterDetail			Normal	Bundle		Assets/Product/Ui/Prefab/UiCharacterDetail.prefab			5000
UiPanelEquipInfo	UiCharacterDetail	1		SetGameObject		UiPanelEquipInfo			5000
UiPanelTeamInfo	UiCharacterDetail	1		SetGameObject		UiPanelTeamInfo			5000
UiChatServeMain			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiChatServeMain.prefab			5000
UiTipLayer			Tips	Bundle		Assets/Product/Ui/Prefab/UiTipLayer.prefab			5000
UiDialog			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiDialog.prefab			5000
UiBlackScreen			Top	Bundle		Assets/Product/Ui/Prefab/UiBlackScreen.prefab			5000
UiFurnitureBuild			Normal	Bundle		Assets/Product/Ui/Prefab/UiFurnitureBuild.prefab			5000
UiFurnitureReform			Normal	Bundle		Assets/Product/Ui/Prefab/UiFurnitureReform.prefab			5000
UiDormBag			Normal	Bundle		Assets/Product/Ui/Prefab/UiDormBag.prefab			5000
UiDormBagRecycle			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiDormBagRecycle.prefab			5000
UiDormCharacterLikeInfo			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiDormCharacterLikeInfo.prefab			5000
UiDormCharacterDetail			Normal	Bundle		Assets/Product/Ui/Prefab/UiDormCharacterDetail.prefab	Assets/Product/Ui/Scene3DPrefab/UiCharacter3d.prefab		5000
UiDormComponent			Hud	Bundle		Assets/Product/Ui/Prefab/UiDormComponent.prefab			5000
UiDormFieldGuide			Normal	Bundle		Assets/Product/Ui/Prefab/UiDormFieldGuide.prefab			5000
UiDormMain			Normal	Bundle		Assets/Product/Ui/Prefab/UiDormMain.prefab			5000
UiDormPerson			Normal	Bundle		Assets/Product/Ui/Prefab/UiDormPerson.prefab			5000
UiDormSecond			Normal	Bundle		Assets/Product/Ui/Prefab/UiDormSecond.prefab			5000
UiDormVisit			Normal	Bundle		Assets/Product/Ui/Prefab/UiDormVisit.prefab			5000
UiDormWork			Normal	Bundle		Assets/Product/Ui/Prefab/UiDormWork.prefab			5000
UiDraw			Normal	Bundle		Assets/Product/Ui/Prefab/UiDraw.prefab	Assets/Product/Ui/Scene3DPrefab/UiDraw.prefab		5000
UiDrawOptional	UiDraw			Bundle		Assets/Product/Ui/Prefab/UiDrawOptional.prefab			5000
UiDrawPreview	UiDraw			Bundle		Assets/Product/Ui/Prefab/UiDrawPreview.prefab			5000
UiDrawSuitPreview	UiDraw			Bundle		Assets/Product/Ui/Prefab/UiDrawSuitPreview.prefab			5000
UiDrawBuyVoucher			Popup	Bundle		Assets/Product/Ui/Prefab/UiDrawBuyVoucher.prefab			5000
UiDrawGroup			Normal	Bundle		Assets/Product/Ui/Prefab/UiDrawGroup.prefab			5000
UiDrawMain			Normal	Bundle		Assets/Product/Ui/Prefab/UiDrawMain.prefab			5000
UiDrawResult			Normal	Bundle		Assets/Product/Ui/Prefab/UiDrawResult.prefab			5000
UiDrawRule			Popup	Bundle		Assets/Product/Ui/Prefab/UiDrawRule.prefab			5000
UiDrawShow	UiDraw			Bundle		Assets/Product/Ui/Prefab/UiDrawShow.prefab	Assets/Product/Ui/Scene3DPrefab/UiDraw.prefab		5000
UiEnterFight			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiEnterFight.prefab			5000
UiEquipAwarenessReplace			Normal	Bundle		Assets/Product/Ui/Prefab/UiEquipAwarenessReplace.prefab			5000
UiEquipAwarenessPopup	UiEquipAwarenessReplace			Bundle		Assets/Product/Ui/Prefab/UiEquipAwarenessPopup.prefab			5000
UiEquipBreakThroughPopUp			Tips	Bundle		Assets/Product/Ui/Prefab/UiEquipBreakThroughPopUp.prefab			5000
UiEquipLevelUpTips			Tips	Bundle		Assets/Product/Ui/Prefab/UiEquipLevelUpTips.prefab			5000
UiEquipDetail			Normal	Bundle		Assets/Product/Ui/Prefab/UiEquipDetail.prefab	Assets/Product/Ui/Scene3DPrefab/UiCharacter3d.prefab		5000
UiEquipBreakThrough	UiEquipDetail			Bundle		Assets/Product/Ui/Prefab/UiEquipBreakThrough.prefab			5000
UiEquipDetailChild	UiEquipDetail			Bundle		Assets/Product/Ui/Prefab/UiEquipDetailChild.prefab			5000
UiEquipResonanceSelect	UiEquipDetail			Bundle		Assets/Product/Ui/Prefab/UiEquipResonanceSelect.prefab			5000
UiEquipResonanceSelectCharacter	UiEquipDetail			Bundle		Assets/Product/Ui/Prefab/UiEquipResonanceSelectCharacter.prefab			5000
UiEquipResonanceSelectEquip	UiEquipDetail			Bundle		Assets/Product/Ui/Prefab/UiEquipResonanceSelectEquip.prefab			5000
UiEquipResonanceSkill	UiEquipDetail			Bundle		Assets/Product/Ui/Prefab/UiEquipResonanceSkill.prefab			5000
UiEquipStrengthen	UiEquipDetail			Bundle		Assets/Product/Ui/Prefab/UiEquipStrengthen.prefab			5000
UiEquipStrengthenSkip			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiEquipStrengthenSkip.prefab			5000
UiEquipCanBreakthroughTip			Popup	Bundle		Assets/Product/Ui/Prefab/UiEquipCanBreakthroughTip.prefab			5000
UiEquipReplaceNew			Normal	Bundle		Assets/Product/Ui/Prefab/UiEquipReplaceNew.prefab			5000
UiEquipResonanceSelectAfter			Normal	Bundle		Assets/Product/Ui/Prefab/UiEquipResonanceSelectAfter.prefab	Assets/Product/Ui/Scene3DPrefab/UiCharacter3d.prefab		5000
UiEquipResonanceSkillPreview			Popup	Bundle		Assets/Product/Ui/Prefab/UiEquipResonanceSkillPreview.prefab			5000
UiEquipResonanceSkillDetailInfo			Popup	Bundle		Assets/Product/Ui/Prefab/UiEquipResonanceSkillDetailInfo.prefab			5000
UiExhibition			Normal	Bundle		Assets/Product/Ui/Prefab/UiExhibition.prefab			5000
UiExhibitionInfo			Normal	Bundle		Assets/Product/Ui/Prefab/UiExhibitionInfo.prefab	Assets/Product/Ui/Scene3DPrefab/UiCharacter3d.prefab		5000
UiExhibitionGroupTip			NormalPopup	Bundle		Assets/Product/Ui/Prefab/UiExhibitionGroupTip.prefab			5000
UiFashion			Normal	Bundle		Assets/Product/Ui/Prefab/UiFashion.prefab	Assets/Product/Ui/Scene3DPrefab/UiCharacter3d.prefab		5000
UiFavorability			Normal	Bundle		Assets/Product/Ui/Prefab/UiFavorability.prefab	Assets/Product/Ui/Scene3DPrefab/UiMain3d.prefab		5000
UiFavorabilityLineRoomCharacter			Normal	Bundle		Assets/Product/Ui/Prefab/UiFavorabilityLineRoomCharacter.prefab	Assets/Product/Ui/Scene3DPrefab/UiCharacter3d.prefab		5000
UiFirstGetPopUp			Popup	Bundle		Assets/Product/Ui/Prefab/UiFirstGetPopUp.prefab			5000
UiFuben			Normal	Bundle		Assets/Product/Ui/Prefab/UiFuben.prefab			5000
UiFubenActivityBanner	UiFuben			Bundle		Assets/Product/Ui/Prefab/UiFubenActivityBanner.prefab			5000
UiFubenChallengeBanner	UiFuben			Bundle		Assets/Product/Ui/Prefab/UiFubenChallengeBanner.prefab			5000
