Id	UiName	ModelName	PositionX	PositionY	PositionZ	RotationX	RotationY	RotationZ	ScaleX	ScaleY	ScaleZ
1	UiPanelBossDetail	Mb1LuolanMd010001	0	0	0	0	0	0	1	1	1
2	UiPanelBossDetail	Me1SwordMd002001	0	0	0	0	0	0	0.65	0.65	0.65
3	UiPanelBossDetail	Mb1OrphanMd030001	0	0	0	0	0	0	0.42	0.42	0.42
4	UiPanelBossDetail	Mb1SandwormMd030001	0	0	0	0	0	0	0.3	0.3	0.3
5	UiPanelBossDetail	R3LuxiyaMd010011	0	0	0	0	0	0	1	1	1
6	UiPanelBossDetail	Mb1SwordMd030001	0	0	0	0	0	0	0.89	0.89	0.89
7	UiPanelBossDetail	Mb1BraveMd010011	0	0.27	0	0	0	0	0.4	0.4	0.4
8	UiPanelBossDetail	Mb1VirginbioMd030001	0	0	0	0	0	0	0.72	0.72	0.72
9	UiPanelBossDetail	Mb1XiuMd010001	0	0	0	0	0	0	1	1	1
10	UiOnlineBoss	Mb1OsirisMd000001	0	0	-3.5	0	0	0	2.5	2.5	2.5
11	UiOnlineBoss	Mb1TankarmorMd030001	0	0	-13	0	0	0	1.4	1.4	1.4
12	UiOnlineBoss	Mb1LadyMd10001	0	0	0	0	0	0	2	2	2
13	UiActivityBossSingleDetail1	Mb1LuosaitaMd010001	0	0	0	0	0	0	2	2	2
14	UiActivityBossSingleDetail2	Mb1LuosaitaMd010001	0	0	0	0	0	0	2	2	2
15	UiActivityBossSingleDetail3	Mb1LuosaitaMd010001	0	0	0	0	0	0	2	2	2
16	UiActivityBossSingleDetail4	Mb1LuosaitaMd010011	0	0	0	0	0	0	2	2	2
17	UiActivityBossSingleDetail5	Mb1LuosaitaMd010011	0	0	0	0	0	0	2	2	2
18	UiActivityBossSingleSkillInfo1	Mb1LuosaitaMd010001	0	0	0	0	0	0	2	2	2
19	UiActivityBossSingleSkillInfo2	Mb1LuosaitaMd010001	0	0	0	0	0	0	2	2	2
20	UiActivityBossSingleSkillInfo3	Mb1LuosaitaMd010001	0	0	0	0	0	0	2	2	2
21	UiActivityBossSingleSkillInfo4	Mb1LuosaitaMd010011	0	0	0	0	0	0	2	2	2
22	UiActivityBossSingleSkillInfo5	Mb1LuosaitaMd010011	0	0	0	0	0	0	2	2	2
