Id	RunSpeed	WalkSpeed	TurnRoundSpeed	Life	AttackNormal	DefenseNormal	Crit	CritP	AntiDefenseNormal	AttackMagic1	AttackMagic2	AttackMagic3	AttackMagic4	AntiDamageMagicImmunity	AntiAttackNormal	AntiAttackMagic1	AntiAttackMagic2	AntiAttackMagic3	AntiAttackMagic4	DamageChangeP	DamageNormalChangeP	DamageMagic1ChangeP	DamageMagic2ChangeP	DamageMagic3ChangeP	DamageMagic4ChangeP	AntiDamageChangeP	AntiDamageNormalChangeP	AntiDamageMagic1ChangeP	AntiDamageMagic2ChangeP	AntiDamageMagic3ChangeP	AntiDamageMagic4ChangeP	Energy	BallInterval	DamageNormalImmunity	DamageMagicImmunity	AntiDamageNormalImmunity	Damage1P	Damage2P	Damage3P	CritDamageP	AntiCritP	AntiCritDamageP	Lifesteal	LifestealP	CureChangeP	AntiCureChangeP	Endure	ThreatRateP	DodgeEnergy	DodgeEnergyAutoRecovery	CustomEnergy
1	5	5	3600	99999	15	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	2500	2500	2500	2500	500	1.5	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	100
2	5	5	240	10	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	2000	2000	2000	2000	500	999999	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	100	1000	1000	100	100
3	6	1.8	30	999999	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	999999	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	100	1000	1000	100	100
4	6	1.8	30	999999	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	999999	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	100	1000	1000	100	100
5	6	1.8	30	999999	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	999999	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	100	1000	1000	100	100
6	5	3	480	999999	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	999999	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	100	1000	1000	100	100
7	5	5	240	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2500	2500	2500	2500	100	0	0	0	0	10000	10000	10000	20000	0	0	0	0	0	0	0	1000	0	0	100
8	5	5	240	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2500	2500	2500	2500	100	0	0	0	0	10000	10000	10000	20000	0	0	0	0	0	0	0	1000	0	0	100
10	6	1.5	600	99999	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	999999	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	100	1000	1000	100	100
11	7	7	240	999999	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	999999	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	100	1000	1000	100	100
12	5	0.8	240	99999	15	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	1.5	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	100
13	7	7	3600	99999	15	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	1.5	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	100
14	10	9	0	4	1	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	999999	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	100
15	6	5	0	2	1	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	999999	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	100
16	6	5	0	5	1	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	999999	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	100
17	6	5	0	10	1	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	999999	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	100
18	6	5	0	20	1	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	999999	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	100
19	6	5	0	30	1	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	999999	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	100
20	5	3	0	500	1	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	999999	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	100
21	10	9	0	50000	1	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	999999	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	100
83	3.5	1.5	50	1400	100	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	999999	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	50	100
84	3.5	1.5	20	80	50	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	999999	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	100
85	3.5	1.5	20	1400	100	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	999999	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	20	100
86	3.5	1.3	120	99999	100	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	999999	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	20	100
87	5	5	700	99999	15	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	1.5	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	100
88	4.3	4.3	180	500	15	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	999999	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	100
89	3.5	3.5	3600	500	15	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	999999	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	0
832	10.5	2	240	500	15	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	999999	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	0
833	7	3	360	500	15	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	999999	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	0
90	5	5	700	99999	15	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	1.5	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	100
91	5	5	700	99999	15	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	1.5	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	150
92	5	5	700	99999	15	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	1.5	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	4
93	5	5	700	99999	15	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	1.5	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	120
94	5	5	700	99999	15	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	120	1.5	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	120
95	6	0.1	240	99999	15	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	1.5	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	100
96	5	5	700	99999	15	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	90	1.5	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	54
8737	20	20	240	10	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	2000	2000	2000	2000	500	999999	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	100	1000	1000	100	100
1018	5	5	700	99999	15	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	1.5	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	200
1002	5	5	700	99999	15	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	1.5	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	100
1009	5	5	700	99999	15	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	1.5	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	100
1004	5	5	700	99999	15	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	1.5	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	3
1016	5	5	700	99999	15	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	120	1.5	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	120
1023	5	5	700	99999	15	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	1.5	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	4
1017	5	5	700	99999	15	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	1.5	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	100
1006	5	5	700	99999	15	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	1.5	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	120
1011	5	5	700	99999	15	0	0	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	500	1.5	0	0	0	10000	10000	10000	0	0	0	0	0	0	0	0	1000	1000	100	100
