Id	StageId	Name	Desc	SmallRoleIcon	RoleIcon	StageIcon	EnterAnimation[1]	EnterAnimation[2]	EnterAnimation[3]	DifficultLevel	TextColor	DifficultLevelIcon	DifficultLevelIconX	RewardId	RandomWeightList[0]	RandomWeightList[1]	RandomWeightList[2]	RandomWeightList[3]
1	30060103	危险度S修女	构造体在战场上失踪事件频繁发生,请前往事件地点调查。	Assets/Product/Texture/Image/Role/RoleHeadMoney02.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead02.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	3	<color=#ffaa50>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality3.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality3x.png	40000	0	0	275	275
2	30060203	危险度S消防卫士	检测到强大的消防卫士，请尽快击败它。	Assets/Product/Texture/Image/Role/RoleHeadMoney11.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead11.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	3	<color=#ffaa50>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality3.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality3x.png	40001	0	0	275	275
3	30060302	危险度A喷涂机械	感染体聚集在一台未启动的喷涂机械周围，请前往事件地点调查。	Assets/Product/Texture/Image/Role/RoleHeadMoney01.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead01.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	2	<color=#a16dff>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality2.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality2x.png	40002	0	268	268	268
4	30060303	危险度S喷涂机械	感染体聚集在一台未启动的喷涂机械周围，请前往事件地点调查。	Assets/Product/Texture/Image/Role/RoleHeadMoney01.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead01.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	3	<color=#ffaa50>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality3.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality3x.png	40003	0	165	275	275
5	30060402	危险度A武藏玖型	检测到未被感染的武藏玖型，请赶在它被感染体摧毁之前回收他。	Assets/Product/Texture/Image/Role/RoleHeadMoney07.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead07.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	2	<color=#a16dff>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality2.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality2x.png	40004	0	268	268	268
6	30060403	危险度S武藏玖型	检测到未被感染的武藏玖型，请赶在它被感染体摧毁之前回收他。	Assets/Product/Texture/Image/Role/RoleHeadMoney07.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead07.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	3	<color=#ffaa50>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality3.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality3x.png	40005	0	165	275	275
7	30060601	危险度B禁卫	目标区域出现大量禁卫，请击败他们。	Assets/Product/Texture/Image/Role/RoleHeadMoney05.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead05.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	1	<color=#60c1ff>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality1.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality1x.png	40006	503	503	503	503
8	30060602	危险度A禁卫	目标区域出现大量禁卫，请击败他们。	Assets/Product/Texture/Image/Role/RoleHeadMoney05.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead05.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	2	<color=#a16dff>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality2.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality2x.png	40007	335	268	268	268
9	30060603	危险度S禁卫	目标区域出现大量禁卫，请击败他们。	Assets/Product/Texture/Image/Role/RoleHeadMoney05.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead05.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	3	<color=#ffaa50>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality3.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality3x.png	40008	413	165	275	275
10	30061101	危险度B浪人肆型	危险的浪人肆型追求着生死一战的快感，请前往目标区域击败它。	Assets/Product/Texture/Image/Role/RoleHeadMoney04.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead04.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	1	<color=#60c1ff>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality1.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality1x.png	40009	503	503	503	503
11	30061102	危险度A浪人肆型	危险的浪人肆型追求着生死一战的快感，请前往目标区域击败它。	Assets/Product/Texture/Image/Role/RoleHeadMoney04.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead04.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	2	<color=#a16dff>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality2.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality2x.png	40010	335	268	268	268
12	30061103	危险度S浪人肆型	危险的浪人肆型追求着生死一战的快感，请前往目标区域击败它。	Assets/Product/Texture/Image/Role/RoleHeadMoney04.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead04.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	3	<color=#ffaa50>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality3.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality3x.png	40011	413	165	275	275
13	30060901	危险度B信使	检测到高浓度帕弥什反应，请前往指定区域调查。	Assets/Product/Texture/Image/Role/RoleHeadMoney03.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead03.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	1	<color=#60c1ff>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality1.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality1x.png	40012	503	503	503	503
14	30060902	危险度A信使	检测到高浓度帕弥什反应，请前往指定区域调查。	Assets/Product/Texture/Image/Role/RoleHeadMoney03.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead03.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	2	<color=#a16dff>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality2.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality2x.png	40013	335	268	268	268
