Id	CharacterId	VitalityRecoveryType	VitalityRecovery	MoodRecoveryType	MoodRecovery	Pre	CompareType	AttrTotal	AttrCondition[0]	AttrCondition[1]	AttrCondition[2]	Description
1	1011002	1	100	1	100	1	1	0	0	0	0	"当所在宿舍总值未达到<color=#FF4E4EFF>1200</color>点,构造体每小时失去体力值<color=#28CFFFFF>1</color>点，心情值<color=#28CFFFFF>1</color>点"
2	1011002	0	300	0	50	2	1	1200	0	0	0	"当所在宿舍总值达到<color=#FF4E4EFF>1200</color>点,构造体每小时恢复体力值<color=#28CFFFFF>3</color>点，心情值<color=#28CFFFFF>0.5</color>点"
3	1011002	0	400	0	100	3	1	3500	0	0	0	"当所在宿舍总值达到<color=#FF4E4EFF>6500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>4</color>点，心情值<color=#28CFFFFF>1</color>点"
4	1011002	0	500	0	200	4	1	5500	0	3500	2000	"当所在宿舍达到舒适度<color=#FF4E4EFF>3500</color>点,实用度<color=#FF4E4EFF>2000</color>点,构造体每小时恢复体力值<color=#28CFFFFF>5</color>点，心情值<color=#28CFFFFF>2</color>点"
5	1011002	0	600	0	500	5	1	10000	0	6500	3500	"当所在宿舍达到舒适度<color=#FF4E4EFF>6500</color>点,实用度<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>6</color>点，心情值<color=#28CFFFFF>3</color>点"
6	1021001	1	100	1	100	1	1	0	0	0	0	"当所在宿舍总值未达到<color=#FF4E4EFF>1200</color>点,构造体每小时失去体力值<color=#28CFFFFF>1</color>点，心情值<color=#28CFFFFF>1</color>点"
7	1021001	0	300	0	50	2	1	1200	0	0	0	"当所在宿舍总值达到<color=#FF4E4EFF>1200</color>点,构造体每小时恢复体力值<color=#28CFFFFF>3</color>点，心情值<color=#28CFFFFF>0.5</color>点"
8	1021001	0	400	0	100	3	1	3500	0	0	0	"当所在宿舍总值达到<color=#FF4E4EFF>6500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>4</color>点，心情值<color=#28CFFFFF>1</color>点"
9	1021001	0	500	0	200	4	1	5500	0	3500	2000	"当所在宿舍达到舒适度<color=#FF4E4EFF>3500</color>点,实用度<color=#FF4E4EFF>2000</color>点,构造体每小时恢复体力值<color=#28CFFFFF>5</color>点，心情值<color=#28CFFFFF>2</color>点"
10	1021001	0	600	0	500	5	1	10000	0	6500	3500	"当所在宿舍达到舒适度<color=#FF4E4EFF>6500</color>点,实用度<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>6</color>点，心情值<color=#28CFFFFF>3</color>点"
11	1031001	1	100	1	100	1	1	0	0	0	0	"当所在宿舍总值未达到<color=#FF4E4EFF>1200</color>点,构造体每小时失去体力值<color=#28CFFFFF>1</color>点，心情值<color=#28CFFFFF>1</color>点"
12	1031001	0	300	0	50	2	1	1200	0	0	0	"当所在宿舍总值达到<color=#FF4E4EFF>1200</color>点,构造体每小时恢复体力值<color=#28CFFFFF>3</color>点，心情值<color=#28CFFFFF>0.5</color>点"
13	1031001	0	400	0	100	3	1	3500	0	0	0	"当所在宿舍总值达到<color=#FF4E4EFF>6500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>4</color>点，心情值<color=#28CFFFFF>1</color>点"
14	1031001	0	500	0	200	4	1	5500	3500	2000	0	"当所在宿舍达到美观度<color=#FF4E4EFF>3500</color>点,舒适度<color=#FF4E4EFF>2000</color>点,构造体每小时恢复体力值<color=#28CFFFFF>5</color>点，心情值<color=#28CFFFFF>2</color>点"
15	1031001	0	600	0	500	5	1	10000	6500	3500	0	"当所在宿舍达到美观度<color=#FF4E4EFF>6500</color>点,舒适度<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>6</color>点，心情值<color=#28CFFFFF>3</color>点"
16	1041002	1	100	1	100	1	1	0	0	0	0	"当所在宿舍总值未达到<color=#FF4E4EFF>1200</color>点,构造体每小时失去体力值<color=#28CFFFFF>1</color>点，心情值<color=#28CFFFFF>1</color>点"
17	1041002	0	300	0	50	2	1	1200	0	0	0	"当所在宿舍总值达到<color=#FF4E4EFF>1200</color>点,构造体每小时恢复体力值<color=#28CFFFFF>3</color>点，心情值<color=#28CFFFFF>0.5</color>点"
18	1041002	0	400	0	100	3	1	3500	0	0	0	"当所在宿舍总值达到<color=#FF4E4EFF>6500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>4</color>点，心情值<color=#28CFFFFF>1</color>点"
19	1041002	0	500	0	200	4	1	5500	0	2000	3500	"当所在宿舍达到实用度<color=#FF4E4EFF>3500</color>点,舒适度<color=#FF4E4EFF>2000</color>点,构造体每小时恢复体力值<color=#28CFFFFF>5</color>点，心情值<color=#28CFFFFF>2</color>点"
20	1041002	0	600	0	500	5	1	10000	0	3500	6500	"当所在宿舍达到实用度<color=#FF4E4EFF>6500</color>点,舒适度<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>6</color>点，心情值<color=#28CFFFFF>3</color>点"
21	1051001	1	100	1	100	1	1	0	0	0	0	"当所在宿舍总值未达到<color=#FF4E4EFF>1200</color>点,构造体每小时失去体力值<color=#28CFFFFF>1</color>点，心情值<color=#28CFFFFF>1</color>点"
22	1051001	0	300	0	50	2	1	1200	0	0	0	"当所在宿舍总值达到<color=#FF4E4EFF>1200</color>点,构造体每小时恢复体力值<color=#28CFFFFF>3</color>点，心情值<color=#28CFFFFF>0.5</color>点"
23	1051001	0	400	0	100	3	1	3500	0	0	0	"当所在宿舍总值达到<color=#FF4E4EFF>6500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>4</color>点，心情值<color=#28CFFFFF>1</color>点"
24	1051001	0	500	0	200	4	1	5500	2000	3500	0	"当所在宿舍达到舒适度<color=#FF4E4EFF>3500</color>点,美观度<color=#FF4E4EFF>2000</color>点,构造体每小时恢复体力值<color=#28CFFFFF>5</color>点，心情值<color=#28CFFFFF>2</color>点"
25	1051001	0	600	0	500	5	1	10000	3500	6500	0	"当所在宿舍达到舒适度<color=#FF4E4EFF>6500</color>点,舒美观度<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>6</color>点，心情值<color=#28CFFFFF>3</color>点"
26	1061002	1	100	1	100	1	1	0	0	0	0	"当所在宿舍总值未达到<color=#FF4E4EFF>1200</color>点,构造体每小时失去体力值<color=#28CFFFFF>1</color>点，心情值<color=#28CFFFFF>1</color>点"
27	1061002	0	300	0	50	2	1	1200	0	0	0	"当所在宿舍总值达到<color=#FF4E4EFF>1200</color>点,构造体每小时恢复体力值<color=#28CFFFFF>3</color>点，心情值<color=#28CFFFFF>0.5</color>点"
28	1061002	0	400	0	100	3	1	3500	0	0	0	"当所在宿舍总值达到<color=#FF4E4EFF>6500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>4</color>点，心情值<color=#28CFFFFF>1</color>点"
29	1061002	0	500	0	200	4	1	5500	3500	2000	0	"当所在宿舍达到美观度<color=#FF4E4EFF>3500</color>点,舒适度<color=#FF4E4EFF>2000</color>点,构造体每小时恢复体力值<color=#28CFFFFF>5</color>点，心情值<color=#28CFFFFF>2</color>点"
30	1061002	0	600	0	500	5	1	10000	6500	3500	0	"当所在宿舍达到美观度<color=#FF4E4EFF>6500</color>点,舒适度<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>6</color>点，心情值<color=#28CFFFFF>3</color>点"
31	1071002	1	100	1	100	1	1	0	0	0	0	"当所在宿舍总值未达到<color=#FF4E4EFF>1200</color>点,构造体每小时失去体力值<color=#28CFFFFF>1</color>点，心情值<color=#28CFFFFF>1</color>点"
32	1071002	0	300	0	50	2	1	1200	0	0	0	"当所在宿舍总值达到<color=#FF4E4EFF>1200</color>点,构造体每小时恢复体力值<color=#28CFFFFF>3</color>点，心情值<color=#28CFFFFF>0.5</color>点"
33	1071002	0	400	0	100	3	1	3500	0	0	0	"当所在宿舍总值达到<color=#FF4E4EFF>6500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>4</color>点，心情值<color=#28CFFFFF>1</color>点"
34	1071002	0	500	0	200	4	1	5500	0	3500	2000	"当所在宿舍达到舒适度<color=#FF4E4EFF>3500</color>点,实用度<color=#FF4E4EFF>2000</color>点,构造体每小时恢复体力值<color=#28CFFFFF>5</color>点，心情值<color=#28CFFFFF>2</color>点"
35	1071002	0	600	0	500	5	1	10000	0	6500	3500	"当所在宿舍达到舒适度<color=#FF4E4EFF>6500</color>点,实用度<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>6</color>点，心情值<color=#28CFFFFF>3</color>点"
36	1081002	1	100	1	100	1	1	0	0	0	0	"当所在宿舍总值未达到<color=#FF4E4EFF>1200</color>点,构造体每小时失去体力值<color=#28CFFFFF>1</color>点，心情值<color=#28CFFFFF>1</color>点"
37	1081002	0	300	0	50	2	1	1200	0	0	0	"当所在宿舍总值达到<color=#FF4E4EFF>1200</color>点,构造体每小时恢复体力值<color=#28CFFFFF>3</color>点，心情值<color=#28CFFFFF>0.5</color>点"
38	1081002	0	400	0	100	3	1	3500	0	0	0	"当所在宿舍总值达到<color=#FF4E4EFF>6500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>4</color>点，心情值<color=#28CFFFFF>1</color>点"
39	1081002	0	500	0	200	4	1	5500	0	2000	3500	"当所在宿舍达到实用度<color=#FF4E4EFF>3500</color>点,舒适度<color=#FF4E4EFF>2000</color>点,构造体每小时恢复体力值<color=#28CFFFFF>5</color>点，心情值<color=#28CFFFFF>2</color>点"
40	1081002	0	600	0	500	5	1	10000	0	3500	6500	"当所在宿舍达到实用度<color=#FF4E4EFF>6500</color>点,舒适度<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>6</color>点，心情值<color=#28CFFFFF>3</color>点"
41	1021002	1	100	1	100	1	1	0	0	0	0	"当所在宿舍总值未达到<color=#FF4E4EFF>1200</color>点,构造体每小时失去体力值<color=#28CFFFFF>1</color>点，心情值<color=#28CFFFFF>1</color>点"
42	1021002	0	300	0	50	2	1	1200	0	0	0	"当所在宿舍总值达到<color=#FF4E4EFF>1200</color>点,构造体每小时恢复体力值<color=#28CFFFFF>3</color>点，心情值<color=#28CFFFFF>0.5</color>点"
43	1021002	0	400	0	100	3	1	3500	0	0	0	"当所在宿舍总值达到<color=#FF4E4EFF>6500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>4</color>点，心情值<color=#28CFFFFF>1</color>点"
44	1021002	0	500	0	200	4	1	5500	3500	0	2000	"当所在宿舍达到美观度<color=#FF4E4EFF>3500</color>点,实用度<color=#FF4E4EFF>2000</color>点,构造体每小时恢复体力值<color=#28CFFFFF>5</color>点，心情值<color=#28CFFFFF>2</color>点"
45	1021002	0	600	0	500	5	1	10000	6500	0	3500	"当所在宿舍达到美观度<color=#FF4E4EFF>6500</color>点,实用度<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>6</color>点，心情值<color=#28CFFFFF>3</color>点"
46	1031002	1	100	1	100	1	1	0	0	0	0	"当所在宿舍总值未达到<color=#FF4E4EFF>1200</color>点,构造体每小时失去体力值<color=#28CFFFFF>1</color>点，心情值<color=#28CFFFFF>1</color>点"
47	1031002	0	300	0	50	2	1	1200	0	0	0	"当所在宿舍总值达到<color=#FF4E4EFF>1200</color>点,构造体每小时恢复体力值<color=#28CFFFFF>3</color>点，心情值<color=#28CFFFFF>0.5</color>点"
48	1031002	0	400	0	100	3	1	3500	0	0	0	"当所在宿舍总值达到<color=#FF4E4EFF>6500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>4</color>点，心情值<color=#28CFFFFF>1</color>点"
49	1031002	0	500	0	200	4	1	5500	0	2000	3500	"当所在宿舍达到实用度<color=#FF4E4EFF>3500</color>点,舒适度<color=#FF4E4EFF>2000</color>点,构造体每小时恢复体力值<color=#28CFFFFF>5</color>点，心情值<color=#28CFFFFF>2</color>点"
50	1031002	0	600	0	500	5	1	10000	0	3500	6500	"当所在宿舍达到实用度<color=#FF4E4EFF>6500</color>点,舒适度<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>6</color>点，心情值<color=#28CFFFFF>3</color>点"
51	1011003	1	100	1	100	1	1	0	0	0	0	"当所在宿舍总值未达到<color=#FF4E4EFF>1200</color>点,构造体每小时失去体力值<color=#28CFFFFF>1</color>点，心情值<color=#28CFFFFF>1</color>点"
52	1011003	0	300	0	50	2	1	1200	0	0	0	"当所在宿舍总值达到<color=#FF4E4EFF>1200</color>点,构造体每小时恢复体力值<color=#28CFFFFF>3</color>点，心情值<color=#28CFFFFF>0.5</color>点"
53	1011003	0	400	0	100	3	1	3500	0	0	0	"当所在宿舍总值达到<color=#FF4E4EFF>6500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>4</color>点，心情值<color=#28CFFFFF>1</color>点"
54	1011003	0	500	0	200	4	1	5500	2000	0	3500	"当所在宿舍达到实用度<color=#FF4E4EFF>3500</color>点,美观度<color=#FF4E4EFF>2000</color>点,构造体每小时恢复体力值<color=#28CFFFFF>5</color>点，心情值<color=#28CFFFFF>2</color>点"
55	1011003	0	600	0	500	5	1	10000	3500	0	6500	"当所在宿舍达到实用度<color=#FF4E4EFF>6500</color>点,美观度<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>6</color>点，心情值<color=#28CFFFFF>3</color>点"
