Id	CharacterId	RewardId	HeadPortrait	LevelId	ConditionIds[0]	ConditionIds[1]	ConditionIds[2]
1	1011002		9000001	1			
2	1011002	10110020	9000001	2	40061001	40062001	
3	1011002	10110021	9000002	3	40061002	40062002	
4	1011002	10110022	9000003	4	40061003	40062003	40063001
5	1021001		9000001	1			
6	1021001	10210010	9000001	2	40061004	40062004	
7	1021001	10210011	9000002	3	40061005	40062005	
8	1021001	10210012	9000003	4	40061006	40062006	40063002
9	1031001		9000001	1			
10	1031001	10310010	9000001	2	40061007	40062007	
11	1031001	10310011	9000002	3	40061008	40062008	
12	1031001	10310012	9000003	4	40061009	40062009	40063003
13	1051001		9000001	1			
14	1051001	10510010	9000001	2	40061010	40062010	
15	1051001	10510011	9000002	3	40061011	40062011	
16	1051001	10510012	9000003	4	40061012	40062012	40063004
17	1031002		9000001	1			
18	1031002	10310020	9000001	2	40061013	40062013	
19	1031002	10310021	9000002	3	40061014	40062014	
20	1031002	10310022	9000003	4	40061015	40062015	40063005
21	1021002		9000001	1			
22	1021002	10210020	9000001	2	40061016	40062016	
23	1021002	10210021	9000002	3	40061017	40062017	
24	1021002	10210022	9000003	4	40061018	40062018	40063006
25	1031003		9000001	1			
26	1031003	10310030	9000001	2	40061019	40062019	
27	1031003	10310031	9000002	3	40061020	40062020	
28	1031003	10310032	9000003	4	40061021	40062021	40063007
29	1061003		9000001	1			
30	1061003	10610030	9000001	2	40061022	40062022	
31	1061003	10610031	9000002	3	40061023	40062023	
32	1061003	10610032	9000003	4	40061024	40062024	40063008
33	1081002		9000001	1			
34	1081002	10810020	9000001	2	40061025	40062025	
35	1081002	10810021	9000002	3	40061026	40062026	
36	1081002	10810022	9000003	4	40061027	40062027	40063009
37	1071002		9000001	1			
38	1071002	10710020	9000001	2	40061028	40062028	
39	1071002	10710021	9000002	3	40061029	40062029	
40	1071002	10710022	9000003	4	40061030	40062030	40063010
41	1061002		9000001	1			
42	1061002	10610020	9000001	2	40061031	40062031	
43	1061002	10610021	9000002	3	40061032	40062032	
44	1061002	10610022	9000003	4	40061033	40062033	40063011
45	1041002		9000001	1			
46	1041002	10410020	9000001	2	40061034	40062034	
47	1041002	10410021	9000002	3	40061035	40062035	
48	1041002	10410022	9000003	4	40061036	40062036	40063012
49	1071003		9000001	1			
50	1071003	10710030	9000001	2	40061037	40062037	
51	1071003	10710031	9000002	3	40061038	40062038	
52	1071003	10710032	9000003	4	40061039	40062039	40063013
53	1011003		9000001	1			
54	1011003	10110030	9000001	2	40061040	40062040	
55	1011003	10110031	9000002	3	40061041	40062041	
56	1011003	10110032	9000003	4	40061042	40062042	40063014
57	1051003		9000001	1			
58	1051003	10510030	9000001	2	40061043	40062043	
59	1051003	10510031	9000002	3	40061044	40062044	
60	1051003	10510032	9000003	4	40061045	40062045	40063015
