Id	Description	ConditionId[1]	BornMagic[1]	BornMagic[2]	BornMagic[3]	EnemyBornMagic[1]	EnemyBornMagic[2]	EnemyBornMagic[3]
700001	获得红球时，数量额外+1。		700001					
700002	获得蓝球时，数量额外+1。		700002					
700003	获得黄球时，数量额外+1。		700003					
700005	连击大于100时，伤害增加50%		700005					
1001	造成的伤害增加50%		700006					
1002	获得红球时，数量额外+1。		700001					
1003	连击大于100伤害+50%		700005					
1004	敌方伤害+50%					700006		
1005	敌方伤害+50%					700006		
1006	敌方伤害+50%					700006		
1007	敌方伤害+50%					700006		
2001	事件-火伤+50%		762001					
2002	事件-雷伤+50%		762002					
2003	事件-冰伤+50%		762003					
2004	事件-暗伤+50%		762004					
2005	事件-物理+50%		762005					
2006	事件-暴击伤害+50%		762006					
2007	事件-100连击伤害+50%		762007					
2008	事件-近战伤害+50%		762010					
2009	事件-远程伤害+50%		762012					
2010	事件-全元素伤害+50%		762013					
2011	事件-普攻增加，不出球		762018					
2012	事件-闪避无消耗，极闪无冷却		762021					
2013	事件-出球速度加快		762023					
2014	事件-QTE无冷却		762024					
2015	事件-初始怒气值满		762025					
2016	事件-怪物死亡随机掉落消除球		762026					
2017	事件-怪物死亡随机掉落怒气球		762034					
3001	伤害增加15%		761001					
3002	信号球类技能伤害增加20%		761011					
3003	普通攻击伤害增加20%		761021					
3004	每隔6秒恢复在场角色10%的损失生命值		761031					
3005	构造体受到伤害减少15%		761041					
3006	每隔3秒获得1个随机信号球		761051					
3007	每隔3秒获得1个红色信号球		761061					
3008	每隔3秒获得1个黄色信号球		761071					
3009	每隔3秒获得1个蓝色信号球		761081					
3010	火炮支援-后援队会发动火炮攻击		761091					
3011	属性支援-后援队会发动属性攻击		761101					
3012	护盾支援-每隔一段时间获得护盾		761111					
3013	构造体获得100点能量		761121					
4001	物理伤害提升30%		762201					
4002	冰属性伤害提升30%		762202					
4003	火属性伤害提升30%		762203					
4004	雷属性伤害提升30%		762204					
4005	暗属性伤害提升30%		762205					
