Id	Name	Desc	Delay	Duration	EffectType	AffixId	Limit	Cd	Kind	Cover	Mutex	Magic	Effect	EffectJoint	TriggerMagic	TriggerInterval	TriggerOnAdd
100000			0	3			1	0	1000000			100000000					
100001			0	2.5			1	0	1000010			100001000					
100003			0	-1			1	0	1000030|10011			100003000					
100004			0	-1			1	0	1000040|10021			100004000					
100005			0	0			1	0	1000050	1000900|1000910	1000900|1000910						
100006			0	0.8			1	0	1000060			100006000					
100007			0	2.5			1	0	1000070			100007000					
100008			0	-1			1	0	1000080		4						
100009			0	0			1	0	1000090	1000080|1000360|1000370	1000080|1000360|1000370						
100011			0	10			1	0	1000110			100011000					
100012			0	-1			1	0	1000120			100012000					
100013			0	0			1	0	1000130	1000120	1000120						
100014			0	2			1	0	1000140				FxDead	Root			
100015			0	0			1	0	1000150	1000110							
100016			1	1.5			1	0	1000160			100016000					
100017			0	-1			1	0	1000170			100017000					
100018			0	-1			1	0	1000180			100018000					
100019			0	-1			1	0	1000190|1000193			100019000					
100020			0	-1			1	0	1000200			100020000					
100021			0	3			1	0	1000210			100021000	FxBuffZhansha	Root			
100026			0	-1			1	0	1000260			100026000					
100027			0	1.5			1	0	1000270				FxBorn01	Root			
100028			0	0.2			1	0	1000280	1000280			FxTongyongHit	Root			
100033			0	0.5			1	0	1000330			100033000					
100038			0	2	8		1	0	1000380|8	1000380	10|15	100038000	FxTongyongBati	Root			1
100039			0	2	9		1	0	1000390|9|8	1000390	5|10|15|200	100039000	FxTongyongWudi	Root			1
100040			0	0.1			1	0	1000400|1000403	1000190	1000190						
100041			0	-1			1	0	1000410	1000410			FxSuodibiaoji	HitCase			
100042			0	0			1	0	1000420	1000410							
100043			0	1			1	0	1000430				FxJiasu01	Root			
100044			0	-1			1	0	1000440			100044000	FxJiasu02	Root			
100045			0	0			1	0	1000450	1000440							
100046			0	-1			1	0	1000460			100046000					
100047			0	0.5			1	0	1000470								
100048			0	0			1	0	1000480	1000470	1000470						
100049			0	-1			1	0	1000490			100049000					
100050			0	-1			1	0	1000500			100050000					
100051			0	-1			1	0	1000510			100051000					
100052			0	-1			1	0	1000520			100052000					
100053			0	-1			1	0	1000530			100053000					
100054			0	-1			1	0	1000540			100054000					1
100055			0	-1			1	0	1000550			100055000					1
100056			0	-1			1	0	1000560			100056000					1
100057			0	-1			1	0	1000570			100057000					1
100058			0	-1			1	0	1000580			100058000					1
100059			0	0.1			1	0	1000590			100059000					1
100062			0	1			1	0	1000620	1000620		100062000					
100063			0	3			1	0	1000630	1000630		100063000					
100064			0	0.1			1	0	1000640								
100065			0	-1			1	0	1000650	1000650		100065000					
100066			0	0			1	0	1000660	1000650	1000650						
100068			0	3			1	0	1000680|1	1000680		100068000	FxJixianshanbiShader	Root			
100069			0	0			1	0	1000690								
100070			0	5			1	0	1000700|9|8	9	5|10|15|200	100070000	FxTongyongWudi	Root			1
100071			0.3	0			1	0	1000710|9|8	1000710	5|10|15|200	100071000					
100072			0	10			1	0	1000720|300	1000720		100072000					
100073			0	0.1			1	0	1000730	1000720							
100074			0	-1			1	0	1000740			100074000					
100076			0	2			1	0	1000760			100076000					
100078			0	0			1	0	1000780	1000790							
100079			0	-1			1	0	1000790	1	1						
100085			0	-1			1	0	1000850			100085000					
100086			0	-1			1	0	1000860			100086000					
100087			0	5			1	0	1000870			100087000	FxZhiyePodun	HitCase			
100088			0	-1			1	0	1000880			100088000					
100089			0	-1			1	0	1000890			100089000					
100090			0	2			1	0	1000900|9|8	9	5|10|15|200	100090000					1
100091			0	10			1	0	1000910|9|8	9	5|10|15|200	100091000					1
100092			0.5	0			1	0	1000920|9|8	1000920	5|10|15|200	100092000					
100093			0	-1			1	0	1000930			100093000					
100094			0	0			1	0	1000940	9							1
100095			0	-1			1	0	1000950			100095000					
100096			0	-1	8		1	0	1000960				FxTongyongBati	Root			
100097			0	-1			1	0	1000970	1000960	1000960						
100098			0	-1			1	0	1000980|8		10|15	100098000					
100099			0	0			1	0	1000990	1000980	1000980						
199900			0	-1			1	0	1999000	1999000		199900000					
199901			0	-1			1	0	1999010	1999010		199901000					
199902			0	-1			1	0	1999020	1999020		199902000					
199903			0	0			1	0	1999030	1999000|1999010|1999020							
199904			0	-1			1	0	1999040	1999040		199904000					
199905			0	0			1	0	1999050	1999040							
199997			0	-1			1	0	1999970						100035	1	
199998			0	-1			1	0	1999980			199998000					
199999			0	-1			1	0	1999990			199999000					
100200			0	5			1	0	1002000	1002000			FxR1LuxiyaBuff	Root			
100201			0	-1			1	0	1002010			100201000					
100202			0	-1			1	0	1002020			100202000					
100203			0	0.1			1	0	1002030			100203000					
100204			0	-1			1	0	1002040			100204000					
100215			0	5.5			1	0	1002150	1002150			FxR1LuxiyaBao	Root			
100216			0	5.5			1	0	1002160	1002160		100216000					
100219			0	-1			1	0	1002190			100219000					
100226			0	1			1	0	1002260	1002260			FxR1LuxiyaCanying	Root			
100227			0	0			1	0	1002270	1002260							
100240			0	4			1	0	1002400	1002400|1002410|1002420			FxR1LuxiyaAttack21Wuqi	WeaponCase1			
100241			0	4			1	0	1002410	1002400|1002410|1002420			FxR1LuxiyaAttack22Wuqi	WeaponCase1			
100242			0	6			1	0	1002420	1002400|1002410|1002420			FxR1LuxiyaAttack23Wuqi	WeaponCase1			
100243			0	-1			1	0	1002430			100243000					
100245			0	1			1	0	1002450	1002450			FxTongyongFireShouji	HitCase			
100250			0	-1			1	0	1002500|403			100250000					1
100251			0	-1			1	0	1002510			100251000					
100257			0	1.25			1	0	1002570|1	1002570		100257000					
100260			0	3			1	0	1002600			100260000					
100261			0	0			1	0	1002610	1002600|1002650	1002600|1002650						
100264			0	2.3			1	0	1002640|402			100264000					1
100265			0	3			1	0	1002650			100265000					
100266			0	1.2			1	0	1002660|402			100266000					1
100267			0	0			1	0	1002670	1002000	1002000	100267000					
100268			0	5			1	0	1002680			100268000					1
100269			0	3.7			1	0	1002690|401			100269000					1
100274			0	1.1			1	0	1002740|3	1002740		100274000					
100275			0	1.1			1	0	1002750|3	1002750		100275000					
100276			0	10			1	0	1002760			100276000					
100277			0	10			1	0	1002770			100277000					
100278			0	-1			1	0	1002780			100278000	FxR1LuxiyaPinzhiGuadianBip001RForearm	Bip001RForearm			
100279			0	1.5			1	0	1002790	1002780	1002780		FxTongyongGuanghuanKuosan	Root			
100290			0	-1			1	0	1002900			100290000					
100292			0	-1			1	0	1002920			100292000					
100294			0	-1			1	0	1002940			100294000					
100295			0	-1			1	0	1002950			100295000					
100296			0	-1			1	0	1002960			100296000					
