Id	Name	Desc	Delay	Duration	EffectType	AffixId	Limit	Cd	Kind	Cover	Mutex	Magic	Effect	EffectJoint	TriggerMagic	TriggerInterval	TriggerOnAdd
101413			0	0.2			1	0	1014130|1014080|1014050								
101414			0	0.2			1	0	1014140|1014080|1014060								
101415			0	0.2			1	0	1014150|1014080|1014070								
101416			0	0.8			99	0	1014160				FxR3BiankaAttack32Shouji01	HitCase			
101417			0	0.8			99	0	1014170				FxR3BiankaAttack32Shouji02	HitCase			
101418			0	0.8			99	0	1014180				FxR3BiankaAttack32Shouji03	HitCase			
101419			0	0.8			99	0	1014190				FxR3BiankaAttack32Shouji04	HitCase			
101423			0	10			1	0	1014230	1014230			FxR3BiankaAttack21Buff	Root			
101424			0	10			1	0	1014240	1014240			FxR3BiankaAttack21Buff	Root			
101425			0	10			1	0	1014250	1014250			FxR3BiankaAttack21Buff	Root			
101426			0	-1			1	0	1014260			101426000					
101427			0	-1			1	0	1014270			101427000					
101428			0	5.5			5	0	1014280				FxR3BiankaAttack21Arrow	HitCase			
101435			0	0			1	0	1014350	1014360		101435000					
101436			0	0.2			1	0	1014360|1014080|1017360			101436000					
101437			0	10			1	0	1014370	1014370		101437000					
101438			0	0.2			1	0	1014380|1014080|1017380	1014380		101438000					
101439			0	0			1	0	1014390			101439000					
101440			0	-1			1	0	1014400			101440000					
101441			0	5			1	0	1014410	1014420							
101442			0	-1			1	0	1014420	1014420			FxR3BiankaAttack41BuffBip001RHand	Bip001RHand			
101443			0	0			1	0	1014430	1014410	1014410						
101444			0	0.1			1	0	1014440	1014470|1014480	1014470|1014480						
101445			0	0.1			50	0	1014450			101445000					
101447			0	-1			1	0	1014470|3			101447000					
101448			0	-1			1	0	1014480|3			101448000					
101449			0	-1			1	0	1014490			101449000					
101451			0	0			1	0	1014510								1
101452			0	-1			1	0	1014520			101452000					
101453			0	4.7			1	0	1014530			101453000					
101454			0	4.7			1	0	1014540	1014550		101454000					
101455			0	0			1	0	1014550	1014540							
