Id	Name	Desc	Delay	Duration	EffectType	AffixId	Limit	Cd	Kind	Cover	Mutex	Magic	Effect	EffectJoint	TriggerMagic	TriggerInterval	TriggerOnAdd
87010096				-1								87010097					1
87010098			999	-1								87010099					1
87010094			999	-1								87010095					1
87010092			999	-1								87010093					1
87020096			2.7	-1								87020097					1
87020098			2.7	-1								87020099					1
87020094			2.7	-1								87020095					1
87020092			2.7	-1								87020093					1
87030096				-1								87030097					1
87030098			1.2	-1								87030099					1
87030094			1.2	-1								87030095					1
87030092			1.2	-1								87030093					1
87050096				-1								87050097					1
87050098				-1								87050099					1
87050094				-1								87050095					1
87050092				-1								87050093					1
87100096				-1								87100097					1
87100098			4.7	-1								87100099					1
87100094			4.7	-1								87100095					1
87100092			4.7	-1								87100093					1
87310096			2.47	-1								87310097					1
87310098			2.47	-1								87310099					1
87310094			2.47	-1								87310095					1
87310092			2.47	-1								87310093					1
87320096				-1								87320097					1
87320098				-1								87320099					1
87320094				-1								87320095					1
87320092				-1								87320093					1
87330096			2.47	-1								87330097					1
87330098			2.47	-1								87330099					1
87330094			2.47	-1								87330095					1
87330092			2.47	-1								87330093					1
