Id	Name	Desc	Delay	Duration	EffectType	AffixId	Limit	Cd	Kind	Cover	Mutex	Magic	Effect	EffectJoint	TriggerMagic	TriggerInterval	TriggerOnAdd
99210096				-1								99210097					1
99210098				-1								99210099					1
99210094				-1								99210095					1
99210092				-1								99210093					1
99220096				-1								99220097					1
99220098				-1								99220099					1
99220094				-1								99220095					1
99220092				-1								99220093					1
99230096				-1								99230097					1
99230098				-1								99230099					1
99230094				-1								99230095					1
99230092				-1								99230093					1
90350096				-1								90350097					1
90350098				-1								90350099					1
90350094				-1								90350095					1
90350092				-1								90350093					1
20160096				-1								20160097					1
20160098				-1								20160099					1
20160094				-1								20160095					1
20160092				-1								20160093					1
