Id	Name	Desc	Delay	Duration	EffectType	AffixId	Limit	Cd	Kind	Cover	Mutex	Magic	Effect	EffectJoint	TriggerMagic	TriggerInterval	TriggerOnAdd
83210096				1.5								83210097					1
83210098				1.5								83210099					1
83210094				1.5								83210095					1
83210092				1.5								83210093					1
83300096				1.5								83300097					1
83300098				1.5								83300099					1
83300094				1.5								83300095					1
83300092				1.5								83300093					1
81610096				1.5								81610097					1
81610098				1.5								81610099					1
81610094				1.5								81610095					1
81610092				1.5								81610093					1
