Id	Name	Desc	Delay	Duration	EffectType	AffixId	Limit	Cd	Kind	Cover	Mutex	Magic	Effect	EffectJoint	TriggerMagic	TriggerInterval	TriggerOnAdd
904501			0	-1			1	0	9045010			904501000					
904503			0	-1			1	0	9045030								
904504			0	-1			1	0	9045040			904504000					
904505			0	-1			1	0	9045050	9045040		904505000					
904506			0	-1			1	0	9045060			904506000					
904507			0	0			1	0	9045070	9045060		904507000					
904509			0	5			-1	0	9045090			904509000					
904510			0	-1			1	0	9045100			904510000					
904511			0	0			1	0	9045110	9045100							
904512			0	-1			1	0	9045120	9045120			FxMe1BioMd005010Attack06				
904513			0	0.1			-1	0	9045130|22|5|10			904513000					
904514			0	0			1	0	9045140			904514000					
904515			0	3	17		1	0	9045150|17|5|10			904515000	FxTongyongYunxuan	MarkCase			
904516			0	0.5			1	0	9045160			904516000					
904517			0	0			1	0	9045170			904517000					
904518			0	0			1	0	9045180			904518000					
904519			0	1			-1	0	9045190				FxMe1BioMd005010Attack03Shouji02				
904520			0	-1			1	0	9045200				FxMe1BioMd005010Attack03Dandao	WeaponCase			
904530			0	-1			1	0	9045300			904530000					1
904531			0	-1			1	0	9045310			904531000					1
904532			0	-1			1	0	9045320			904532000					1
904533			0	-1			1	0	9045330			904533000					1
904535			0	-1			1	0	9045350			904535000					
904601			0	-1			1	0	9046010			904601000					
904602			0	0			1	0	9046020			904602000					
904603			0	-1			-1	0	9046030	9046030			FxMe1BioMd005020Attack04	WeaponCase1			
904604			0	-1			-1	0	9046040	9046040			FxMe1BioMd005020Attack04	WeaponCase2			
904605			0	0			1	0	9046050	9046030|9046040							
904607			0	-1			1	0	9046070			904607000					1
904608			0	-1			1	0	9046080			904608000					1
904609			0	-1			1	0	9046090			904609000					1
904610			0	-1			1	0	9046100			904610000					1
904611			0	-1			1	0	9046110			904611000					
