Id	Name	Desc	Delay	Duration	EffectType	AffixId	Limit	Cd	Kind	Cover	Mutex	Magic	Effect	EffectJoint	TriggerMagic	TriggerInterval	TriggerOnAdd
970701			0	3			1	0	9707010|9707013								
970702			0	2			1	0	9707020|9707023|17|5|10								
970703			0	1			1	0	9707030|9707033|17|5|10			970703000	FxBuffStun1	MarkCase			
970704			0	-1			1	0	9707040			970704000					
970705			0	-1			1	0	9707050|9707053			970705000					
970706			0	-1			1	0	9707060			970706000					
970707			0	-1			1	0	9707070|9707053			970707000					
970708			0	-1			1	0	9707080|9707053	1000410	1000410	970708000					
970709			0	-1			1	0	9707090|9707053			970709000					
970710			0	1			1	0	9707100	9707050|9707060|9707070|9707080|9707120							
970711			0	-1			1	0	9707110|9707053			970711000					
970712			0	-1			1	0	9707120|9707053			970712000					
970713			0	1			1	0	9707130	9707090|9707110							
970714			0	-1			1	0	9707140			970714000					
812018			0	4			99	0	8120180|8150000			812018000					1
812019			0	4			1	0	8120190			812019000					
812020			0	10			1	0	8120200			812020000					
812021			0	-1			1	0	8120210			812021000					
971101			0	-1			1	0	9711010|9711013			971101000					
971102			0	-1			1	0	9711020	9711030|9711040							
971103			0	-1			1	0	9711030	9711020|9711040							
971104			0	-1			1	0	9711040	9711020|9711030							
971105			0	7			1	0	9711050|9711053	9711020|9711030|9711040|9711060|9711070|9711080		971105000					
971106			0	-1			1	0	9711060	9711070|9711080							
971107			0	-1			1	0	9711070	9711060|9711080							
971108			0	-1			1	0	9711080	9711060|9711070							
811011			0	4			1	0	8110110			811011000					
811012			0	4			1	0	8110120			811012000					
811013			0	4			1	0	8110130			811013000					
811014			0	4			1	0	8110140			811014000					
811015			0	4			1	0	8110150			811015000					
811016			0	4			1	0	8110160			811016000					
811017			0	4			1	0	8110170			811017000					
811018			0	4			1	0	8110180			811018000					
811019			0	4			1	0	8110190			811019000					
811020			0	4			1	0	8110200			811020000					
811021			0	4			1	0	8110210			811021000					
811022			0	4			1	0	8110220			811022000					
811023			0	4			1	0	8110230			811023000					
811024			0	4			1	0	8110240			811024000					
811025			0	4			1	0	8110250			811025000					
811026			0	4			1	0	8110260			811026000					
811027			0	4			1	0	8110270			811027000					
811028			0	4			1	0	8110280			811028000					
811029			0	4			1	0	8110290			811029000					
811030			0	-1			1	0	8110300			811030000					
811031			0	-1			1	0	8110310			811031000					
811032			0	-1			1	0	8110320			811032000					
811033			0	-1			1	0	8110330			811033000					
811101			0	-1			1	0	8111010			811101000					
811102			0	4			1	0	8111020			811102000					
813000			0	3			99	0	8130000|8150000			813000000					1
813001			0	0.5			1	0	8130010			813001000					
813002			0	-1			1	0	8130020			813002000					
813003			0	-1			1	0	8130030			813003000					
813004			0	0.2			1	0	8130040			813004000					
813005			0	0.3			1	0	8130050			813005000					
813006			0	0.4			1	0	8130060			813006000					
813007			0	2.1			1	0	8130070								
813008			0	-1			1	0	8130080			813008000					
813009			0	1			1	0	8130090			813009000					
813010			0	3			-1	0	8130100	8130090	8130090						
813011			0	3			1	0	8130110			813011000					
813021			0	1.5			1	0	8130210				FxMb1SwordMd030001Biaoji01	MarkCase			
813022			0	2.5			1	0	8130220				FxMb1SwordMd030001Biaoji02	MarkCase			
813023			0	3.5			1	0	8130230				FxMb1SwordMd030001Biaoji03	MarkCase			
813024			0	3			1	0	8130240	8000410|8000440	8000410|8000440						
813025			0	0			1	0	8130250	8000410|8000440							
813026			0	3			1	0	8130260	8000040|8000440|8000450|8000460|8000410							
813027			0	-1			1	0	8130270								
813028			0	-1			1	0	8130280				FxMb1SwordMd030001WuqiBone025	Bone025			
813029			0	3			1	0	8130290			813029000					
813030			0	10			1	0	8130300			813030000					
813031			0	-1			1	0	8130310			813031000					
814001			0	0			1	0	8140010			814001000					
814002			0	-1			1	0	8140020				FxMb1LadyMd10001Attack04Dandao				
814003			0	1			1	0	8140030			814003000					
814004			0	-1			1	0	8140040				FxMb1LadyMd10001Attack07				
814011			0	0			1	0	8140110			814011000					
814012			0	0			1	0	8140120			814012000					
814013			0	0			1	0	8140130			814013000					
814021			0	-1			1	0	8140210			814021000					
814022			0	-1			1	0	8140220			814022000					
814023			0	-1			1	0	8140230			814023000					
814024			0	-1			1	0	8140240			814024000					
814025			0	-1			1	0	8140250			814025000					
814100			0	-1			1	0	8141000			814100000					
814101			0	0.5			1	0	8141010			814101000					
814102			0	2			1	0	8141020			814102000					
814103			0	0			1	0	8141030			814103000					
814104			0	1.5			1	0	8141040								
814105			0	1			1	0	8141050			814105000					
814106			0	1			1	0	8141060			814106000					
814107			0	1			1	0	8141070			814107000					
814108			0	1			1	0	8141080			814108000					
814109			0	1			1	0	8141090			814109000					
