Id	Name	Desc	Delay	Duration	EffectType	AffixId	Limit	Cd	Kind	Cover	Mutex	Magic	Effect	EffectJoint	TriggerMagic	TriggerInterval	TriggerOnAdd
9951				-1								99510					
9952				-1								99520					
9953				-1								99530					
9033				-1								90330					
9034				-1								90340					
9026				-1								90260					
9958				-1								99580					
9959				-1								99590					
9960				-1								99600					
9961				-1								99610					
9962				-1								99620					
9022				-1								90220					
9963				-1								99630					
9043				-1								90430					
9964				-1								99640					
9956				-1								99560					
9957				-1								99570					
9965				-1								99650					
9966				-1								99660					
9967				-1								99670					
9968				-1								99680					
9969				-1								99690					
9970				-1								99700					
