Id	Name	Level[1]	Level[2]	Level[3]	Level[4]	Level[5]	Level[6]	Level[7]	Level[8]	Level[9]	Level[10]	Level[11]	Level[12]	Level[13]	Level[14]	Level[15]	Level[16]	Level[17]	Level[18]	Level[19]	Level[20]	Level[21]	Level[22]	Level[23]	Level[24]	Level[25]	Level[26]	Level[27]	Level[28]	Level[29]	Level[30]
87010096	AddBuff	87010096																													
87010097	AddMissile	870199|1																													
87010098	AddBuff	87010098																													
87010099	HideJoint	Root																													
87010094	AddBuff	87010094																													
87010095	AddNpcState	21																													
87010092	AddBuff	87010092																													
87010093	AddNpcState	22																													
87020096	AddBuff	87020096																													
87020097	AddMissile	870299|1																													
87020098	AddBuff	87020098																													
87020099	HideJoint	Root																													
87020094	AddBuff	87020094																													
87020095	AddNpcState	21																													
87020092	AddBuff	87020092																													
87020093	AddNpcState	22																													
87030096	AddBuff	87030096																													
87030097	AddMissile	870399|1																													
87030098	AddBuff	87030098																													
87030099	HideJoint	Root																													
87030094	AddBuff	87030094																													
87030095	AddNpcState	21																													
87030092	AddBuff	87030092																													
87030093	AddNpcState	22																													
87050096	AddBuff	87050096																													
87050097	AddMissile	870599|1																													
87050098	AddBuff	87050098																													
87050099	HideJoint	Root																													
87050094	AddBuff	87050094																													
87050095	AddNpcState	21																													
87050092	AddBuff	87050092																													
87050093	AddNpcState	22																													
87100096	AddBuff	87100096																													
87100097	AddMissile	871099|1																													
87100098	AddBuff	87100098																													
87100099	HideJoint	Root																													
87100094	AddBuff	87100094																													
87100095	AddNpcState	21																													
87100092	AddBuff	87100092																													
87100093	AddNpcState	22																													
87310096	AddBuff	87310096																													
87310097	AddMissile	873199|1																													
87310098	AddBuff	87310098																													
87310099	HideJoint	Root																													
87310094	AddBuff	87310094																													
87310095	AddNpcState	21																													
87310092	AddBuff	87310092																													
87310093	AddNpcState	22																													
87320096	AddBuff	87320096																													
87320097	AddMissile	873299|1																													
87320098	AddBuff	87320098																													
87320099	HideJoint	Root																													
87320094	AddBuff	87320094																													
87320095	AddNpcState	21																													
87320092	AddBuff	87320092																													
87320093	AddNpcState	22																													
87330096	AddBuff	87330096																													
87330097	AddMissile	873399|1																													
87330098	AddBuff	87330098																													
87330099	HideJoint	Root																													
87330094	AddBuff	87330094																													
87330095	AddNpcState	21																													
87330092	AddBuff	87330092																													
87330093	AddNpcState	22																													
