Id	Name	Level[1]	Level[2]	Level[3]	Level[4]	Level[5]	Level[6]	Level[7]	Level[8]	Level[9]	Level[10]	Level[11]	Level[12]	Level[13]	Level[14]	Level[15]	Level[16]	Level[17]	Level[18]	Level[19]	Level[20]	Level[21]	Level[22]	Level[23]	Level[24]	Level[25]	Level[26]	Level[27]	Level[28]	Level[29]	Level[30]
99510096	AddBuff	99510096																													
99510097	AddMissile	995199|1																													
99510098	AddBuff	99510098																													
99510099	HideJoint	Root																													
99510094	AddBuff	99510094																													
99510095	AddNpcState	21																													
99510092	AddBuff	99510092																													
99510093	AddNpcState	22																													
90370096	AddBuff	90370096																													
90370097	AddMissile	903799|1																													
90370098	AddBuff	90370098																													
90370099	HideJoint	Root																													
90370094	AddBuff	90370094																													
90370095	AddNpcState	21																													
90370092	AddBuff	90370092																													
90370093	AddNpcState	22																													
99530096	AddBuff	99530096																													
99530097	AddMissile	995399|1																													
99530098	AddBuff	99530098																													
99530099	HideJoint	Root																													
99530094	AddBuff	99530094																													
99530095	AddNpcState	21																													
99530092	AddBuff	99530092																													
99530093	AddNpcState	22																													
90330096	AddBuff	90330096																													
90330097	AddMissile	903399|1																													
90330098	AddBuff	90330098																													
90330099	HideJoint	Root																													
90330094	AddBuff	90330094																													
90330095	AddNpcState	21																													
90330092	AddBuff	90330092																													
90330093	AddNpcState	22																													
90340096	AddBuff	90340096																													
90340097	AddMissile	903499|1																													
90340098	AddBuff	90340098																													
90340099	HideJoint	Root																													
90340094	AddBuff	90340094																													
90340095	AddNpcState	21																													
90340092	AddBuff	90340092																													
90340093	AddNpcState	22																													
99540096	AddBuff	99540096																													
99540097	AddMissile	995499|1																													
99540098	AddBuff	99540098																													
99540099	HideJoint	Root																													
99540094	AddBuff	99540094																													
99540095	AddNpcState	21																													
99540092	AddBuff	99540092																													
99540093	AddNpcState	22																													
90260096	AddBuff	90260096																													
90260097	AddMissile	902699|1																													
90260098	AddBuff	90260098																													
90260099	HideJoint	Root																													
90260094	AddBuff	90260094																													
90260095	AddNpcState	21																													
90260092	AddBuff	90260092																													
90260093	AddNpcState	22																													
99550096	AddBuff	99550096																													
99550097	AddMissile	995599|1																													
99550098	AddBuff	99550098																													
99550099	HideJoint	Root																													
99550094	AddBuff	99550094																													
99550095	AddNpcState	21																													
99550092	AddBuff	99550092																													
99550093	AddNpcState	22																													
99580096	AddBuff	99580096																													
99580097	AddMissile	995899|1																													
99580098	AddBuff	99580098																													
99580099	HideJoint	Root																													
