Id	Name	Level[1]	Level[2]	Level[3]	Level[4]	Level[5]	Level[6]	Level[7]	Level[8]	Level[9]	Level[10]	Level[11]	Level[12]	Level[13]	Level[14]	Level[15]	Level[16]	Level[17]	Level[18]	Level[19]	Level[20]	Level[21]	Level[22]	Level[23]	Level[24]	Level[25]	Level[26]	Level[27]	Level[28]	Level[29]	Level[30]
760001	AddBuff	760001																													
760001000	ChangeAttribAdditive	34|-3000|																													
760002	AddBuff	760002																													
760002000	ChangeAttribAdditive	34|-4500|																													
760003	AddBuff	760003																													
760003000	ChangeAttribAdditive	34|-6000|																													
760011	AddBuff	760011																													
760011000	ChangeAttribAdditive	35|-3000|																													
760012	AddBuff	760012																													
760012000	ChangeAttribAdditive	35|-4500|																													
760013	AddBuff	760013																													
760013000	ChangeAttribAdditive	35|-6000|																													
760021	AddBuff	760021																													
760021000	ChangeAttribAdditive	36|-3000|																													
760022	AddBuff	760022																													
760022000	ChangeAttribAdditive	36|-4500|																													
760023	AddBuff	760023																													
760023000	ChangeAttribAdditive	36|-6000|																													
760031	AddBuff	760031																													
760031000	ChangeAttribAdditive	37|-3000|																													
760032	AddBuff	760032																													
760032000	ChangeAttribAdditive	37|-4500|																													
760033	AddBuff	760033																													
760033000	ChangeAttribAdditive	37|-6000|																													
760041	AddBuff	760041																													
760041000	ChangeAttribAdditive	33|-3000|																													
760042	AddBuff	760042																													
760042000	ChangeAttribAdditive	33|-4500|																													
760043	AddBuff	760043																													
760043000	ChangeAttribAdditive	33|-6000|																													
760051	AddBuff	760051																													
760051000	AddBehavior	760051																													
760052	AddBuff	760052																													
760052000	AddBehavior	760052																													
760053	AddBuff	760053																													
760053000	AddBehavior	760053																													
760061	AddBuff	760061																													
760061000	ChangeAttribAdditive	25|-3000|																													
760062	AddBuff	760062																													
760062000	ChangeAttribAdditive	25|-4500|																													
760063	AddBuff	760063																													
760063000	ChangeAttribAdditive	25|-6000|																													
760071	AddBuff	760071																													
760071000	ChangeAttribAdditive	32|-3000|																													
760072	AddBuff	760072																													
760072000	ChangeAttribAdditive	32|-4500|																													
760073	AddBuff	760073																													
760073000	ChangeAttribAdditive	32|-6000|																													
760081	AddBuff	760081																													
760081000	ChangeAttribAdditive	48|-3000|																													
760082	AddBuff	760082																													
760082000	ChangeAttribAdditive	48|-4500|																													
760083	AddBuff	760083																													
760083000	ChangeAttribAdditive	48|-6000|																													
760091	AddBuff	760091																													
760091000	AddBehavior	760091																													
760092	AddBuff	760092																													
760092000	AddBehavior	760092																													
760093	AddBuff	760093																													
760093000	AddBehavior	760093																													
760094	AddBuff	760094																													
760094000	ChangeAttribAdditive	4|0|-2000																													
760095	AddBuff	760095																													
760095000	ChangeAttribAdditive	4|0|-3500																													
760096	AddBuff	760096																													
760096000	ChangeAttribAdditive	4|0|-5000																													
760097	AddBuff	760097																													
760097000	ChangeAttribAdditive	32|-2000|																													
760098	AddBuff	760098																													
760098000	ChangeAttribAdditive	32|-3500|																													
760099	AddBuff	760099																													
760099000	ChangeAttribAdditive	32|-5000|																													
760101	AddBuff	760101																													
760101000	AddBehavior	760101																													
760102	AddBuff	760102																													
760102000	AddBehavior	760102																													
760103	AddBuff	760103																													
760103000	AddBehavior	760103																													
760104	AddBuff	760104																													
760104000	AddBehavior	760104																													
760105	AddBuff	760105																													
760105000	AddBehavior	760105																													
760106	AddBuff	760106																													
760106000	AddBehavior	760106																													
760107	ChangeDamageAdditive	32|-3000|0																													
760108	ChangeDamageAdditive	32|-4500|0																													
760109	ChangeDamageAdditive	32|-6000|0																													
760111	AddBuff	760111																													
760111000	AddBehavior	760111																													
760112	AddBuff	760112																													
760112000	AddBehavior	760112																													
760113	AddBuff	760113																													
760113000	AddBehavior	760113																													
760114	AddBuff	760114																													
760114000	AddBehavior	760114																													
760115	AddBuff	760115																													
760115000	AddBehavior	760115																													
760116	AddBuff	760116																													
760116000	AddBehavior	760116																													
760117	ChangeDamageAdditive	32|-3000|0																													
760118	ChangeDamageAdditive	32|-4500|0																													
760119	ChangeDamageAdditive	32|-6000|0																													
760121	AddBuff	760121																													
760121000	AddBehavior	760121																													
760122	AddBuff	760122																													
760122000	AddBehavior	760122																													
760123	AddBuff	760123																													
760123000	AddBehavior	760123																													
760124	AddBuff	760124																													
760124000	AddBehavior	760124																													
760125	AddBuff	760125																													
760125000	AddBehavior	760125																													
760126	AddBuff	760126																													
760126000	AddBehavior	760126																													
760127	ChangeDamageAdditive	32|-3000|0																													
760128	ChangeDamageAdditive	32|-4500|0																													
760129	ChangeDamageAdditive	32|-6000|0																													
760131	AddBuff	760131																													
760131000	ChangeAttribAdditive	25|3000|																													
760132	AddBuff	760132																													
760132000	ChangeAttribAdditive	25|4500|																													
760133	AddBuff	760133																													
760133000	ChangeAttribAdditive	25|6000|																													
760141	AddBuff	760141																													
760141000	ChangeAttribAdditive	34|3000|																													
760142	AddBuff	760142																													
760142000	ChangeAttribAdditive	34|4500|																													
760143	AddBuff	760143																													
760143000	ChangeAttribAdditive	34|6000|																													
760151	AddBuff	760151																													
760151000	ChangeAttribAdditive	35|3000|																													
760152	AddBuff	760152																													
760152000	ChangeAttribAdditive	35|4500|																													
760153	AddBuff	760153																													
760153000	ChangeAttribAdditive	35|6000|																													
760161	AddBuff	760161																													
760161000	ChangeAttribAdditive	36|3000|																													
760162	AddBuff	760162																													
760162000	ChangeAttribAdditive	36|4500|																													
760163	AddBuff	760163																													
760163000	ChangeAttribAdditive	36|6000|																													
760171	AddBuff	760171																													
760171000	ChangeAttribAdditive	37|3000|																													
760172	AddBuff	760172																													
760172000	ChangeAttribAdditive	37|4500|																													
760173	AddBuff	760173																													
760173000	ChangeAttribAdditive	37|6000|																													
760181	AddBuff	760181																													
760181000	ChangeAttribAdditive	33|3000|																													
760182	AddBuff	760182																													
760182000	ChangeAttribAdditive	33|4500|																													
760183	AddBuff	760183																													
760183000	ChangeAttribAdditive	33|6000|																													
760191	AddBuff	760191																													
760191000	AddBehavior	760191																													
760192	AddBuff	760192																													
760192000	AddBehavior	760192																													
760193	AddBuff	760193																													
760193000	AddBehavior	760193																													
760201	AddBuff	760201																													
760201000	ChangeAttribAdditive	32|3000|																													
760202	AddBuff	760202																													
760202000	ChangeAttribAdditive	32|4500|																													
760203	AddBuff	760203																													
760203000	ChangeAttribAdditive	32|6000|																													
760211	AddBuff	760211																													
760211000	AddBehavior	760211																													
760212	AddBuff	760212																													
760212000	AddBehavior	760212																													
760213	AddBuff	760213																													
760213000	AddBehavior	760213																													
760214	AddBuff	760214																													
760214000	ChangeAttribAdditive	4|0|500																													
760215	AddBuff	760215																													
760215000	ChangeAttribAdditive	3|0|500																													
760216	AddBuff	760216																													
760216000	RemoveBuff	760214|1																													
760217	AddBuff	760217																													
760217000	RemoveBuff	760215|1																													
760221	AddBuff	760221																													
760221000	AddBehavior	760221																													
760222	AddBuff	760222																													
760222000	AddNpcState	27																													
760223	AddBuff	760223																													
760223000	AddNpcState	32																													
760231	AddBuff	760231																													
760231000	AddBehavior	760231																													
760232	AddBuff	760232																													
760232000	AddBehavior	760232																													
760233	AddBuff	760233																													
760233000	AddBehavior	760233																													
760234	AddBuff	760234																													
760234000	Cure	1|3|0|10|0																													
760235	AddBuff	760235																													
760235000	Cure	1|3|0|20|0																													
760236	AddBuff	760236																													
