Id	Name	Level[1]	Level[2]	Level[3]	Level[4]	Level[5]	Level[6]	Level[7]	Level[8]	Level[9]	Level[10]	Level[11]	Level[12]	Level[13]	Level[14]	Level[15]	Level[16]	Level[17]	Level[18]	Level[19]	Level[20]	Level[21]	Level[22]	Level[23]	Level[24]	Level[25]	Level[26]	Level[27]	Level[28]	Level[29]	Level[30]
815000	AddBuff	815000																													
815000000	PlayCameraTrackOnAllClients	CTOrphanBorn|0|1.5																													
815001	ShakeCamera	2|1|-1|30|00.5|100																													
815002	AddBuff	815002																													
815002000	ChangeAttribValue	3|0|-5000																													
815003	ResetBuffDurationByBuffId	815002																													
815100	AddBuff	815100																													
815100000	AddBehavior	815100																													
815101	AddBuff	815101																													
815101000	AddBehavior	815101																													
815004	AddBuff	815004																													
815004000	SetAllClientsDOFFocus																														
815005	AddBuff	815005																													
815005000	PlaySound	815013|0																													
815006	AddBuff	815006																													
815006000	AddBehavior	815006																													
815007	AddBuff	815007																													
815007000	PlaySound	815018|0																													
815008	AddBuff	815008																													
815008000	PlaySound	815019|0																													
816000	AddBuff	816000																													
816000000	PlayCameraTrackOnAllClients	CTLuolanMd010001|0|1.5																													
816001	AddBuff	816001																													
816001000	AddBehavior	816001																													
816002	AddBuff	816002																													
816002000	ChangeAttribAdditive	32|50|0																													
816003	ShakeCamera	2|00.5|-1|10|00.2|100																													
816004	ShakeCamera	2|00.2|-1|10|00.1|30																													
816005	AddBuff	816005																													
816005000	AddBehavior	816005																													
816006	AddBuff	816006																													
816006000	AddBehavior	816006																													
816007	AddBuff	816007																													
816008	AddBuff	816008																													
816008000	AddTimeScaleBuff	0																													
816009	AddBuff	816009																													
816009000	AddTimeScaleBuff	0																													
816010	AddBuff	816010																													
816011	AddBuff	816011																													
816011000	AddBehavior	816011																													
816012	AddBuff	816012																													
816012000	AddBehavior	816012																													
816013	AddBuff	816013																													
816013000	AddBehavior	816013																													
816014	AddBuff	816014																													
816014000	ChangeTimeScale	00.2|5|0|0																													
816100	AddBuff	816100																													
816100000	AddBehavior	816100																													
816015	AddBuff	816015																													
816015000	SetAllClientsDOFFocus																														
816016	AddBuff	816016																													
816016000	PlaySound	816026|0																													
816017	AddBuff	816017																													
816017000	AddBehavior	816017																													
816018	AddBuff	816018																													
816018000	PlaySound	816033|0																													
817000	AddBuff	817000																													
817000000	PlayCameraTrackOnAllClients	CTMb1VirginbioMd030001Born|0|1.5																													
817001	AddBuff	817001																													
817001000	HideJoint	Mb1VirginbioMd030003																													
817002	AddBuff	817002																													
817002000	AddBehavior	817002																													
817003	AddBuff	817003																													
817004	AddBuff	817004																													
817004000	AddBehavior	817004																													
817005	Damage	3|0|1000000|0|0|||0																													
817006	Cure	11|3|0|1500|0																													
817007	AddBuff	817007																													
817007000	AddBehavior	817007																													
817008	AddBuff	817008																													
817009	AddBuff	817009																													
817010	AddBuff	817010																													
817011	AddBuff	817011																													
817012	AddBuff	817012																													
817012000	AddBehavior	817012																													
817013	AddBuff	817013																													
817100	AddBuff	817100																													
817100000	AddBehavior	817100																													
817101	AddBuff	817101																													
817101000	AddBehavior	817101																													
817103	AddBuff	817103																													
817103000	AddBehavior	817103																													
817102	ChangeTimeScale	0|77|5|5																													
817014	AddBuff	817014																													
817014000	SetAllClientsDOFFocus																														
817015	AddBuff	817015																													
817016	AddBuff	817016																													
817016000	ChangeAttribValue	1|0|-9000																													
817017	AddBuff	817017																													
817017000	PlaySound	817017|0																													
817018	AddBuff	817018																													
817018000	PlaySound	817018|0																													
817019	AddBuff	817019																													
817019000	AddBehavior	817019																													
817020	AddBuff	817020																													
817020000	PlayCameraTrackOnAllClients	CTMb1VirginbioMd030001Atk05|0|1.5																													
817021	AddBuff	817021																													
818000	AddBuff	818000																													
818000000	PlayCameraTrackOnAllClients	CTMb1SandwormMd030001Born|0|1.5																													
818001	AddBuff	818001																													
818002	AddBuff	818002																													
818003	AddBuff	818003																													
818003000	ShakeAllCamera	2|1|-00.2|30|1.3|100																													
818005	AddBuff	818005																													
818005000	AddBehavior	818005																													
