Id	Name	Level[1]	Level[2]	Level[3]	Level[4]	Level[5]	Level[6]	Level[7]	Level[8]	Level[9]	Level[10]	Level[11]	Level[12]	Level[13]	Level[14]	Level[15]	Level[16]	Level[17]	Level[18]	Level[19]	Level[20]	Level[21]	Level[22]	Level[23]	Level[24]	Level[25]	Level[26]	Level[27]	Level[28]	Level[29]	Level[30]
100101012	ShakeCamera	4|00.1|-00.5|11|00.1|1																													
100101022	ShakeCamera	4|00.1|-00.5|11|00.1|2																													
100101032	ShakeCamera	4|00.1|-00.5|11|00.1|3																													
100101042	ShakeCamera	4|00.1|-00.5|11|00.1|4																													
100101052	ShakeCamera	4|00.15|-00.5|11|00.1|5																													
100101062	ShakeCamera	4|00.1|-00.5|11|00.1|6																													
100101072	ShakeCamera	4|00.1|-00.5|11|00.1|7																													
100101082	ShakeCamera	4|00.1|-00.5|11|00.1|8																													
100101092	ShakeCamera	4|00.1|-00.5|11|00.1|9																													
100101102	ShakeCamera	4|00.15|-00.5|11|00.1|10																													
100101112	ShakeCamera	4|00.1|-00.5|11|00.1|11																													
100101122	ShakeCamera	4|00.1|-00.5|11|00.1|12																													
100101132	ShakeCamera	4|00.1|-00.5|11|00.1|13																													
100101142	ShakeCamera	4|00.1|-00.5|11|00.1|14																													
100101152	ShakeCamera	4|00.15|-00.5|11|00.1|15																													
100102012	ShakeCamera	4|00.1|-00.5|11|00.1|1																													
100102022	ShakeCamera	4|00.1|-00.5|11|00.1|2																													
100102032	ShakeCamera	4|00.1|-00.5|11|00.1|3																													
100102042	ShakeCamera	4|00.1|-00.5|11|00.1|4																													
100102052	ShakeCamera	4|00.15|-00.5|11|00.1|5																													
100102062	ShakeCamera	4|00.1|-00.5|11|00.1|6																													
100102072	ShakeCamera	4|00.1|-00.5|11|00.1|7																													
100102082	ShakeCamera	4|00.1|-00.5|11|00.1|8																													
100102092	ShakeCamera	4|00.1|-00.5|11|00.1|9																													
100102102	ShakeCamera	4|00.15|-00.5|11|00.1|10																													
100102112	ShakeCamera	4|00.1|-00.5|11|00.1|11																													
100102122	ShakeCamera	4|00.1|-00.5|11|00.1|12																													
100102132	ShakeCamera	4|00.1|-00.5|11|00.1|13																													
100102142	ShakeCamera	4|00.1|-00.5|11|00.1|14																													
100102152	ShakeCamera	4|00.15|-00.5|11|00.1|15																													
100103012	ShakeCamera	4|00.1|-00.5|11|00.1|1																													
100103022	ShakeCamera	4|00.1|-00.5|11|00.1|2																													
100103032	ShakeCamera	4|00.1|-00.5|11|00.1|3																													
100103042	ShakeCamera	4|00.1|-00.5|11|00.1|4																													
100103052	ShakeCamera	4|00.15|-00.5|11|00.1|5																													
100103062	ShakeCamera	4|00.1|-00.5|11|00.1|6																													
100103072	ShakeCamera	4|00.1|-00.5|11|00.1|7																													
100103082	ShakeCamera	4|00.1|-00.5|11|00.1|8																													
100103092	ShakeCamera	4|00.1|-00.5|11|00.1|9																													
100103102	ShakeCamera	4|00.15|-00.5|11|00.1|10																													
100103112	ShakeCamera	4|00.1|-00.5|11|00.1|11																													
100103122	ShakeCamera	4|00.1|-00.5|11|00.1|12																													
100103132	ShakeCamera	4|00.1|-00.5|11|00.1|13																													
100103142	ShakeCamera	4|00.1|-00.5|11|00.1|14																													
100103152	ShakeCamera	4|00.15|-00.5|11|00.1|15																													
100104022	ShakeCamera	4|00.4|-00.5|10|00.3|2																													
100105022	ShakeCamera	4|00.4|-00.5|10|00.3|2																													
100106022	ShakeCamera	4|00.4|-00.5|10|00.3|2																													
100107022	ShakeCamera	2|00.3|-00.75|15|00.3|0																													
100108022	ShakeCamera	2|00.3|-00.75|15|00.3|0																													
100109022	ShakeCamera	2|00.3|-00.75|15|00.3|0																													
100110012	ShakeCamera	4|00.2|0|10|00.5|2																													
100110022	ShakeCamera	4|00.2|0|10|00.5|2																													
100112012	ShakeCamera	4|00.1|-00.5|11|00.1|1																													
100112022	ShakeCamera	4|00.1|-00.5|11|00.1|2																													
100112032	ShakeCamera	4|00.1|-00.5|11|00.1|3																													
100112042	ShakeCamera	4|00.1|-00.5|11|00.1|4																													
100112052	ShakeCamera	4|00.15|-00.5|11|00.1|5																													
100112062	ShakeCamera	4|00.1|-00.5|11|00.1|6																													
100112072	ShakeCamera	4|00.1|-00.5|11|00.1|7																													
100112082	ShakeCamera	4|00.1|-00.5|11|00.1|8																													
100112092	ShakeCamera	4|00.1|-00.5|11|00.1|9																													
100112102	ShakeCamera	4|00.15|-00.5|11|00.1|10																													
100112112	ShakeCamera	4|00.1|-00.5|11|00.1|11																													
100112122	ShakeCamera	4|00.1|-00.5|11|00.1|12																													
100112132	ShakeCamera	4|00.1|-00.5|11|00.1|13																													
100112142	ShakeCamera	4|00.1|-00.5|11|00.1|14																													
100112152	ShakeCamera	4|00.15|-00.5|11|00.1|15																													
100113012	ShakeCamera	4|00.1|-00.5|11|00.1|1																													
100113022	ShakeCamera	4|00.1|-00.5|11|00.1|2																													
100113032	ShakeCamera	4|00.1|-00.5|11|00.1|3																													
100113042	ShakeCamera	4|00.1|-00.5|11|00.1|4																													
100113052	ShakeCamera	4|00.15|-00.5|11|00.1|5																													
100113062	ShakeCamera	4|00.1|-00.5|11|00.1|6																													
100113072	ShakeCamera	4|00.1|-00.5|11|00.1|7																													
100113082	ShakeCamera	4|00.1|-00.5|11|00.1|8																													
100113092	ShakeCamera	4|00.1|-00.5|11|00.1|9																													
100113102	ShakeCamera	4|00.15|-00.5|11|00.1|10																													
100113112	ShakeCamera	4|00.1|-00.5|11|00.1|11																													
100113122	ShakeCamera	4|00.1|-00.5|11|00.1|12																													
100113132	ShakeCamera	4|00.1|-00.5|11|00.1|13																													
100113142	ShakeCamera	4|00.1|-00.5|11|00.1|14																													
100113152	ShakeCamera	4|00.15|-00.5|11|00.1|15																													
