Info	Key	X	Y
99950019	PB1	2212	2212
99950019	S1	3148	2212
99950019	Center	2212	2212
99950019	UL1	3135	3195
99950019	UL2	3136	2846
99950019	UL3	3139	2495
99950019	UR1	3137	1181
99950019	UR2	3134	1568
99950019	UR3	3138	1917
99950019	L1	2748	3651
99950019	L2	2428	3649
99950019	L3	2118	3645
99950019	L4	1762	3648
99950019	R1	2748	765
99950019	R2	2428	765
99950019	R3	2118	765
99950019	R4	1762	765
99950019	FL11	2748	3070
99950019	FL12	2428	3070
99950019	FL13	2118	3070
99950019	FL21	2748	2650
99950019	FL22	2428	2650
99950019	FL23	2118	2650
99950019	C1	2731	2212
99950019	C2	2450	2212
99950019	C3	2136	2212
99950019	FR21	2748	1790
99950019	FR22	2428	1790
99950019	FR23	2118	1790
99950019	FR11	2748	1379
99950019	FR12	2428	1379
99950019	FR13	2118	1379
99950019	FL10	3133	3070
99950019	FL20	3136	2650
99950019	FR10	3136	1379
99950019	FR20	3136	1790
99950019	XLE	1276	2212
99950019	PB2	1917	2491
99950019	PB3	1917	1974
99950019	PB4	1661	2499
99950019	PB5	1661	1962
