Info	Key	X	Y
12020901	PB1	6538	8353
12020901	S1	6548	7717
12020901	B101	6567	6956
12020901	B102	6239	6888
12020901	B103	6914	6869
12020901	S2	6548	7254
12020901	B201	6259	6077
12020901	B202	6783	6087
12020901	B203	6343	5835
12020901	B204	6704	5830
12020901	JS	6565	5282
12020701	PB1	5206	3913
12020701	S1	5206	4298
12020701	B101	5190	4754
12020701	B102	4907	4597
12020701	B103	5481	4605
12020701	S2	5198	4503
12020701	B201	4852	5139
12020701	B202	5520	5131
12020701	B203	4993	5351
12020701	B204	5324	5344
12020701	JS	5158	5603
12020702	PB1	5194	6004
12020702	S1	5204	6374
12020702	B101	4937	6867
12020702	B102	5441	6867
12020702	B103	5060	7144
12020702	B104	5256	7134
12020702	JS	5194	7360
12020801	PB1	6550	6004
12020801	S1	6560	6497
12020801	B101	6550	7997
12020801	B102	6283	7761
12020801	B103	6899	7740
12020801	JS	6550	8644
11010106	PB1	5189	7032
11010106	S1	5193	6666
11010106	B101	4835	6320
11010106	B102	5560	6325
11010106	B103	4995	6083
11010106	B104	5426	6088
11010106	B105	5202	6286
11010106	RF1	4964	6523
11010106	RF2	5426	6545
11010106	RF3	4831	6825
11010106	RF4	5534	6834
11010106	Tifa1	5473	4447
11010106	Tifa2	5214	5582
11010106	Exit	5580	8023
11010106	Escape1	5488	4962
11010106	Escape2	5120	4823
11010106	V1	4665	5886
10020104	PB1	6646	4359
10020104	S1	6637	4658
10020104	B101	6450	5235
10020104	B102	6814	5226
10020104	S2	6544	5450
10020104	B201	6544	6316
10020104	B202	6301	6149
10020104	B203	6851	6111
10020104	S3	6553	6857
10020104	B301	6572	7658
10020104	B302	6329	7723
10020104	B303	6805	7714
10020104	JS	6544	8674
10020104	BJP1	7140	6260
10020104	BJP2	7205	8105
10020104	CCJT1	0	0
10020104	CCJT2	0	0
12010201	PB1	6545	6429
12010201	S1	6545	6841
12010201	B101	6390	7191
12010201	B102	6693	7191
12010201	S2	6545	7393
12010201	B201	6551	8100
12010201	B202	6295	8093
12010201	B203	6793	8097
12010201	JS	6541	8591
10020201	PB1	5259	7874
10020201	S1	5249	7386
10020201	B101	5435	6722
10020201	B102	5035	6732
10020201	B103	5103	6381
10020201	B104	5366	6381
10020201	S2	5259	5961
10020201	B201	5259	5073
10020201	B202	4957	5093
10020201	B203	5571	5102
10020201	ST1	5542	7103
10020201	ST2	5220	4673
10020201	CCJT1	0	0
10020201	CCJT2	0	0
12010202	PB1	5191	7724
12010202	S1	5191	8002
12010202	B101	5191	8771
12010202	B102	4837	8586
12010202	B103	5554	8586
12010202	B104	5021	8374
12010202	B105	5334	8381
12010202	JS	5191	8903
