Info	Key	X	Y
11010104	PB1	1727	5679
11010104	PB2	1060	2915
11010104	PB3	1060	2880
11010104	PB4	1060	2850
11010104	PB5	1060	2805
11010104	B101	1491	5462
11010104	B102	1604	5409
11010104	B103	1720	5359
11010104	B104	1481	5331
11010104	B105	1628	5274
11010104	B201	1529	5030
11010104	B202	1527	4880
11010104	B203	1384	4892
11010104	B204	1667	4884
11010104	B205	1392	5026
11010104	B206	1669	5016
11010104	B301	1428	4546
11010104	B302	1671	4546
11010104	B303	1547	4639
11010104	B304	1424	4406
11010104	B305	1673	4408
11010104	B306	1548	4492
11010104	B401	1906	4438
11010104	B402	1814	4282
11010104	B403	1900	4115
11010104	B404	1987	4215
11010104	B405	2061	4331
11010104	B406	2086	4454
11010104	B501	2496	4365
11010104	B502	2488	4204
11010104	B503	2452	4505
11010104	B504	2439	4067
11010104	B505	2335	4370
11010104	B506	2330	4210
11010104	B601	2818	4370
11010104	B602	2818	4210
11010104	B603	2942	4503
11010104	B604	3046	4396
11010104	B605	3030	4194
11010104	B606	2934	4077
11010104	S1	1673	5577
11010104	S2	1536	5201
11010104	S3	1542	4784
11010104	S4	1690	4455
11010104	S5	2173	4297
11010104	S6	2635	4268
11020101	PB1	3480	4226
11020101	PB2	0	0
11020101	PB3	0	0
11020101	PB4	0	0
11020101	PB5	0	0
11020101	S1	3211	4255
11020101	B101	2675	4232
11020101	B102	2506	4440
11020101	B103	2508	4056
11020101	S2	2476	4245
11020101	B201	1916	4259
11020101	B202	1684	4416
11020101	B203	1601	4166
11020101	S3	1601	4750
11020101	B301	1408	5179
11020101	B302	1735	5184
11020101	B303	1566	5322
11020101	B304	0	0
11020101	B305	0	675
11020101	S4	0	0
11020101	B401	0	0
11020101	B402	0	0
11020101	B403	0	0
11020101	B404	0	0
11020101	B405	0	0
11020101	CCJT1	1216	4661
11020101	CCJT2	1970	4661
11020101	BJP1	2520	5032
11020101	BJP2	3581	3901
11020101	DW1	2084	5937
11020101	DW2	1499	5826
11020101	DW3	2175	5573
11020101	ZZJQ1	1714	5536
10010304	PB1	1531	4233
10010304	PB2	1963	5931
10010304	PB3	2111	5762
10010304	PB4	2143	5647
10010304	PB5	1827	5921
10010304	B101	1980	4322
10010304	B201	2441	4521
10010304	B202	2444	4152
10010304	B301	2850	4630
10010304	B302	2899	4354
10010304	B303	2850	4057
10010304	B401	1373	4932
10010304	B402	1543	4932
10010304	B403	1712	4932
10010304	B501	1810	5745
10010304	B502	1476	5618
10010304	B503	1707	5592
10010304	B504	1413	5385
10010304	B505	1721	5405
10010304	S1	1649	4322
10010304	S2	2211	4313
10010304	S3	2430	4342
10010304	S4	1842	4313
10010304	S5	1548	5157
11010301	PB1	3310	4262
11010301	PB2	735	2688
11010301	PB3	0	0
11010301	PB4	0	0
11010301	PB5	0	0
11010301	B101	3004	4270
11010301	B201	2716	4268
11010301	B301	2665	4486
11010301	B401	2493	4654
11010301	B501	2396	4420
11010301	B502	2296	4533
11010301	B601	2099	4414
11010301	B602	2097	4238
11010301	B701	1853	4321
11010301	B702	1662	4319
11010301	B801	1607	4512
11010301	B802	1582	4681
11010301	B901	1370	4842
11010301	B902	1557	4859
11010301	B903	1722	4876
11010301	S1	3250	4257
11010301	S2	2924	4266
11010301	S3	2700	4361
11010301	S4	2591	4554
11010301	S5	2428	4537
11010301	S6	2230	4337
11010301	S7	1958	4325
11010301	S8	1632	4420
11010301	S9	1567	4757
11010302	PB1	1579	4616
11010302	PB2	1580	4488
11010302	PB3	1715	4484
11010302	PB4	1456	4492
11010302	PB5	1584	4368
11010302	B101	1504	4951
11010302	B102	1650	4942
11010302	B103	1569	4832
11010302	B201	1578	5115
11010302	B202	1498	5227
11010302	B203	1668	5227
11010302	B301	1569	5386
11010302	B302	1447	5521
11010302	B303	1683	5524
11010302	B304	1565	5523
11010302	B401	1709	5683
11010302	B402	1825	5573
11010302	B403	1845	5709
11010302	B501	1709	5683
11010302	B502	1825	5573
11010302	B503	1845	5709
11010302	B601	1970	5745
11010302	B602	2135	5650
11010302	B603	2129	5870
11010302	B604	2012	5627
11010302	B605	2012	5900
11010302	B606	2107	5771
11010302	S1	1579	4705
11010302	S2	1579	4705
11010302	S3	1579	4705
11010302	S4	1660	5548
11010302	S5	1794	5643
11010302	S6	1865	5754
10010104	PB1	3535	4221
10010104	B101	2675	4721
10010104	B102	2653	4335
10010104	B103	2696	3971
10010104	B201	1982	4447
10010104	B202	1968	4269
10010104	B203	1875	4120
10010104	B301	1705	4917
10010104	B302	1357	4941
10010104	B401	1566	5461
10010104	B402	1879	5757
10010104	S1	3500	4141
10010104	S2	2185	4344
10010104	S3	1571	4686
10010104	S4	1540	5173
70010602	PB1	3372	4202
70010602	PB2	0	0
70010602	PB3	0	0
70010602	PB4	0	0
70010602	PB5	0	0
70010602	S1	3208	4211
70010602	B101	2710	4318
70010602	B102	2691	3982
70010602	S2	2223	4277
70010602	B201	1904	4318
70010602	B202	1578	4356
70010202	PB1	3080	4285
70010202	PB2	1060	2915
70010202	PB3	1060	2880
70010202	PB4	1060	2850
70010202	PB5	1060	2805
70010202	B101	2580	4304
70010202	B201	2433	4300
70010202	B202	2368	4421
70010202	B203	2366	4173
70010202	B301	1889	4304
70010202	B302	1823	4460
70010202	B303	1816	4152
70010202	B304	1654	4317
70010202	B305	1447	4314
70010202	S1	2953	4282
70010202	S2	2545	4297
70010202	S3	2079	4315
70010202	S4	1551	4810
10010302	PB1	2951	4222
10010302	PB2	1580	4488
10010302	PB3	1715	4484
10010302	PB4	1456	4492
10010302	PB5	1584	4368
10010302	B101	2717	4353
10010302	B102	2730	4074
10010302	B201	3166	4152
10010302	B301	2899	4421
10010302	B302	3215	4311
10010302	B303	3195	4000
10010302	B304	2821	3921
10010302	S1	2951	4222
10010302	S2	2951	4222
10010302	S3	2951	4222
10010302	S4	2951	4222
10010302	B103	3081	4428
10010302	B202	2977	3996
10010302	B203	2574	4194
10010302	B401	2597	4018
10010302	B402	2522	4415
10010302	B403	2802	4600
10010302	B404	3442	4139
10010302	B405	3088	3823
11010304	PB1	2040	5850
11010304	PB2	1963	5931
11010304	PB3	2111	5762
11010304	PB4	2143	5647
11010304	PB5	1827	5921
11010304	B101	1862	5691
11010304	B102	1764	5757
11010304	B103	1903	5590
11010304	B104	1708	5666
11010304	B105	1788	5576
11010304	B201	1525	5383
11010304	B202	1647	5387
