Key	CellX	CellY
VisibleObstacle		
	33	159
	33	160
	43	158
	34	158
	34	160
	32	161
	29	162
	42	158
	35	159
	41	160
	42	160
	41	158
	35	160
	35	158
	37	158
	36	158
	34	159
	36	160
	34	162
	35	162
	37	160
	28	161
	27	161
	36	159
	39	159
	40	159
	38	160
	37	159
	35	161
	28	160
	27	162
	26	161
	38	158
	38	159
	25	161
	28	162
	39	160
	27	160
	25	162
	26	160
	26	162
	24	161
	24	162
	25	160
	39	158
	25	141
	40	158
	13	117
	23	140
	25	142
	13	118
	11	116
	22	140
	13	115
	13	116
	12	116
	10	117
	12	117
	11	117
	10	118
	12	118
	11	118
	10	119
	10	121
	12	119
	11	119
	10	120
	11	120
	11	122
	13	120
	12	120
	12	121
	22	138
	13	121
	14	122
	23	138
	12	124
	12	122
	11	121
	13	122
	13	123
	21	140
	14	123
	13	124
	13	126
	15	124
	12	123
	14	124
	15	125
	21	138
	13	125
	22	137
	20	138
	14	128
	14	126
	14	127
	21	137
	14	125
	15	126
	15	128
	21	139
	15	127
	16	127
	16	126
	15	130
	15	129
	20	139
	16	128
	16	130
	22	139
	16	129
	17	129
	17	128
	16	132
	18	130
	17	130
	16	131
	19	132
	17	131
	18	131
	20	137
	17	132
	19	133
	18	132
	17	134
	19	137
	17	133
	18	133
	20	133
	18	134
	18	136
	20	134
	19	134
	18	135
	22	136
	23	137
	24	138
	25	139
	20	135
	23	142
	21	135
	21	136
	23	141
	19	138
	19	136
	19	135
	20	136
	40	160
	22	141
	22	142
	23	139
	24	139
	33	158
	32	160
	33	161
	34	161
	29	161
	29	160
	30	162
	31	161
	30	160
	31	162
	33	162
	32	162
	41	159
	30	161
	31	160
	45	159
	52	163
	42	159
	43	160
	44	159
	51	162
	47	160
	43	161
	44	160
	45	160
	52	161
	43	159
	45	162
	50	162
	51	163
	44	161
	71	155
	46	162
	51	161
	47	162
	45	161
	50	163
	46	160
	46	161
	50	160
	47	161
	48	160
	50	161
	49	160
	49	162
	53	161
	48	162
	48	161
	49	161
	53	163
	52	162
	53	162
	54	161
	54	163
	56	163
	54	162
	56	162
	55	163
	55	162
	55	159
	55	161
	57	159
	57	161
	56	159
	56	161
	55	160
	57	160
	56	160
	58	159
	59	160
	60	161
	59	159
	71	154
	58	161
	59	161
	58	160
	62	160
	73	158
	62	157
	62	159
	72	158
	60	158
	61	158
	61	160
	60	160
	60	159
	61	159
	63	157
	62	158
	63	158
	63	160
	64	160
	63	159
	66	157
	67	161
	67	163
	64	157
	64	159
	65	157
	64	158
	65	161
	65	163
	65	162
	66	161
	67	158
	67	162
	66	163
	66	158
	66	162
	65	158
	65	160
	67	160
	70	158
	68	161
	66	159
	69	162
	73	157
	70	162
	71	159
	65	159
	68	162
	70	161
	69	160
	70	159
	66	160
	68	160
	67	159
	69	161
	72	160
	71	156
	70	160
	71	157
	71	160
	71	158
	72	157
	72	159
	73	159
	72	155
	72	156
	72	154
	73	155
	73	156
	73	154
	74	155
	74	156
	74	154
	75	155
	75	156
	75	154
	76	154
	75	153
	76	155
	76	153
	74	153
	77	154
	77	155
	77	153
	78	154
	78	155
	78	153
	79	154
	79	155
	79	153
	80	153
	79	152
	80	154
	80	152
	78	152
	81	153
	81	154
	81	152
	82	153
	82	154
	82	152
	83	153
	83	154
	83	152
	84	153
	84	154
	84	152
	85	153
	85	154
	85	152
	84	151
	85	151
	83	151
	86	152
	86	153
	86	151
	87	152
	88	152
	87	153
	87	151
	88	153
	88	151
	89	152
	89	153
	89	151
	90	152
	90	153
	90	151
	91	152
	91	153
	91	151
	92	152
	92	153
	92	151
	93	152
	93	153
	93	151
	95	152
	96	152
	94	152
	95	153
	95	151
	96	153
	96	151
	94	153
	94	151
	97	152
	97	153
	97	151
	98	152
	98	153
	98	151
	99	152
	99	153
	99	151
	100	152
	101	152
	100	153
	100	151
	101	153
	101	151
	102	152
	102	153
	102	151
	103	152
	104	152
	103	153
	103	151
	104	153
	104	151
	105	152
	106	152
	105	153
	105	151
	106	153
	106	151
	107	152
	128	162
	107	151
	108	152
	129	162
	108	151
	109	152
	128	163
	109	151
	129	163
	128	161
	126	162
	110	152
	127	162
	127	163
	125	162
	111	152
	125	163
	127	161
	126	161
	126	163
	129	161
	124	163
	123	161
	125	161
	123	163
	116	158
	123	162
	109	160
	132	163
	124	162
	131	162
	131	163
	131	164
	130	163
	110	160
	130	164
	132	162
	132	164
	135	169
	136	168
	133	164
	137	169
	136	169
	133	163
	138	168
	135	167
	133	165
	134	164
	137	167
	135	163
	136	166
	132	165
	136	165
	135	168
	134	167
	136	167
	135	166
	137	168
	135	165
	139	168
	130	162
	138	169
	134	163
	135	164
	134	165
	134	166
	145	164
	145	163
	144	166
	144	163
	145	162
	145	166
	143	163
	145	161
	144	162
	143	164
	146	162
	141	165
	141	168
	145	165
	143	167
	141	166
	144	165
	143	165
	142	165
	144	164
	142	166
	140	166
	142	167
	140	168
	141	167
	139	166
	143	166
	140	167
	139	167
	139	169
	138	167
	116	160
	115	158
	115	160
	116	159
	114	158
	114	160
	115	159
	114	159
	111	160
	113	158
	113	160
	112	160
	113	159
	112	159
	112	158
	109	157
	109	159
	110	158
	110	159
	109	158
	111	156
	111	158
	112	156
	111	159
	112	157
	110	155
	110	157
	111	157
	110	156
	112	154
	111	155
	112	151
	112	153
	112	155
	112	152
	109	153
	111	154
	110	151
	110	154
	111	153
	111	151
	110	153
	118	160
	118	158
	117	160
	108	153
	107	153
	117	158
	118	159
	117	159
	119	158
	120	160
	120	158
	119	160
	120	159
	121	158
	124	161
	122	160
	119	159
	123	160
	123	158
	122	158
	125	158
	125	160
	122	159
	123	159
	121	159
	124	160
	121	160
	124	158
	124	159
	144	140
	145	140
	143	140
	125	159
	142	140
	143	139
	144	139
	142	139
	143	138
	144	138
	142	138
	143	137
	144	137
	142	137
	143	136
	144	136
	142	136
	143	135
	144	135
	142	135
	143	134
	144	134
	142	134
	143	133
	144	133
	142	133
	143	132
	144	132
	142	132
	143	131
	144	131
	142	131
	145	131
	144	130
	145	132
	145	130
	143	130
	144	129
	145	129
	143	129
	142	129
	143	128
	144	128
	142	130
	142	128
	143	127
	144	127
	142	127
	143	126
	144	126
	142	126
	143	125
	144	125
	142	125
	143	124
	144	124
	142	124
	143	123
	144	123
	142	123
	143	122
	144	122
	142	122
	145	122
	144	121
	145	123
	145	121
	143	121
	144	120
	145	120
	143	120
	144	119
	145	119
	143	119
	142	120
	142	121
	142	119
	143	118
	144	118
	142	118
	143	117
	144	117
	142	117
	143	116
	144	116
	142	116
	143	115
	144	115
	142	115
	143	114
