Key	CellX	CellY
VisibleObstacle		
	91	203
	92	203
	90	203
	91	204
	91	202
	92	204
	92	202
	90	204
	90	202
	91	205
	92	205
	90	205
	91	206
	92	206
	90	206
	91	207
	92	207
	90	207
	91	201
	92	201
	90	201
	91	200
	92	200
	90	200
	91	199
	92	199
	90	199
	91	198
	92	198
	90	198
	91	197
	92	197
	90	197
	91	196
	92	196
	90	196
	91	195
	92	195
	90	195
	91	194
	92	194
	90	194
	91	193
	92	193
	90	193
	91	192
	92	192
	90	192
	91	191
	92	191
	90	191
	91	190
	92	190
	90	190
	91	189
	92	189
	90	189
	91	188
	92	188
	90	188
	91	187
	92	187
	90	187
	91	186
	92	186
	90	186
	91	185
	92	185
	90	185
	91	184
	92	184
	90	184
	91	183
	92	183
	90	183
	91	182
	92	182
	90	182
	91	149
	91	151
	90	150
	90	181
	91	181
	92	150
	90	180
	91	180
	91	150
	92	181
	92	180
	91	179
	92	179
	90	179
	91	178
	92	178
	90	178
	91	177
	92	177
	90	177
	91	176
	92	176
	90	176
	91	175
	92	175
	90	175
	91	174
	92	174
	90	174
	91	173
	92	173
	90	173
	91	172
	92	172
	90	172
	91	171
	92	171
	90	171
	91	170
	92	170
	90	170
	91	169
	92	169
	90	169
	91	168
	92	168
	90	168
	91	167
	92	167
	90	167
	91	166
	92	166
	90	166
	91	165
	92	165
	90	165
	91	164
	92	164
	90	164
	91	163
	92	163
	90	163
	91	162
	92	162
	90	162
	91	161
	92	161
	90	161
	91	160
	92	160
	90	160
	91	159
	92	159
	90	159
	91	158
	92	158
	90	158
	91	157
	92	157
	90	157
	90	151
	92	149
	92	151
	91	156
	92	156
	90	156
	91	155
	92	155
	90	155
	91	154
	92	154
	90	154
	91	153
	92	153
	90	153
	91	152
	92	152
	90	152
	90	149
	91	148
	92	148
	90	148
	91	147
	92	147
	90	147
	91	145
	92	145
	90	145
	91	146
	91	144
	92	146
	92	144
	90	146
	90	144
	91	143
	92	143
	90	143
	91	142
	92	142
	90	142
	91	141
	92	141
	90	141
	91	140
	92	140
	90	140
	91	138
	92	138
	90	138
	91	139
	91	137
	92	139
	92	137
	90	139
	90	137
	91	136
	92	136
	90	136
	91	135
	92	135
	90	135
	91	133
	92	133
	90	133
	91	134
	91	132
	92	134
	92	132
	90	134
	90	132
	91	130
	92	130
	90	130
	91	131
	91	129
	92	131
	92	129
	90	131
	90	129
	91	128
	92	128
	90	128
	91	127
	92	127
	90	127
	91	125
	92	125
	90	125
	91	126
	91	124
	92	126
	92	124
	90	126
	90	124
	91	122
	92	122
	90	122
	91	123
	91	121
	92	123
	92	121
	90	123
	90	121
	91	120
	92	120
	90	120
	91	119
	92	119
	90	119
	91	118
	92	118
	90	118
	91	117
	92	117
	90	117
	91	115
	92	115
	90	115
	91	116
	91	114
	92	116
	92	114
	90	116
	90	114
	91	113
	92	113
	90	113
	91	112
	92	112
	90	112
	91	110
	92	110
	90	110
	91	111
	91	109
	92	111
	92	109
	90	111
	90	109
	91	107
	92	107
	90	107
	91	108
	91	106
	92	108
	92	106
	90	108
	90	106
	91	105
	92	105
	90	105
	91	104
	92	104
	90	104
