Info	Key	X	Y
30030201	PB1	460	1256
30030201	PB2	430	1397
30030201	PB3	496	1337
30030201	PB4	327	1358
30030201	PB5	405	1287
30030201	S101	1711	2492
30030201	S102	1707	2483
30030201	S103	1706	2492
30030201	S104	1705	2487
30030201	S105	1709	2488
30030201	B101	602	1697
30030201	B102	704	1596
30030201	B103	804	1504
30030201	B201	724	1813
30030201	B202	1036	1545
30030201	B203	821	1720
30030201	B204	928	1631
30030201	B205	957	1757
30030201	B301	861	2017
30030201	B302	1177	1772
30030201	B303	1025	2021
30030201	B304	1133	1928
30030201	B305	1006	1887
30030201	B306	1065	2121
30030201	B307	1210	1975
30030201	S1	262	1220
30030201	S2	263	1220
30030201	S3	263	1220
30030201	B104	902	1419
30030201	B105	579	1564
30030201	B106	780	1378
30030201	B401	1198	2202
30030201	B402	1287	2113
30030201	B403	1239	2336
30030201	B404	1320	2242
30030201	B405	1409	2157
30030201	S4	1040	1914
30030201	B501	1697	2409
30030201	B502	1717	2011
30030201	B503	1948	2275
30030201	B504	1948	2145
30030201	B505	1806	2295
30030201	B506	1794	2133
30030201	S5	1567	2194
30030201	B601	1571	2404
30030201	B602	1579	1995
30030201	B603	2094	2279
30030201	B604	2086	2100
30030201	B605	1948	2267
30030201	B606	1952	2133
30030201	B607	2200	2177
30030201	S6	0	0
30030202	PB1	845	2770
30030202	PB2	977	2766
30030202	PB3	1112	2762
30030202	PB4	1243	2757
30030202	PB5	1374	2755
30030202	S101	845	2653
30030202	S102	976	2651
30030202	S103	1108	2652
30030202	S104	1237	2651
30030202	S105	1369	2649
30030202	B101	1117	2225
30030202	B201	1117	2097
30030202	B301	630	2300
30030202	B401	1120	1920
30030202	B501	1126	1853
30030202	B601	1130	1767
30030202	S1	1125	2533
30030202	S2	1120	2536
30030202	S3	1120	2293
30030202	S4	1122	2300
30030202	S5	1112	2305
30030202	S6	1118	2308
30030202	B102	994	2195
30030202	B103	1239	2182
30030202	B104	783	2384
30030202	B105	1402	2389
30030202	B202	994	2074
30030202	B203	1252	2062
30030202	B204	787	2380
30030202	B205	1398	2384
30030202	B302	1015	1945
30030202	B303	1243	1937
30030202	B304	800	2268
30030202	B305	1411	2285
30030202	B402	1011	1836
30030202	B403	1254	1822
30030202	B404	804	2167
30030202	B405	1420	2195
30030202	B502	1011	1786
30030202	B503	1263	1786
30030202	B504	795	2071
30030202	B505	1447	2103
30030202	B602	1011	1706
30030202	B603	1238	1702
30030202	B604	788	1990
30030202	B605	1447	2023
10040403	PB1	1518	2168
10040403	PB2	977	2766
10040403	PB3	1112	2762
10040403	PB4	1243	2757
10040403	PB5	1374	2755
10040403	B101	5349	2303
10040403	B201	3276	3064
10040403	B202	3228	1752
10040403	S1	4028	2312
10040403	S2	3307	2417
10030203	PB1	6034	2119
10030203	PB2	880	2287
10030203	PB3	880	2128
10030203	PB4	1010	2287
10030203	PB5	1006	2126
10030203	B101	5072	2114
10030203	B102	5000	1824
10030203	B103	5022	2365
10030203	B104	5434	2131
10030203	B201	4264	2086
10030203	B202	4158	1774
10030203	B203	4124	2410
10030203	B301	3452	1769
10030203	B302	3444	2315
10030203	B303	3876	2544
10030203	S1	5890	2096
10030203	S2	5055	2069
10030203	S3	3870	2076
10030203	B401	2715	1883
10030203	B402	2722	2310
10030203	B403	2867	1637
10030203	B404	2896	2521
10030203	B405	5178	1655
10030203	CCJT1	2234	1899
10030203	CCJT2	2234	2473
10030203	S4	3465	2060
10030203	B105	5574	1847
10030203	B106	5590	2426
10030203	B304	3893	1586
10030403	PB1	473	2186
10030403	PB2	0	0
10030403	PB3	0	0
10030403	PB4	0	0
10030403	PB5	0	0
10030403	S1	643	2186
10030403	B101	1378	2530
10030403	B102	1390	1849
10030403	CCJT1	491	1071
10030403	CCJT2	491	3637
10030204	PB1	2581	2181
10030204	PB2	880	2287
10030204	PB3	880	2128
10030204	PB4	1010	2287
10030204	PB5	1006	2126
10030204	B101	3367	2107
10030204	B102	3667	2326
10030204	B103	3653	1850
10030204	B104	815	1615
10030204	B201	4100	2115
10030204	B202	4300	1831
10030204	B203	4300	2363
10030204	B301	4800	1826
10030204	B302	4800	2351
10030204	B303	3704	2118
10030204	S1	2880	2164
10030204	S2	3572	2108
10030204	S3	3870	2076
10030204	B401	5567	2064
10030204	B402	5877	2339
10030204	B403	5887	1765
10030204	B404	5448	2289
10030204	B405	5178	1655
10030204	S4	4897	2119
10030204	NPC1	2790	1884
10030204	JS	1688	2134
10040303	PB1	5311	2094
10040303	PB2	430	1397
10040303	PB3	496	1337
10040303	PB4	327	1358
10040303	PB5	405	1287
10040303	S101	1711	2492
10040303	S102	1707	2483
10040303	S103	1706	2492
10040303	S104	1705	2487
10040303	S105	1709	2488
10040303	B101	687	1780
10040303	B102	876	1581
10040303	B103	844	1811
10040303	B104	913	1739
10040303	B201	686	2096
10040303	B202	1169	1583
10040303	B203	976	2034
10040303	B204	1131	1841
10040303	B205	585	1485
10040303	B206	846	1970
10040303	B207	1072	1710
10040303	B301	588	1484
10040303	B302	491	1936
10040303	B303	984	1411
10040303	B304	1047	1931
10040303	B305	656	1555
10040303	B306	427	1709
10040303	B307	1232	1711
10040303	B308	670	1471
10040303	S1	495	1413
10040303	S2	747	1638
10040303	S3	813	1704
10040303	B208	982	1846
10040303	B209	1171	1978
10040303	B401	737	1918
10040303	B402	1108	1660
10040303	B403	1098	2059
10040303	B404	1268	1883
10040303	B405	1133	1927
10040303	S4	737	1619
10040303	B501	1252	2131
10040303	B502	1353	2028
10040303	B503	1108	2144
10040303	B504	1309	1805
10040303	B505	916	2031
10040303	S5	932	1748
10040303	B506	1381	2150
10040204	PB1	501	2166
10040204	PB2	880	2287
10040204	PB3	880	2128
10040204	PB4	1010	2287
10040204	PB5	1006	2126
10040204	S101	945	1996
10040204	S102	943	1996
10040204	S103	945	2000
10040204	S104	941	2000
10040204	S105	947	1998
10040204	B101	1501	2075
10040204	B102	1351	2367
10040204	B103	1367	1921
10040204	B104	815	1615
10040204	B105	1147	2045
10040204	B106	748	2226
10040204	B201	1110	2226
10040204	B202	563	2095
10040204	B203	1328	2254
10040204	B204	591	2291
10040204	B205	1393	1933
10040204	B206	524	1904
10040204	B207	1275	2437
10040204	B302	1481	2150
10040204	B303	683	1827
10040204	B304	638	2480
10040204	B305	1206	2146
10040204	B306	740	2091
10040204	S1	947	2203
10040204	S2	947	2199
10040204	S3	941	2199
10040204	B301	981	2529
10040204	B401	1162	1835
10040204	B402	1408	2050
10040204	B403	1418	2346
10040204	B404	1142	2471
10040204	B405	806	2511
10040204	B406	561	2175
10040204	S4	962	2130
10040204	B501	536	2356
10040204	B502	536	2165
10040204	B503	536	1970
10040204	B504	901	2541
10040204	B505	786	1699
10040204	S5	1673	2160
10040204	B601	1348	2120
10040204	B602	1471	2207
10040204	B603	1457	2031
10040204	B604	1185	2194
10040204	B605	1171	2055
10040204	S6	955	2116
10040104	PB1	542	2265
10040104	B101	1446	2200
10040104	BA1	5460	2044
10040104	B201	4109	3585
10040104	B202	5093	3371
10040104	B301	4120	2448
10040404	PB1	4517	2198
10040404	PB2	4517	2305
10040404	PB3	4517	2092
10040404	PB4	4517	2390
10040404	PB5	4517	1994
10040404	S101	2500	2187
10040404	S102	3646	2075
10040404	S103	3609	2302
10040404	S104	2488	2196
10040404	S105	2497	2184
10040404	B101	3718	2204
10040404	B102	5619	2595
10040404	B103	5636	1933
10040404	B201	4488	2766
10040404	B202	4337	2725
10040404	B301	4341	1741
10040404	B302	4546	1717
10040404	B401	4929	2611
10040404	B402	5064	2611
10040404	B501	4937	1823
10040404	B502	5072	1823
10040404	B601	3729	2427
10040404	B602	3745	1994
10040404	S1	4509	2207
10040404	S2	4513	2207
10040404	S3	4509	2211
10040404	S4	4509	2207
10040404	S5	4517	2207
10040404	S6	4520	2196
20010101	PB1	4517	2198
20010101	PB2	4517	2305
20010101	PB3	4517	2092
20010101	PB4	4517	2390
20010101	PB5	4517	1994
20010101	S101	5872	2256
20010101	S102	5868	2260
20010101	S103	5868	2264
20010101	S104	5868	2260
20010101	S105	5868	2260
20010101	B101	5562	2264
20010101	B102	5619	2595
20010101	B103	5636	1933
