Key	CellX	CellY
VisibleObstacle		
	62	137
	63	137
	61	137
	62	138
	62	136
	63	138
	63	136
	61	138
	61	136
	62	135
	63	135
	61	135
	62	134
	63	134
	61	134
	62	133
	63	133
	61	133
	62	132
	63	132
	61	132
	62	131
	63	131
	61	131
	62	130
	63	130
	61	130
	62	129
	63	129
	61	129
	62	128
	63	128
	61	128
	62	127
	63	127
	61	127
	62	126
	63	126
	61	126
	62	125
	63	125
	61	125
	62	124
	63	124
	61	124
	62	123
	63	123
	61	123
	62	122
	63	122
	61	122
	62	121
	63	121
	61	121
	62	120
	63	120
	61	120
	62	114
	63	115
	61	116
	62	113
	61	114
	63	114
	61	115
	62	115
	63	116
	62	116
	61	117
	61	106
	63	117
	62	117
	79	137
	79	138
	80	137
	61	118
	66	137
	80	138
	81	137
	62	118
	81	138
	82	137
	63	119
	82	138
	83	137
	62	111
	83	138
	61	119
	63	118
	62	119
	63	111
	62	110
	63	110
	84	137
	84	138
	85	137
	62	109
	85	138
	86	137
	62	108
	86	138
	87	138
	62	107
	87	136
	88	137
	62	106
	88	138
	87	137
	62	105
	89	137
	63	105
	62	104
	63	106
	63	104
	61	104
	62	103
	63	103
	61	103
	63	107
	63	108
	64	136
	63	109
	64	138
	64	137
	62	102
	63	102
	61	102
	62	101
	63	101
	61	101
	62	100
	63	100
	61	100
	62	99
	63	99
	61	99
	62	98
	63	98
	61	98
	62	97
	63	97
	61	97
	62	96
	63	96
	61	96
	62	95
	63	95
	61	95
	62	94
	63	94
	61	94
	62	93
	63	93
	61	93
	62	92
	63	92
	61	92
	62	91
	63	91
	61	91
	62	90
	63	90
	61	90
	62	89
	63	89
	61	89
	62	88
	63	88
	61	88
	62	87
	63	87
	61	87
	62	86
	63	86
	61	86
	62	85
	63	85
	61	85
	62	84
	63	84
	61	84
	62	83
	63	83
	61	83
	62	82
	63	82
	61	82
	62	81
	63	81
	61	81
	62	80
	63	80
	61	80
	62	79
	63	79
	61	79
	62	78
	63	78
	61	78
	62	77
	63	77
	61	77
	62	76
	63	76
	61	76
	62	75
	63	75
	61	75
	62	74
	63	74
	61	74
	62	73
	63	73
	61	73
	62	72
	63	72
	61	72
	62	71
	63	71
	61	71
	62	70
	63	70
	61	70
	62	69
	63	69
	61	69
	62	68
	63	68
	61	68
	62	67
	63	67
	61	67
	62	66
	63	66
	61	66
	62	65
	63	65
	61	65
	71	137
	61	64
	62	64
	70	136
	71	138
	61	63
	62	63
	71	136
	61	62
	62	62
	72	137
	61	61
	62	61
	72	138
	61	60
	62	60
	72	136
	61	59
	62	59
	73	137
	61	58
	62	58
	73	138
	61	57
	62	57
	73	136
	61	56
	62	56
	74	137
	61	55
	62	55
	74	138
	61	54
	62	54
	74	136
	61	53
	62	53
	75	137
	61	52
	62	52
	75	138
	61	51
	62	51
	75	136
	61	50
	62	50
	76	137
	61	49
	62	49
	76	138
	61	48
	62	48
	76	136
	61	47
	62	47
	77	137
	61	46
	62	46
	77	138
	61	45
	62	45
	77	136
	61	44
	62	44
	78	138
	61	43
	62	43
	78	136
	63	44
	63	45
	63	43
	62	42
	63	42
	61	42
	63	46
	63	47
	63	48
	63	49
	63	50
	63	51
	63	52
	63	53
	63	54
	63	55
	63	56
	63	57
	63	58
	63	59
	63	60
	63	61
	63	62
	63	63
	63	64
	78	137
	114	137
	113	138
	115	137
	112	136
	112	137
	111	138
	110	136
	70	138
	110	138
	70	137
	110	137
	69	136
	69	138
	69	137
	107	137
	107	136
	107	138
	106	138
	105	136
	105	137
	104	138
	103	136
	103	137
	102	138
	68	136
	68	138
	68	137
	67	136
	89	136
	90	138
	91	137
	91	136
	92	138
	93	137
	93	136
	94	138
	95	137
	95	136
	96	138
	97	137
	98	137
	98	138
	97	136
	66	138
	66	136
	67	137
	67	138
	100	136
	100	138
	101	137
	101	138
	62	112
	63	113
	61	112
	61	110
	61	108
	65	137
	65	138
	61	107
	65	136
	61	105
	79	136
	80	136
	81	136
	82	136
	83	136
	84	136
	85	136
	86	136
	88	136
	89	138
	90	137
	90	136
	94	136
	94	137
	95	138
	96	137
	96	136
	97	138
	98	136
	99	137
	99	138
	99	136
	100	137
	92	136
	92	137
	93	138
	91	138
	61	109
	61	111
	63	112
	61	113
	101	136
	102	137
	102	136
	103	138
	104	137
	104	136
	105	138
	106	137
	106	136
	108	137
	108	138
	108	136
	109	137
	109	138
	109	136
	111	136
	111	137
	112	138
	113	137
	113	136
	114	138
	115	136
	116	137
	116	138
	114	136
	115	138
	116	136
	117	137
	117	138
	117	136
	118	137
	118	138
	118	136
	119	137
	119	138
	119	136
	120	137
	120	138
	120	136
	121	137
	121	138
	121	136
	122	137
	122	138
	122	136
	123	136
	123	137
	124	136
	124	137
	125	137
	124	138
	125	138
	125	136
	123	138
	126	137
	126	138
	126	136
	127	137
	127	138
	127	136
	128	137
	128	138
	128	136
	129	137
	129	138
	129	136
	130	137
	130	138
	130	136
	131	137
	131	138
	131	136
	132	137
	132	138
	132	136
	133	137
	133	138
	133	136
	134	137
	134	138
	134	136
	135	137
	135	138
	135	136
	136	137
	136	138
	136	136
	137	138
	137	137
	138	138
	138	137
	139	138
	139	137
	140	138
	140	137
	141	138
	141	137
	142	138
	142	137
	144	138
	145	138
	143	138
	144	137
	145	137
	143	137
	146	138
	146	137
	147	138
	147	137
	148	138
	148	137
	137	136
	138	136
	139	136
	140	136
	141	136
	142	136
	143	136
	144	136
	145	136
	146	136
	147	136
	148	136
	149	137
	149	138
	149	136
	150	137
	150	138
	150	136
	151	137
	151	138
	151	136
	152	137
	152	138
	152	136
	153	137
	153	138
	153	136
	154	137
	154	138
	154	136
	155	137
	155	138
	155	136
	156	137
	156	138
	156	136
	157	137
	157	138
	157	136
	158	137
	158	138
	158	136
	159	137
	159	138
	159	136
	160	137
	160	138
	160	136
	161	137
	161	138
	161	136
	162	137
	162	138
	162	136
	163	137
	163	138
	163	136
	164	137
	164	138
	164	136
	165	137
	165	138
	165	136
	166	137
	166	138
	166	136
	167	137
	167	138
	167	136
	168	137
	168	138
	168	136
	169	137
	169	138
	169	136
	170	137
	170	138
	170	136
	171	137
	171	138
	171	136
	172	137
	172	138
	172	136
	173	137
	173	138
	173	136
	174	137
	174	138
	174	136
	175	137
	175	138
	175	136
	176	137
	176	138
	176	136
	177	137
	177	138
	177	136
	178	137
	178	138
	178	136
	179	137
	179	138
	179	136
	180	137
	180	138
	180	136
	181	137
	181	138
	181	136
	182	137
	182	138
	182	136
	183	137
	183	138
	183	136
	184	137
	184	138
	184	136
	185	137
	185	138
	185	136
	186	137
	186	138
	186	136
	187	137
	187	138
	187	136
	188	137
	188	138
	188	136
