Info	Key	X	Y
12345678	PB1	3700	2500
12345678	PB2	4000	2500
12345678	PB3	4300	2500
12345678	PB4	4600	2500
12345678	PB5	4900	2500
12345678	B101	2339	4032
12345678	B105	3621	4025
12345678	B106	3934	4028
12345678	B108	4610	4022
12345678	B109	4929	4028
12345678	B110	5219	4028
12345678	B111	5568	4025
12345678	B112	5891	4022
12345678	B113	6207	4022
12345678	B114	6399	3416
12345678	B115	6399	3147
12345678	B116	6402	2750
12345678	B117	6409	2421
12345678	B118	6402	2108
12345678	B119	6396	1822
12345678	B120	6406	1496
12345678	B121	6402	1173
12345678	S1	4329	2259
12345678	B102	4338	1172
12345678	B122	3632	3310
12345678	ZX1	5091	2372
