Key	CellX	CellY
VisibleObstacle		
	65	140
	66	140
	64	140
	65	141
	65	139
	66	141
	66	139
	64	141
	64	139
	63	140
	63	141
	63	139
	64	142
	65	142
	63	142
	64	143
	65	143
	63	143
	62	142
	62	143
	62	141
	63	144
	64	144
	62	144
	61	143
	61	144
	61	142
	62	145
	63	145
	61	145
	60	144
	60	145
	60	143
	61	146
	62	146
	60	146
	61	147
	62	147
	60	147
	59	146
	59	147
	59	145
	60	148
	61	148
	59	148
	58	147
	58	148
	58	146
	59	149
	60	149
	58	149
	59	150
	60	150
	58	150
	57	149
	57	150
	57	148
	58	151
	59	151
	57	151
	56	151
	57	152
	58	152
	56	152
	56	150
	57	153
	58	153
	56	153
	57	154
	58	154
	59	161
	60	161
	60	162
	58	161
	59	154
	59	162
	59	153
	60	159
	59	160
	59	159
	61	160
	61	161
	61	159
	61	162
	26	98
	64	158
	58	160
	60	160
	60	157
	60	156
	60	155
	62	156
	62	158
	61	154
	63	156
	62	157
	62	154
	61	155
	63	159
	65	159
	61	156
	62	155
	60	154
	61	157
	63	155
	63	157
	64	157
	64	159
	65	157
	63	158
	65	158
	64	160
	65	161
	65	162
	65	160
	66	161
	66	162
	66	160
	67	161
	67	162
	67	160
	66	163
	67	163
	65	163
	68	162
	68	163
	68	161
	67	164
	68	164
	66	164
	67	165
	68	165
	66	165
	69	164
	69	165
	69	163
	68	166
	69	166
	67	166
	68	167
	69	167
	67	167
	68	168
	69	168
	67	168
	68	169
	69	169
	67	169
	70	168
	70	169
	70	167
	69	170
	70	170
	68	170
	71	169
	71	170
	71	168
	70	171
	71	171
	69	171
	72	170
	72	171
	72	169
	73	170
	73	171
	73	169
	74	170
	74	171
	74	169
	75	170
	75	171
	75	169
	74	172
	75	172
	73	172
	76	171
	76	172
	76	170
	75	173
	76	173
	74	173
	75	174
	76	174
	74	174
	75	175
	76	175
	74	175
	75	176
	76	176
	74	176
	75	177
	76	177
	74	177
	75	178
	76	178
	74	178
	75	179
	76	179
	74	179
	73	178
	73	179
	73	177
	74	180
	75	180
	73	180
	72	180
	73	181
	74	181
	72	181
	72	179
	73	182
	74	182
	72	182
	71	181
	71	182
	71	180
	72	183
	73	183
	71	183
	70	182
	70	183
	70	181
	71	184
	72	184
	70	184
	69	183
	68	183
	69	184
	69	182
	68	184
	68	182
	67	183
	67	184
	67	182
	66	183
	66	184
	66	182
	65	183
	65	184
	65	182
	64	183
	64	184
	64	182
	63	183
	63	184
	63	182
	62	183
	62	184
	62	182
	61	183
	61	184
	61	182
	60	183
	60	184
	60	182
	59	183
	59	184
	59	182
	58	183
	58	184
	58	182
	57	183
	57	184
	57	182
	56	183
	55	183
	56	184
	56	182
	55	184
	55	182
	54	183
	54	184
	54	182
	53	183
	53	184
	53	182
	52	183
	52	184
	52	182
	51	183
	51	184
	51	182
	52	185
	53	185
	51	185
	50	184
	50	185
	50	183
	49	184
	49	185
	49	183
	48	184
	48	185
	48	183
	47	184
	47	185
	47	183
	46	184
	46	185
	46	183
	45	184
	45	185
	45	183
	46	186
	47	186
	45	186
	44	185
	44	186
	44	184
	43	185
	43	186
	43	184
	42	186
	43	187
	44	187
	42	187
	42	185
	43	188
	44	188
	42	188
	41	187
	41	188
	41	186
	42	189
	43	189
	41	189
	40	188
	40	189
	40	187
	41	190
	42	190
	40	190
	39	189
	39	190
	39	188
	38	190
	39	191
	40	191
	38	191
	38	189
	37	190
	37	191
	37	189
	38	192
	39	192
	37	192
	36	191
	36	192
	36	190
	35	191
	35	192
	35	190
	34	191
	34	192
	34	190
	33	192
	34	193
	35	193
	33	193
	33	191
	32	192
	32	193
	32	191
	31	192
	31	193
	31	191
	30	192
	29	192
	30	193
	30	191
	29	193
	29	191
	28	192
	28	193
	28	191
	27	192
	27	193
	27	191
	26	192
	26	193
	26	191
	25	192
	25	193
	25	191
	24	192
	24	193
	24	191
	23	192
	23	193
	23	191
	22	192
	22	193
	22	191
	21	192
	21	193
	21	191
	22	190
	23	190
	21	190
	22	189
	23	189
	21	189
	22	188
	23	188
	21	188
	22	187
	23	187
	21	187
	22	186
	23	186
	21	186
	22	185
	23	185
	21	185
	22	184
	23	184
	21	184
	22	183
	23	183
	21	183
	22	182
	23	182
	21	182
	22	181
	23	181
	21	181
	24	182
	25	182
	24	183
	24	181
	25	183
	25	181
	22	173
	23	173
	21	173
	22	174
	22	172
	23	174
	23	172
	21	174
	21	172
	24	173
	24	174
	24	172
	25	173
	25	174
	25	172
	19	182
	20	182
	18	182
	19	183
	19	181
	20	183
	20	181
	18	183
	18	181
	19	180
	20	180
	18	180
	19	179
	20	179
	18	179
	19	178
	20	178
	18	178
	19	177
	20	177
	18	177
	19	176
	20	176
	18	176
	19	175
	20	175
	18	175
	19	174
	20	174
	18	174
	19	173
	20	173
	18	173
	19	172
	20	172
	18	172
	24	171
	25	171
	23	171
	24	170
	25	170
	23	170
	24	169
	25	169
	23	169
	24	168
	25	168
	23	168
	24	167
	25	167
	23	167
	24	166
	25	166
	23	166
	24	165
	25	165
	23	165
	26	166
	26	167
	26	165
	25	164
	26	164
	24	164
	25	163
	26	163
	24	163
	27	164
	27	165
	27	163
	26	162
	27	162
	25	162
	24	162
	25	161
	26	161
	24	161
	23	162
	23	163
	23	161
	24	160
	25	160
	23	160
	22	160
	23	159
	24	159
	22	161
	22	159
	21	160
	21	161
	21	159
	22	158
	23	158
	21	158
	22	157
	23	157
	21	157
	20	158
	20	159
	20	157
	21	156
	22	156
	20	156
	21	155
	22	155
	20	155
	19	156
	19	157
	19	155
	20	154
	21	154
	19	154
	20	153
	21	153
	19	153
	20	152
	21	152
	19	152
	22	152
	21	151
	22	153
	22	151
	20	151
	21	150
	22	150
	20	150
	23	151
	23	152
	23	150
	22	149
	23	149
	21	149
	22	148
	23	148
	21	148
	22	147
	23	147
	21	147
	22	146
	23	146
	21	146
	20	147
	20	148
	20	146
	22	145
	23	145
	21	145
	22	144
	23	144
	21	144
	24	145
	24	146
	24	144
	23	143
	24	143
	22	143
	23	142
	24	142
	22	142
	25	143
	25	144
	25	142
	26	142
	25	141
	26	143
	26	141
	24	141
	25	140
	26	140
	24	140
	25	139
	26	139
	24	139
	27	140
	27	141
	27	139
	27	142
	27	143
	24	147
	25	146
	25	147
	25	145
	26	144
	26	145
	26	137
	27	137
	25	137
	26	138
	26	136
	27	138
	27	136
	25	138
	25	136
	26	134
	27	134
	25	134
	26	135
	26	133
	27	135
	27	133
	25	135
	25	133
	26	132
	27	132
	25	132
	26	131
	27	131
	25	131
	28	132
	28	133
	28	131
	27	130
	28	130
	26	130
	29	131
	29	132
	29	130
	30	131
	30	132
	30	130
	31	131
	31	132
	31	130
	30	129
	31	129
	29	129
	30	128
	31	128
	29	128
	32	129
	32	130
	32	128
	31	127
	32	127
	30	127
	29	127
	30	126
	31	126
	29	126
	28	127
	28	128
	28	126
	29	125
	30	125
	28	125
	27	126
	27	127
	27	125
	28	124
	29	124
	27	124
	26	125
	26	126
	26	124
	25	124
	26	123
	27	123
	25	125
	25	123
	24	123
	25	122
	26	122
	24	124
	24	122
	25	121
	26	121
	24	121
	25	120
	26	120
	24	120
	25	119
	26	119
	24	119
	23	120
	23	121
	23	119
	24	118
	25	118
	23	118
	24	117
	25	117
	23	117
	24	116
	25	116
	23	116
	24	115
	25	115
	23	115
	24	114
	25	114
	23	114
	24	113
	25	113
	23	113
	26	114
	26	115
	26	113
	25	112
	26	112
	24	112
	27	112
	26	111
	27	113
	27	111
	25	111
	26	110
	27	110
	25	110
	28	110
	27	109
	28	111
	28	109
	26	109
	27	108
	28	108
	26	108
	29	108
	28	107
	29	109
	29	107
	27	107
	28	106
	29	106
	27	106
	27	104
	29	104
	28	104
	28	105
	28	103
	29	105
	29	103
	27	105
	27	103
	28	102
	29	102
	27	102
	28	101
	29	101
	27	101
	28	100
	29	100
	27	100
	28	99
	29	99
	27	99
	28	98
	29	98
	27	98
	28	97
	29	97
	27	97
	34	138
	35	138
	33	138
	34	139
	34	137
	35	139
	35	137
	33	139
	33	137
	34	136
	35	136
	33	136
	36	137
	36	138
	36	136
	37	137
	37	138
	37	136
	38	137
	38	138
	38	136
	39	137
	39	138
	39	136
	40	137
	40	138
	40	136
	41	137
	41	138
	41	136
	42	137
	42	138
	42	136
	43	137
	43	138
	43	136
	44	137
	44	138
	44	136
	43	139
	44	139
	42	139
	37	139
	38	139
	36	139
	39	139
	40	139
	41	139
	53	138
	54	138
	52	138
	53	139
	53	137
	54	139
	54	137
	52	139
	52	137
	53	136
	54	136
	52	136
	55	138
	56	138
	55	139
	55	137
	56	139
	56	137
	57	138
	57	139
	57	137
	58	138
	58	139
	58	137
	59	138
	59	139
	59	137
	60	138
	60	139
	60	137
	61	138
	61	139
	61	137
	62	138
	62	139
	62	137
	55	136
	56	136
	57	136
	58	136
	59	136
	60	136
	61	136
	62	136
	63	137
	63	138
	63	136
	64	137
	64	138
	64	136
	65	137
	65	138
	65	136
	66	137
	66	138
	66	136
	65	134
	66	134
	64	134
	65	135
	65	133
	66	135
	66	133
	64	135
	64	133
	67	133
	66	132
	67	134
	67	132
	65	132
	68	132
	67	131
	68	133
	68	131
	66	131
	67	130
	68	130
	66	130
	69	131
	69	132
	69	130
	68	129
	69	129
	67	129
	70	130
	70	131
	70	129
	69	128
	70	128
	68	128
	71	129
	71	130
	71	128
	70	127
	71	127
	69	127
	72	128
	72	129
	72	127
	73	128
	73	129
	73	127
	74	129
	73	130
	74	130
	74	128
	72	130
	75	129
	75	130
	75	128
	74	131
	75	131
	73	131
	76	131
	75	132
	76	132
	76	130
	74	132
	77	131
	77	132
	77	130
	76	133
	77	133
	75	133
	76	134
	77	134
	75	134
	78	133
	78	134
	78	132
	79	133
	79	134
	79	132
	80	133
	80	134
	80	132
	81	133
	81	134
	81	132
	82	132
	81	131
	82	133
	82	131
	80	131
	83	132
	83	133
	83	131
	84	132
	84	133
	84	131
	85	131
	84	130
	85	132
	85	130
	83	130
	86	131
	86	132
	86	130
	87	131
	87	132
	87	130
	88	131
	88	132
	88	130
	89	131
	89	132
	89	130
	90	131
	90	132
	90	130
	91	131
	91	132
	91	130
	92	131
	92	132
	92	130
	93	131
	94	131
	93	132
	93	130
	94	132
	94	130
	91	115
	92	115
	90	115
	91	114
	92	114
	90	114
	93	115
	94	115
	93	114
	95	121
	94	114
	95	115
	96	115
	95	122
	95	114
	96	116
	96	114
	95	127
	95	128
	95	126
	95	129
	95	131
	95	132
	95	130
	96	127
	97	127
	96	128
	96	126
	97	128
	97	126
	98	127
	98	128
	98	126
	99	127
	99	128
	99	126
	100	127
	100	128
	100	126
	99	125
	100	125
	99	124
	100	124
	95	119
	99	123
	100	123
	95	120
	99	122
	100	122
	96	117
	99	121
	100	121
	98	117
	99	120
	100	120
	86	115
	99	118
	100	118
	88	115
	99	119
	99	117
	100	119
	100	117
	87	115
	89	115
	99	115
	100	115
	98	115
	99	116
	99	114
	100	116
	100	114
	98	116
	98	114
	97	115
	97	116
	97	114
	91	113
	92	113
	90	113
	91	112
	92	112
	90	112
	89	113
	89	114
	89	112
	88	113
	88	114
	88	112
	87	113
	87	114
	87	112
	86	113
	85	113
	86	114
	86	112
	85	114
	85	112
	84	113
	84	114
	84	112
	83	113
	83	114
	83	112
	82	113
	82	114
	82	112
	81	113
	81	114
	81	112
	80	113
	80	114
	80	112
	79	113
	79	114
	79	112
	78	113
	78	114
	78	112
	77	114
	77	115
	77	113
	76	114
	76	115
	76	113
	75	114
	75	115
	75	113
	74	114
	74	115
	74	113
	73	114
	73	115
	73	113
	72	114
	72	115
	72	113
	71	114
	71	115
	71	113
	70	114
	70	115
	70	113
	69	114
	69	115
	69	113
	70	116
	71	116
	69	116
	68	115
	68	116
	68	114
	67	115
	67	116
	67	114
	68	113
	67	113
	68	112
	69	112
	67	112
	70	112
	69	111
	70	111
	68	111
	69	110
	70	110
	68	110
	69	109
	70	109
	68	109
	67	109
	68	108
	69	108
	67	110
	67	108
	68	107
	69	107
	67	107
	68	106
	69	106
	67	106
	66	107
	66	108
	66	106
	67	105
	68	105
	66	105
	65	106
	65	107
	65	105
	66	104
	67	104
	65	104
	64	107
	65	108
	64	108
	64	106
	63	107
	63	108
	63	106
	62	108
	63	109
	64	109
	62	109
	62	107
	61	108
	61	109
	61	107
	60	108
	60	109
	60	107
	59	108
	59	109
	59	107
	58	108
	58	109
	58	107
	59	110
	60	110
	58	110
	57	109
	57	110
	57	108
	56	109
	56	110
	56	108
	57	107
	56	107
	55	108
	55	109
	55	107
	54	108
	54	109
	54	107
	53	108
	53	109
	53	107
	54	106
	55	106
	53	106
	52	107
	52	108
	52	106
	53	105
	54	105
	52	105
	51	106
	51	107
	51	105
	50	106
	50	107
	50	105
	49	106
	49	107
	49	105
	48	106
	48	107
	48	105
	48	103
	50	103
	49	103
	49	104
	49	102
	50	104
	50	102
	48	104
	48	102
	49	101
	50	101
	48	101
	49	100
	50	100
	48	100
	49	99
	50	99
	48	99
	49	98
	50	98
	48	98
	49	97
	50	97
	48	97
	36	160
	37	160
	38	160
	36	161
	36	162
	37	162
	37	163
	36	163
	38	163
	38	162
	37	161
	38	161
	39	161
	39	162
	39	160
	30	183
	30	182
	30	181
	30	180
	31	180
	32	180
	32	181
	31	181
	31	182
	31	183
	32	183
	32	182
	33	183
	33	182
	33	181
	33	180
	59	155
	59	156
	60	153
	58	155
	25	98
	26	99
	26	97
	25	99
	25	97
	24	98
	23	98
	24	99
	24	97
	23	99
	23	97
	21	98
	22	98
	20	98
	21	99
	21	97
	22	99
	22	97
	20	99
	20	97
	24	96
	25	96
	23	96
	24	95
	25	95
	23	95
	24	94
	25	94
	23	94
	24	93
	25	93
	23	93
	22	94
	21	94
	22	95
	22	93
	21	95
	21	93
	20	94
	20	95
	20	93
	21	96
	22	96
	20	96
	20	92
	21	92
	19	92
	20	91
	21	91
	19	93
	19	91
	20	90
	21	90
	19	90
	20	89
	21	89
	19	89
	20	88
	21	88
	19	88
	18	89
	18	90
	18	88
	19	87
	20	87
	18	87
	19	86
	20	86
	18	86
	21	87
	21	86
	20	85
	21	85
	19	85
	20	84
	21	84
	19	84
	20	83
	21	83
	19	83
	20	82
	21	82
	19	82
	20	81
	21	81
	19	81
	18	82
	18	83
	18	81
	19	80
	20	80
	18	80
	21	80
	21	79
	22	79
	20	79
	21	78
	22	80
	22	78
	20	78
	23	79
	23	80
	23	78
	24	79
	24	80
	24	78
	25	79
	25	80
	25	78
	24	77
	25	77
	23	77
	24	76
	25	76
	23	76
	22	77
	21	77
	22	76
	21	76
	20	77
	20	76
	24	75
	25	75
	23	75
	21	75
	22	75
	20	75
	19	75
	20	74
	21	74
	19	76
	19	74
	20	73
	21	73
	19	73
	20	72
	21	72
	19	72
	20	71
	21	71
	19	71
	20	70
	21	70
	19	70
	20	69
	21	69
	19	69
	20	68
	21	68
	19	68
	20	67
	21	67
	19	67
	51	98
	52	98
	51	99
	51	97
	52	99
	52	97
	53	98
	53	99
	53	97
	54	97
	53	96
	54	98
	54	96
	52	96
	53	95
	54	95
	52	95
	53	94
	54	94
	52	94
	53	93
	54	93
	52	93
	55	94
	55	95
	55	93
	56	94
	57	94
	56	95
	56	93
	57	95
	57	93
	56	96
	57	96
	55	96
	56	97
	57	97
	55	97
