Info	Key	X	Y
12050303	PB1	5109	6245
12050303	S1	5150	5738
12050303	B101	5191	4901
12050303	B102	4876	4751
12050303	B103	5548	4737
12050303	S2	5027	3997
12050303	B201	4602	3476
12050303	B202	4190	3681
12050303	B203	4862	3174
12050303	JS	4149	2845
12050103	PB1	5271	6197
12050103	S1	5095	6523
12050103	B101	4681	6673
12050103	B102	5130	6867
12050103	JS	4478	7430
10050103	PB1	2172	1875
10050103	S1	2885	2197
10050103	B101	3399	2628
10050103	B102	3624	2289
10050103	B103	3205	2962
10050103	B104	3647	2557
10050103	S2	4359	3425
10050103	B201	4891	3752
10050103	B202	4500	4002
10050103	B203	4851	4047
10050103	S3	5220	4670
10050103	B301	5066	4969
10050103	B302	5410	5061
10050103	B303	4877	5124
10050103	B304	5202	5240
10050103	S4	5048	5978
10050103	B401	4960	6367
10050103	B402	4646	6524
10050103	B403	5065	6642
10050103	S0	1636	1717
10050103	B999	1681	1832
10050103	S999	1937	1798
10050103	DN1	3638	3390
10050103	DN2	5509	3726
10050103	DN3	4682	6838
10050202	PB1	4697	7331
10050202	S1	5088	6434
10050202	B101	5393	6167
10050202	B102	4938	6025
10050202	S2	5159	5656
10050202	B201	5209	5207
10050202	B202	4940	5008
10050202	B203	5403	4962
10050202	B204	0	0
10050202	S3	5127	5083
10050202	B301	5106	4116
10050202	B302	5435	4116
10050202	B303	5040	4395
10050202	B304	5275	4400
10050202	B305	0	0
10050202	S0	1636	1717
10050202	B999	1681	1832
10050202	S999	1937	1798
10050202	NPC1	5149	6974
10050202	NPC2	4794	6808
10050202	X1	4474	7155
10050202	B103	5082	5905
10050202	B104	5324	5987
10050104	PB1	5046	5253
10050104	S1	4842	4626
10050104	SB1	4735	4774
10050104	SB2	2986	2842
10050104	B101	4939	4151
10050104	B102	5328	4241
10050104	B301	3703	2710
10050104	B302	3308	2657
10050104	B303	3676	2342
10050104	B201	4610	3508
10050104	B202	4194	3324
10050104	B203	4767	3130
10050104	B401	2310	1840
10050104	S2	4974	3807
10050104	S3	4373	3296
10050104	S4	3072	2508
10050201	PB1	2052	1809
10050201	PB2	0	0
10050201	PB3	0	0
10050201	PB4	0	0
10050201	PB5	0	0
10050201	S1	1672	1721
10050201	B101	3014	2390
10050201	B102	3329	2097
10050201	S2	1681	1748
10050201	B201	3069	2401
10050201	B202	3218	2020
10050201	S3	1700	1767
10050201	B301	2926	2196
10050201	B302	3092	2522
10050201	B303	3345	2119
10050201	S4	1663	1753
10050201	B401	3053	2290
10050201	B402	3224	2583
10050201	B403	3456	2290
10050201	DP	1705	1743
