Key	CellX	CellY
VisibleObstacle		
	1	5
	1	4
	1	3
	1	2
	1	1
	1	0
	2	1
	3	4
	3	3
	3	2
	4	1
	4	2
	5	2
	5	3
	5	4
	5	5
	4	4
	4	3
	4	0
	2	2
	3	1
	2	3
	3	0
	2	0
	5	1
	4	5
	3	5
	4	6
	5	6
	3	6
	5	0
	0	1
	0	2
	0	0
	0	3
	0	4
	0	5
	0	6
	1	6
	0	7
	1	7
	2	6
	2	7
	2	5
	1	8
	2	8
	0	8
	1	9
	2	9
	0	9
	1	10
	2	10
	0	10
	1	11
	2	11
	0	11
	1	12
	2	12
	0	12
	1	13
	2	13
	0	13
	2	4
	3	7
	4	7
	3	8
	4	8
	3	9
	4	9
	3	10
	4	10
	3	11
	4	11
	5	9
	5	10
	5	8
	5	7
	5	11
	4	12
	5	12
	3	12
	4	13
	5	13
	3	13
	4	14
	5	14
	3	14
	4	15
	5	15
	3	15
	4	16
	5	16
	3	16
	4	17
	5	17
	3	17
	4	18
	5	18
	3	18
	4	19
	5	19
	3	19
	4	20
	5	20
	3	20
	4	21
	5	21
	3	21
	4	22
	5	22
	3	22
	2	21
	2	22
	2	20
	3	23
	4	23
	2	23
	3	24
	4	24
	2	24
	3	25
	4	25
	2	25
	5	24
	5	25
	5	23
	4	26
	5	26
	3	26
	4	27
	5	27
	3	27
	4	28
	5	28
	3	28
	4	29
	5	29
	3	29
	4	30
	5	30
	3	30
	4	31
	5	31
	3	31
	4	32
	5	32
	3	32
	4	33
	5	33
	3	33
	4	34
	5	34
	3	34
	4	35
	5	35
	3	35
	4	36
	5	36
	3	36
	4	37
	5	37
	3	37
	4	38
	5	38
	3	38
	4	39
	5	39
	3	39
	4	40
	5	40
	3	40
	4	41
	5	41
	3	41
	4	42
	5	42
	3	42
	4	43
	5	43
	3	43
	4	44
	5	44
	3	44
	4	45
	5	45
	3	45
	4	46
	5	46
	3	46
	4	47
	5	47
	3	47
	4	48
	5	48
	3	48
	2	47
	2	48
	2	46
	3	49
	4	49
	2	49
	3	50
	4	50
	2	50
	3	51
	4	51
	2	51
	3	52
	4	52
	2	52
	3	53
	4	53
	2	53
	5	50
	5	51
	5	49
	5	52
	5	53
	4	54
	5	54
	3	54
	4	55
	5	55
	3	55
	4	56
	5	56
	3	56
	4	57
	5	57
	3	57
	4	58
	5	58
	3	58
	4	59
	5	59
	3	59
	4	60
	5	60
	3	60
	4	61
	5	61
	3	61
	4	62
	5	62
	3	62
	4	63
	5	63
	3	63
	4	64
	5	64
	3	64
	4	65
	5	65
	3	65
	4	66
	5	66
	3	66
	4	67
	5	67
	3	67
	4	68
	5	68
	3	68
	4	69
	5	69
	3	69
	4	70
	5	70
	3	70
	4	71
	5	71
	3	71
	4	72
	5	72
	3	72
	4	73
	5	73
	3	73
	4	74
	5	74
	3	74
	4	75
	5	75
	3	75
	4	76
	5	76
	3	76
	4	77
	5	77
	3	77
	4	78
	5	78
	3	78
	4	79
	5	79
	3	79
	4	80
	5	80
	3	80
	4	81
	5	81
	3	81
	4	82
	5	82
	3	82
	4	83
	5	83
	3	83
	4	84
	5	84
	3	84
	4	85
	5	85
	3	85
	4	86
	5	86
	3	86
	5	87
	28	194
	4	87
	5	88
	28	195
	28	193
	4	88
	5	89
	28	196
	4	89
	5	90
	28	197
	4	90
	5	91
	28	198
	4	91
	5	92
	28	199
	4	92
	5	93
	28	200
	4	93
	5	94
	30	201
	4	94
	5	95
	28	201
	4	95
	3	87
	3	88
	3	89
	3	90
	3	91
	3	92
	3	93
	3	94
	3	95
	4	96
	5	96
	3	96
	4	97
	5	97
	3	97
	4	98
	5	98
	3	98
	4	99
	5	99
	3	99
	4	100
	5	100
	3	100
	4	101
	5	101
	3	101
	4	102
	5	102
	3	102
	4	103
	5	103
	3	103
	4	104
	5	104
	3	104
	4	105
	5	105
	3	105
	4	106
	5	106
	3	106
	4	107
	5	107
	3	107
	4	108
	5	108
	3	108
	4	109
	5	109
	3	109
	4	110
	5	110
	3	110
	4	111
	5	111
	3	111
	4	112
	5	112
	3	112
	4	113
	5	113
	3	113
	4	114
	5	114
	3	114
	28	202
	5	115
	28	203
	30	202
	4	115
	5	116
	28	205
	4	116
	5	117
	28	207
	4	117
	5	118
	28	206
	4	118
	3	118
	4	119
	5	119
	3	119
	3	117
	4	120
	5	120
	3	120
	4	121
	5	121
	3	121
	4	122
	5	122
	3	122
	4	123
	5	123
	3	123
	4	124
	5	124
	3	124
	4	125
	5	125
	3	125
	4	126
	5	126
	3	126
	4	127
	5	127
	3	127
	4	128
	5	128
	3	128
	4	129
	5	129
	3	129
	4	130
	5	130
	3	130
	4	131
	5	131
	3	131
	4	132
	5	132
	3	132
	4	133
	5	133
	3	133
	4	134
	5	134
	3	134
	4	135
	5	135
	3	135
	4	136
	5	136
	3	136
	4	137
	5	137
	3	137
	4	138
	5	138
	3	138
	4	139
	5	139
	3	139
	4	140
	5	140
	3	140
	4	141
	5	141
	3	141
	4	142
	5	142
	3	142
	4	143
	5	143
	3	143
	4	144
	5	144
	3	144
	4	145
	5	145
	3	145
	4	146
	5	146
	3	146
	4	147
	5	147
	3	147
	4	148
	5	148
	3	148
	4	149
	5	149
	3	149
	4	150
	5	150
	3	150
	4	151
	5	151
	3	151
	4	152
	5	152
	3	152
	4	153
	5	153
	3	153
	4	154
	5	154
	3	154
	4	155
	5	155
	3	155
	4	156
	5	156
	3	156
	4	157
	5	157
	3	157
	4	158
	5	158
	3	158
	4	159
	5	159
	3	159
