Info	Key	X	Y
10070101	PB1	3115	2768
10070101	B101	3090	2069
10070101	B102	3120	1593
10070101	B103	2713	1216
10070101	B104	3355	1232
10070101	S1	3110	2684
10070101	B105	2781	1459
10070101	B106	3435	1475
10070101	B107	3471	1168
10070101	B108	2968	1278
10070101	B201	2906	2761
10070101	B202	3321	2781
10070101	B203	3442	2676
10070101	B204	2941	2560
10070101	B205	3140	2516
10070101	B206	3354	2519
10070101	S2	3145	2071
10070101	CCJT1	3510	2775
10070101	CCJT2	2645	2775
12080401	PB1	3879	1930
12080401	S1	4013	1928
12080401	B101	4618	1928
12080401	B102	4618	1928
12080401	JS	4960	1926
12080402	PB1	1125	1876
12080402	S1	996	1874
12080402	B101	619	2173
12080402	B102	620	1600
12080402	JS	326	1884
30020401	PB1	500	1890
30020401	S1	648	1893
30020401	B101	1190	1890
30020401	B102	1194	2070
30020401	B103	1192	1701
30020401	B104	1039	2160
30020401	B105	1039	1616
30020401	B106	879	2224
30020401	B107	880	1552
90080404	PB1	3082	2690
90080404	S1	3090	1943
90080404	S2	4451	1911
90080404	B101	3083	1443
90080404	B102	4843	1915
90080404	B103	347	2200
90080404	B104	347	2000
90080404	B105	347	1800
90080404	B106	347	1600
90080404	B107	347	1400
90080404	C12	4069	1903
90080404	C13	967	2442
90080404	C21	3361	2685
90080404	C23	700	2432
90080404	C31	2808	2668
90080404	C32	4058	2085
30020402	PB1	500	1892
30020402	JX1	1305	1881
30020402	S1	558	1891
30020402	JX2	4720	2585
30020402	JX3	4720	1261
30020402	B101	1086	1890
30020402	B102	1084	2141
30020402	B103	1086	1636
30020402	S2	4700	1929
30020402	B201	3791	1933
30020402	B202	4730	2726
30020402	B203	4730	1122
10080404	PB1	3837	1937
10080404	PB2	0	0
10080404	PB3	0	0
10080404	PB4	0	0
10080404	PB5	0	0
10080404	S1	4097	1942
10080404	B101	4800	1931
10080404	B102	4534	2437
10080404	B103	4553	1417
10080404	S2	0	0
10080404	B201	0	0
10080404	B202	0	0
10080404	B203	0	0
10080404	S3	0	0
10080404	B301	0	0
10080404	B302	0	0
10080404	B303	0	0
10080404	S4	0	0
10080404	B401	0	0
10080404	B402	0	0
10080404	B403	0	0
10080404	S5	0	0
10080404	B501	0	0
10080404	B502	0	0
10080404	B503	0	0
10080404	CCJT1	4082	2447
10080404	CCJT2	4082	1391
12080301	PB1	3906	1921
12080301	S1	4261	1921
12080301	B101	4794	1921
12080301	JS	3759	1921
