Key	CellX	CellY
VisibleObstacle		
	1	1
	2	1
	0	1
	1	24
	1	0
	1	25
	2	0
	1	23
	0	0
	0	25
	0	26
	0	24
	1	26
	0	27
	3	1
	1	27
	0	28
	4	1
	5	1
	4	0
	1	28
	5	0
	3	0
	6	1
	1	52
	6	0
	7	1
	1	29
	7	0
	8	1
	0	53
	8	0
	9	1
	0	52
	9	0
	10	1
	0	29
	10	0
	11	1
	1	30
	11	0
	12	1
	0	51
	12	0
	13	1
	0	30
	13	0
	14	1
	1	31
	14	0
	15	1
	1	53
	15	0
	16	0
	16	1
	17	0
	17	1
	18	0
	18	1
	19	0
	19	1
	20	0
	20	1
	21	0
	21	1
	22	0
	22	1
	23	0
	23	1
	24	0
	24	1
	25	0
	25	1
	26	0
	26	1
	27	0
	27	1
	28	0
	28	1
	29	0
	29	1
	1	32
	0	32
	0	31
	1	51
	1	33
	0	50
	0	33
	0	34
	1	34
	0	35
	1	35
	1	50
	0	49
	1	49
	30	1
	0	48
	30	0
	31	1
	1	48
	31	0
	32	1
	0	47
	32	0
	33	1
	1	47
	33	0
	34	1
	0	46
	34	0
	35	1
	1	46
	35	0
	36	1
	0	45
	36	0
	37	1
	1	45
	37	0
	38	1
	0	44
	38	0
	39	1
	1	44
	39	0
	40	1
	0	43
	40	0
	46	1
	1	43
	41	0
	0	42
	1	42
	42	0
	0	41
	1	41
	43	0
	0	40
	1	40
	44	0
	0	39
	1	39
	45	0
	0	38
	1	38
	45	1
	0	37
	1	37
	44	1
	0	36
	1	36
	43	1
	0	76
	1	76
	42	1
	0	77
	1	75
	41	1
	51	0
	1	77
	52	0
	0	75
	53	0
	53	1
	54	0
	54	1
	55	0
	55	1
	56	0
	56	1
	57	0
	57	1
	58	0
	58	1
	59	0
	59	1
	60	0
	60	1
	61	0
	61	1
	62	0
	1	111
	63	0
	0	109
	64	0
	0	110
	65	0
	0	112
	67	0
	68	0
	66	0
	0	116
	1	54
	1	114
	1	103
	0	104
	0	102
	0	103
	0	72
	1	73
	0	73
	1	74
	0	74
	0	105
	1	104
	1	105
	1	102
	0	106
	1	106
	0	107
	1	107
	0	108
	1	108
	1	109
	1	110
	0	111
	1	112
	1	113
	0	113
	1	116
	0	114
	1	115
	0	115
	0	54
	1	55
	0	55
	1	56
	0	56
	1	57
	0	58
	1	72
	0	57
	1	58
	1	59
	0	59
	1	60
	0	60
	1	61
	0	61
	1	62
	0	62
	1	63
	0	63
	1	64
	0	64
	1	65
	0	65
	1	66
	0	66
	1	67
	0	67
	1	68
	0	68
	1	69
	0	69
	1	70
	0	70
	1	71
	0	71
	1	22
	0	23
	80	0
	1	21
	0	22
	81	0
	1	20
	0	21
	82	0
	1	19
	0	20
	83	0
	1	18
	0	19
	84	0
	1	17
	0	18
	85	0
	1	16
	0	17
	86	0
	1	15
	0	16
	87	0
	1	14
	0	15
	88	0
	1	13
	0	14
	89	0
	1	12
	0	13
	90	0
	1	11
	0	12
	91	0
	1	10
	0	11
	92	0
	1	9
	0	10
	93	0
	1	8
	0	9
	94	0
	1	7
	0	8
	95	0
	1	6
	0	7
	96	0
	1	2
	0	6
	97	0
	1	3
	0	2
	98	0
	123	1
	98	1
	99	0
	125	1
	122	1
	100	0
	0	4
	124	1
	101	0
	0	5
	1	4
	102	0
	115	1
	0	3
	103	0
	116	1
	1	5
	104	0
	118	1
	117	1
	105	0
	120	1
	119	1
	106	0
	114	1
	121	1
	107	0
	111	1
	113	1
	108	0
	110	1
	112	1
	109	0
	104	1
	107	1
	110	0
	106	1
	109	1
	111	0
	105	1
	108	1
	112	0
	101	1
	103	1
	113	0
	100	1
	96	1
	102	1
	114	0
	99	1
	115	0
	95	1
	97	1
	116	0
	92	1
	94	1
	117	0
	91	1
	93	1
	118	0
	89	1
	87	1
	90	1
	119	0
	88	1
	120	0
	85	1
	86	1
	121	0
	83	1
	84	1
	122	0
	81	1
	82	1
	123	0
	79	1
	77	1
	80	1
	124	0
	78	1
	125	0
	126	1
	76	1
	126	0
	127	1
	128	1
	75	1
	127	0
	74	1
	128	0
	129	1
	73	1
	129	0
	130	1
	72	1
	130	0
	131	1
	132	1
	71	1
	131	0
	70	1
	132	0
	133	1
	69	1
	133	0
	134	1
	68	1
	134	0
	135	1
	136	1
	67	1
	135	0
	66	1
	136	0
	137	1
	65	1
	137	0
	138	1
	139	1
	64	1
	138	0
	63	1
	139	0
	141	1
	142	1
	140	1
	79	0
	141	0
	78	0
	142	0
	62	1
	140	0
	143	1
	77	0
	143	0
	144	1
	76	0
	144	0
	145	1
	146	1
	75	0
	145	0
	74	0
	146	0
	147	1
	73	0
	147	0
	148	1
	149	1
	72	0
	148	0
	71	0
	149	0
	150	1
	70	0
	150	0
	151	1
	69	0
	151	0
	152	1
	153	1
	46	0
	152	0
	47	0
	153	0
	154	1
	48	0
	154	0
	155	1
	49	0
	155	0
	156	1
	50	0
	156	0
	157	1
	52	1
	157	0
	51	1
	50	1
	49	1
	48	1
	47	1
	0	101
	1	101
	0	100
	1	100
	0	99
	1	99
	0	98
	1	98
	0	97
	1	97
	0	96
	1	96
	0	95
