Key	CellX	CellY
VisibleObstacle		
	0	171
	0	169
	0	170
	0	168
	0	161
	0	160
	25	279
	0	136
	0	134
	0	158
	0	159
	0	157
	0	155
	0	154
	0	153
	0	152
	0	151
	0	150
	0	149
	0	126
	12	180
	12	179
	12	178
	12	175
	12	174
	12	173
	12	172
	12	176
	12	170
	12	171
	12	190
	12	189
	12	195
	12	196
	12	188
	12	187
	12	186
	12	185
	12	182
	12	181
	12	184
	12	183
	12	197
	25	280
	19	168
	0	162
	0	163
	0	164
	0	165
	0	166
	0	167
	239	46
	239	47
	25	284
	26	284
	27	284
	28	284
	29	284
	30	284
	31	284
	32	284
	33	284
	34	284
	35	284
	36	284
	37	284
	38	284
	39	284
	40	284
	41	284
	42	284
	43	284
	44	284
	45	284
	46	284
	47	284
	48	284
	49	284
	50	284
	51	284
	52	284
	53	284
	54	284
	55	284
	56	284
	57	284
	58	284
	59	284
	60	284
	61	284
	62	284
	63	284
	64	284
	65	284
	66	284
	67	284
	68	284
	69	284
	70	284
	71	284
	72	284
	73	284
	74	284
	75	284
	76	284
	77	284
	78	284
	79	284
	80	284
	81	284
	82	284
	83	284
	84	284
	85	284
	86	284
	87	284
	88	284
	89	284
	90	284
	91	284
	92	284
	93	284
	94	284
	95	284
	96	284
	97	284
	98	284
	99	284
	100	284
	101	284
	102	284
	103	284
	104	284
	105	284
	106	284
	107	284
	108	284
	109	284
	110	284
	111	284
	112	284
	113	284
	114	284
	115	284
	116	284
	118	284
	119	284
	120	284
	121	284
	122	284
	123	284
	124	284
	125	284
	126	284
	127	284
	128	284
	129	284
	130	284
	132	284
	133	284
	134	284
	117	284
	131	284
	135	284
	136	284
	137	284
	138	284
	139	284
	140	284
	141	284
	142	284
	143	284
	144	284
	145	284
	146	284
	147	284
	148	284
	149	284
	150	284
	151	284
	152	284
	153	284
	154	284
	155	284
	156	284
	157	284
	158	284
	159	284
	160	284
	161	284
	162	284
	163	284
	165	284
	166	284
	167	284
	169	284
	170	284
	171	284
	173	284
	174	284
	175	284
	176	284
	177	284
	178	284
	180	284
	181	284
	182	284
	183	284
	184	284
	185	284
	186	284
	187	284
	164	284
	168	284
	172	284
	179	284
	188	284
	189	284
	190	284
	191	284
	192	284
	193	284
	194	284
	195	284
	196	284
	197	284
	198	284
	199	284
	200	284
	201	284
	202	284
	203	284
	204	284
	205	284
	206	284
	207	284
	208	284
	209	284
	210	284
	211	284
	212	284
	213	284
	214	284
	215	284
	216	284
	217	284
	218	284
	219	284
	220	284
	221	284
	222	284
	223	284
	224	284
	225	284
	226	284
	227	284
	228	284
	229	284
	230	284
	231	284
	233	182
	233	181
	233	183
	233	184
	233	185
	233	186
	233	187
	239	101
	239	102
	239	103
	239	104
	239	105
	239	106
	239	107
	239	108
	239	110
	239	109
	239	111
	239	112
	239	113
	239	114
	239	115
	239	117
	239	116
	239	118
	239	120
	239	119
	239	121
	239	122
	239	123
	239	127
	239	128
	239	125
	239	124
	239	126
	239	129
	239	130
	239	131
	239	132
	239	133
	239	134
	239	135
	239	136
	239	137
	239	138
	239	139
	239	100
	239	99
	239	98
	239	97
	239	96
	239	95
	239	94
	239	93
	239	92
	239	91
	239	90
	239	89
	239	88
	239	87
	239	86
	239	85
	239	84
	239	83
	239	82
	239	81
	239	80
	239	79
	239	78
	239	77
	239	76
	239	75
	239	74
	239	73
	239	72
	239	71
	239	70
	239	69
	239	68
	239	67
	239	66
	239	65
	239	64
	239	63
	239	62
	239	61
	239	60
	239	59
	239	58
	239	57
	239	56
	239	55
	239	54
	239	53
	231	267
	231	265
	231	266
	231	268
	231	269
	231	270
	231	271
	231	272
	231	273
	231	274
	231	275
	231	276
	231	277
	231	278
	239	42
	239	41
	239	40
	239	39
	239	38
	239	37
	239	36
	239	35
	239	34
	239	33
	239	32
	239	31
	239	30
	239	29
	239	28
	239	27
	239	26
	239	25
	239	24
	239	23
	239	22
	239	21
	239	20
	239	19
	239	18
	239	17
	239	16
	239	15
	239	14
	239	13
	239	12
	239	11
	239	10
	239	9
	239	8
	239	7
	239	6
	238	6
	0	21
	0	17
	0	16
	0	18
	0	22
	0	19
	0	20
	237	6
	236	6
	235	6
	222	6
	221	6
	0	9
	0	8
	220	6
	234	6
	233	6
	232	6
	230	6
	229	6
	228	6
	227	6
	226	6
	225	6
	224	6
	223	6
	231	6
	0	7
	217	6
	216	6
	215	6
	219	6
	218	6
	214	6
	212	6
	211	6
	204	6
	196	6
	194	6
	191	6
	190	6
	189	6
	188	6
	12	206
	12	208
	12	204
	12	201
	205	6
	184	6
	178	6
	174	6
	172	6
	171	6
	168	6
	166	6
	161	6
	157	6
	154	6
	151	6
	147	6
	145	6
	143	6
	140	6
	138	6
	136	6
	134	6
	132	6
	129	6
	126	6
	124	6
	123	6
	121	6
	119	6
	114	6
	111	6
	107	6
	103	6
	99	6
	95	6
	90	6
	86	6
	81	6
	76	6
	70	6
	63	6
	54	6
	49	6
	45	6
	1	6
	2	6
	3	6
	4	6
	5	6
	233	175
	239	149
	239	165
	239	167
	237	168
	236	168
	239	146
	0	6
	6	6
	8	6
	9	6
	11	6
	12	6
	13	6
	14	6
	16	6
	17	6
	19	6
	20	6
	21	6
	22	6
	23	6
	25	6
	26	6
	27	6
	28	6
	29	6
	31	6
	32	6
	33	6
	34	6
	36	6
	38	6
	39	6
	40	6
	42	6
	44	6
	46	6
	0	123
	0	117
	0	119
	0	118
	0	142
	0	140
	0	139
	12	240
	233	201
	233	176
	233	180
	233	209
	233	227
	233	204
	233	241
	233	259
	233	254
	231	279
	231	264
	231	260
	233	230
	233	228
	233	240
	231	262
	233	234
	233	197
	233	195
	233	193
	233	216
	233	218
	182	6
	209	6
	12	203
	12	212
	12	225
	239	154
	0	260
	239	150
	12	199
	12	198
	12	194
	12	193
	12	192
	12	191
	7	6
	12	177
	12	169
	13	168
	10	6
	0	259
	12	168
	0	262
	0	263
	239	157
	15	6
	14	168
	18	6
	239	162
	239	155
	239	160
	239	158
	239	159
	239	163
	239	164
	235	168
	239	166
	239	168
	238	168
	24	6
	239	151
	239	156
	0	261
	0	258
	0	257
	0	256
	0	255
	0	253
	0	254
	0	173
	0	172
	30	6
	35	6
	37	6
	12	239
	12	238
	0	132
	0	133
	0	130
	0	131
	0	184
	41	6
	0	129
	0	182
	0	183
	0	180
	43	6
	0	181
	0	178
	0	179
	0	176
	0	177
	0	175
	0	174
	47	6
	0	122
	0	124
	48	6
	0	125
	0	121
	50	6
	0	120
	51	6
	0	148
	52	6
	0	146
	0	141
	53	6
	0	147
	0	145
	0	138
	55	6
	0	143
	56	6
	0	144
	0	135
	57	6
	0	137
	58	6
	0	156
	59	6
	60	6
	61	6
	62	6
	64	6
	65	6
	66	6
	67	6
	68	6
	69	6
	71	6
	72	6
	73	6
	74	6
	75	6
	77	6
	78	6
	79	6
	80	6
	82	6
	83	6
	84	6
	85	6
	87	6
	88	6
	89	6
	91	6
	92	6
	93	6
	94	6
	96	6
	97	6
	98	6
	100	6
	101	6
	102	6
	233	188
	104	6
	233	177
	233	199
	105	6
	233	198
	106	6
	233	200
	233	221
	233	202
	233	220
	108	6
	233	189
	109	6
	233	203
	110	6
	233	178
	233	179
	112	6
	233	210
	233	236
	233	226
	233	237
	233	224
	233	222
	233	223
	233	225
	233	231
	233	205
	233	247
	233	243
	233	242
	233	245
	233	244
	233	256
	233	255
	233	253
	233	260
	113	6
	115	6
	116	6
	117	6
	118	6
	120	6
	122	6
	231	280
	231	281
	125	6
	231	263
	127	6
	128	6
	130	6
	131	6
	232	260
	233	235
	233	207
	133	6
	233	248
	233	250
	233	206
	135	6
	233	249
	233	238
	137	6
	233	239
	233	252
	139	6
	233	251
	141	6
	233	246
	142	6
	144	6
	146	6
	233	257
	148	6
	149	6
	150	6
	233	258
	152	6
	153	6
	231	283
	155	6
	156	6
	231	282
	158	6
	233	229
	159	6
	231	261
	160	6
	233	208
	233	196
	162	6
	163	6
	164	6
	165	6
	167	6
	169	6
	170	6
	233	190
	233	194
	233	192
	233	217
	233	191
	233	214
	233	211
	173	6
	233	215
	233	213
	233	233
	175	6
	233	219
	233	212
	176	6
	233	232
	179	6
	177	6
	181	6
	180	6
	185	6
	183	6
	206	6
	186	6
	208	6
	207	6
	12	202
	12	200
	12	234
	12	209
	12	207
	12	205
	12	210
	12	211
	12	214
	12	213
	187	6
	12	215
	239	161
	12	235
	12	236
	12	217
	12	216
	12	219
	192	6
	12	220
	12	222
	193	6
	12	223
	12	226
	12	221
	12	224
	12	218
	12	229
	12	228
	12	227
	12	230
	12	233
	239	145
	12	232
	12	231
	239	147
	239	143
	12	237
	239	142
	195	6
	210	6
	213	6
	0	42
	0	41
	0	39
	0	38
	0	36
	0	35
	0	26
	0	37
	0	31
	0	32
	0	40
	0	24
	0	27
	0	28
