Key	CellX	CellY
VisibleObstacle		
	168	22
	167	22
	166	22
	166	21
	165	20
	165	21
	165	19
	165	18
	165	17
	165	16
	166	16
	166	15
	167	15
	167	14
	168	14
	168	13
	169	13
	170	13
	170	14
	171	14
	172	14
	169	14
	173	14
	174	14
	174	15
	174	16
	175	16
	144	88
	176	16
	176	15
	177	15
	178	15
	179	15
	180	15
	181	15
	182	15
	183	15
	184	15
	185	15
	186	15
	186	16
	187	16
	188	16
	189	16
	190	16
	191	16
	192	16
	193	16
	194	16
	195	16
	196	16
	195	17
	196	17
	197	17
	197	16
	198	16
	198	15
	199	15
	200	15
	201	15
	201	14
	202	14
	203	14
	204	14
	205	14
	205	13
	206	13
	207	13
	208	13
	208	12
	209	12
	210	12
	210	11
	211	11
	212	11
	213	11
	214	11
	214	12
	215	12
	216	12
	218	12
	217	12
	219	12
	220	12
	221	12
	222	12
	223	12
	224	12
	225	12
	226	12
	227	12
	228	13
	228	12
	229	13
	230	13
	230	12
	231	13
	231	12
	232	12
	233	12
	234	12
	229	12
	235	12
	235	13
	234	13
	233	13
	232	13
	234	14
	235	14
	235	15
	236	15
	236	16
	237	16
	238	16
	238	15
	239	15
	240	15
	241	15
	241	14
	242	14
	243	14
	244	14
	245	14
	246	14
	247	14
	248	14
	248	15
	249	15
	250	15
	251	15
	252	15
	252	16
	252	17
	252	18
	251	16
	251	17
	251	18
	251	19
	251	20
	251	21
	251	22
	251	23
	251	24
	250	24
	250	25
	249	25
	249	26
	249	27
	249	28
	250	29
	250	28
	250	30
	250	31
	250	32
	250	33
	250	34
	250	35
	249	35
	249	36
	248	36
	247	36
	247	37
	248	37
	248	38
	248	39
	249	39
	249	40
	249	41
	249	42
	249	43
	248	43
	248	44
	248	45
	248	46
	248	47
	248	48
	248	49
	248	50
	247	50
	247	51
	247	52
	247	53
	247	54
	247	55
	247	56
	247	57
	247	58
	246	58
	246	59
	246	60
	246	61
	246	62
	246	63
	246	64
	245	65
	246	65
	245	66
	246	66
	246	67
	246	68
	246	69
	246	70
	246	71
	246	72
	246	73
	245	73
	245	74
	245	75
	245	76
	245	77
	245	78
	245	79
	245	80
	245	81
	245	82
	245	83
	245	84
	244	84
	244	85
	244	86
	244	87
	245	87
	245	88
	245	89
	245	90
	245	91
	245	92
	245	93
	245	94
	244	94
	244	95
	244	96
	245	96
	245	97
	245	98
	245	99
	245	100
	245	101
	245	102
	245	103
	245	104
	244	104
	244	105
	243	105
	242	105
	242	106
	241	106
	240	106
	240	107
	239	107
	239	108
	239	109
	239	110
	239	111
	239	112
	239	113
	239	114
	239	115
	238	115
	238	116
	238	117
	238	118
	238	119
	238	120
	238	121
	238	122
	238	124
	238	125
	238	126
	238	127
	238	128
	238	129
	238	130
	238	131
	238	123
	238	132
	238	133
	238	134
	237	134
	237	135
	237	136
	236	136
	236	137
	235	137
	235	138
	234	138
	234	139
	233	139
	232	139
	231	139
	230	139
	229	139
	228	139
	227	139
	226	139
	225	139
	224	139
	223	139
	223	140
	222	140
	221	140
	220	140
	219	140
	218	140
	217	140
	216	140
	216	139
	215	139
	215	138
	214	138
	214	137
	215	137
	213	137
	213	138
	212	137
	211	137
	210	137
	209	137
	208	137
	207	137
	206	137
	205	137
	204	136
	204	137
	203	136
	202	136
	201	136
	200	136
	199	135
	200	135
	198	135
	197	135
	196	135
	195	135
	194	135
	193	135
	192	135
	191	135
	190	135
	188	135
	189	135
	187	135
	186	135
	185	135
	184	135
	183	135
	182	135
	181	134
	181	135
	181	133
	180	133
	180	132
	180	131
	180	130
	179	129
	179	130
	179	128
	179	127
	179	126
	179	125
	178	124
	178	125
	178	123
	178	122
	178	121
	178	120
	178	119
	178	118
	178	117
	178	116
	178	115
	178	114
	178	113
	179	112
	178	112
	179	111
	178	110
	179	110
	178	109
	177	108
	177	109
	177	107
	177	106
	177	105
	177	104
	176	103
	176	104
	176	102
	176	101
	176	100
	176	99
	176	98
	176	97
	176	96
	176	95
	175	95
	175	94
	175	93
	175	92
	175	91
	175	90
	175	89
	175	88
	175	87
	175	86
	174	85
	174	86
	174	84
	174	83
	174	82
	174	81
	174	80
	174	79
	174	78
	173	77
	173	78
	173	76
	173	75
	173	74
	173	73
	173	72
	173	71
	173	70
	172	69
	172	70
	172	68
	172	67
	172	66
	172	65
	172	64
	172	63
	171	62
	171	63
	172	62
	172	61
	172	60
	172	59
	172	58
	172	57
	171	56
	171	57
	171	55
	171	54
	171	53
	171	52
	171	51
	171	50
	171	49
	171	48
	171	47
	171	46
	171	45
	171	44
	172	44
	172	43
	172	42
	171	42
	170	42
	170	41
	170	40
	170	39
	170	38
	170	37
	170	36
	169	36
	169	35
	169	34
	169	33
	169	32
	169	31
	169	30
	169	29
	169	28
	169	27
	169	26
	168	26
	168	25
	168	24
	168	23
	244	97
	244	98
	244	99
	244	100
	244	101
	243	101
	243	102
	243	103
	242	103
	242	104
	241	104
	241	105
	243	104
	244	103
	244	102
	245	95
	239	106
	237	118
	237	119
	236	119
	236	120
	237	120
	237	121
	237	122
	237	123
	237	124
	237	125
	237	127
	237	126
	237	128
	237	129
	237	130
	237	131
	237	132
	237	133
	236	134
	236	135
	235	136
	234	137
	233	138
	232	138
	231	138
	230	138
	233	137
	231	137
	232	137
	235	135
	236	133
	236	132
	236	131
	236	130
	229	138
	228	138
	227	138
	226	138
	225	138
	224	138
	223	138
	222	139
	221	139
	220	139
	219	139
	218	139
	217	139
	216	138
	214	136
	176	94
	176	93
	176	92
	176	91
	175	85
	175	84
	175	83
	175	82
	173	69
	173	68
InvisibleObstacle		
JJ1		
	186	108
	186	107
	186	106
	186	105
	186	104
	185	104
	185	103
	185	101
	185	95
	185	102
	185	100
	185	99
	185	97
	185	96
	185	98
	185	94
	185	93
	185	91
	185	92
	184	91
	184	90
	184	89
	184	88
	184	87
	184	86
	184	85
	184	84
	184	83
	184	82
	183	82
	183	81
	183	80
	183	79
	183	78
	182	78
	182	77
	182	76
	182	75
	182	74
	182	73
	182	72
	182	71
	182	70
	182	69
	182	68
	181	68
	181	67
	181	66
	181	65
	181	64
	181	63
	181	62
	181	61
	181	60
	181	59
	181	58
	181	57
	180	57
	180	56
	180	55
	180	54
	180	53
	180	52
	180	51
	180	50
	180	49
	180	48
	180	47
	180	46
