Key	CellX	CellY
VisibleObstacle		
	115	54
	116	54
	117	54
	118	54
	119	54
	114	54
	113	54
	112	54
	111	54
	110	54
	109	54
	108	54
	107	54
	106	54
	105	54
	104	54
	103	54
	102	54
	101	54
	100	54
	99	54
	98	54
	97	54
	96	54
	95	54
	94	54
	93	54
	92	54
	91	54
	90	54
	89	54
	88	54
	87	54
	86	54
	85	54
	84	54
	83	54
	82	54
	81	54
	80	54
	79	54
	78	54
	77	54
	76	54
	75	54
	74	54
	73	54
	72	54
	71	54
	70	54
	69	54
	68	54
	67	54
	66	54
	65	54
	64	54
	63	54
	62	54
	61	54
	60	54
	59	54
	58	54
	57	54
	56	54
	55	54
	54	54
	53	54
	52	54
	51	54
	50	54
	49	54
	48	54
	47	54
	46	54
	45	54
	44	54
	43	54
	42	54
	41	54
	40	54
	39	54
	38	54
	37	54
	36	54
	35	54
	34	54
	33	54
	32	54
	41	49
	41	50
	40	48
	40	49
	39	47
	39	48
	38	47
	38	46
	37	46
	36	46
	36	47
	35	47
	35	48
	34	48
	34	49
	34	50
	34	51
	34	52
	35	52
	35	53
	36	53
	37	53
	38	53
	39	53
	40	52
	39	52
	40	51
	41	51
	28	49
	28	48
	28	47
	29	47
	29	48
	28	46
	28	45
	27	45
	27	44
	26	44
	25	44
	24	44
	23	44
	23	45
	22	45
	22	46
	22	47
	22	48
	22	49
	22	50
	23	50
	23	51
	24	51
	25	51
	26	51
	27	50
	27	51
	28	50
	25	16
	26	16
	27	16
	27	15
	28	15
	28	14
	29	13
	28	13
	28	12
	29	12
	28	11
	28	10
	27	10
	27	9
	26	9
	25	9
	24	9
	24	10
	23	10
	22	10
	22	11
	22	12
	22	13
	22	14
	22	15
	23	15
	23	16
	24	16
	37	14
	38	14
	36	14
	35	13
	36	13
	39	14
	39	13
	40	13
	40	12
	40	11
	41	11
	41	10
	40	10
	40	9
	40	8
	39	8
	39	7
	38	7
	37	7
	36	7
	36	8
	35	8
	35	9
	34	9
	34	10
	34	11
	34	12
	34	13
	22	40
	22	41
	22	42
	22	39
	22	38
	22	37
	22	36
	22	35
	22	43
	22	44
	22	34
	22	33
	22	32
	22	31
	22	30
	22	29
	22	28
	22	27
	22	26
	22	25
	22	24
	22	23
	28	9
	29	9
	22	22
	22	21
	22	20
	22	19
	22	18
	22	17
	22	16
	30	9
	31	9
	32	9
	33	9
	120	54
	121	54
	122	54
	123	54
	124	54
	125	54
	126	54
	127	54
	128	54
	129	54
	130	54
	131	54
	132	54
	133	54
	134	54
	135	54
	136	54
	137	54
	138	54
	139	54
	140	54
	141	54
	142	54
	143	54
	144	54
	145	54
	146	54
	147	54
	160	54
	159	54
	160	55
	161	55
	161	54
	162	54
	162	53
	162	52
	162	51
	162	49
	162	48
	158	54
	157	54
	162	50
	156	54
	155	54
	154	54
	153	54
	152	54
	151	54
	150	54
	149	54
	148	54
	162	16
	162	17
	162	15
	162	13
	162	12
	162	14
	162	11
	162	10
	162	9
	162	8
	162	7
	161	7
	157	7
	159	7
	160	7
	158	7
	156	7
	155	7
	154	7
	147	7
	152	7
	153	7
	151	7
	153	6
	152	6
	151	6
	135	7
	134	7
	150	6
	150	7
	149	7
	133	7
	132	7
	131	7
	148	7
	146	7
	130	7
	129	7
	128	7
	127	7
	124	7
	126	7
	125	7
	119	7
	123	7
	122	7
	121	7
	120	7
	118	7
	57	7
	117	7
	56	7
	54	7
	55	7
	40	7
	41	7
	42	7
	43	7
	44	7
	45	7
	46	7
	47	7
	48	7
	51	7
	52	7
	53	7
	49	7
	50	7
	58	7
	59	7
	60	7
	61	7
	62	7
	63	7
	64	7
	65	7
	66	7
	67	7
	68	7
	69	7
	70	7
	71	7
	72	7
	73	7
	75	7
	76	7
	77	7
	78	7
	79	7
	80	7
	81	7
	82	7
	83	7
	84	7
	85	7
	86	7
	87	7
	88	7
	89	7
	90	7
	96	7
	97	7
	98	7
	99	7
	100	7
	101	7
	102	7
	103	7
	104	7
	105	7
	106	7
	107	7
	108	7
	109	7
	110	7
	112	7
	113	7
	114	7
	115	7
	116	7
	137	7
	136	7
	141	7
	140	7
	139	7
	138	7
	142	7
	143	7
	144	7
	145	7
	111	7
	95	7
	94	7
	93	7
	92	7
	91	7
	74	7
	162	47
	162	46
	162	45
	162	44
	162	43
	162	42
	162	41
	162	40
	162	39
	162	38
	162	37
	162	36
	162	35
	162	34
	162	33
	162	32
	162	31
	162	30
	162	29
	162	28
	162	27
	162	26
	162	24
	162	23
	162	25
	162	22
	162	19
	162	20
	162	21
	162	18
InvisibleObstacle		
