Info	Key	X	Y
30110103	PB1	4387	941
30110103	S1	3637	915
30110103	B101	3364	1161
30110103	B102	3357	728
30110103	B201	2309	749
30110103	B202	2321	1070
30110103	B203	2044	1184
30110103	B204	2032	704
30110103	S2	2809	924
30110103	S3	2830	893
30110103	B301	4025	912
30110103	B302	1732	1166
30110103	B303	1746	661
30110103	S4	2827	938
30110103	B401	3756	1140
30110103	B402	3759	672
30110103	B403	1824	956
30110101	PB1	2359	937
30110101	S1	4283	902
30110101	B101	3443	942
30110101	JJ1	5377	978
30110101	B102	3907	1056
30110101	B103	3878	738
30110101	S2	4082	987
30110101	B201	2445	925
30110101	B202	2694	1214
30110101	B203	2698	633
