Info	Key	X	Y
99940002	PB1	6406	8450
99940002	B1	6405	8864
99940002	B2	6407	7965
99940002	B3	5895	8446
99940002	B4	6904	8431
99940002	B5	6045	8757
99940002	B6	6744	8151
99940002	B7	6739	8695
99940002	B8	6028	8130
30100303	PB1	5973	7858
30100303	S1	6683	7852
30100303	B101	7419	7842
80010402	PB1	5360	6010
99919917	PB1	5150	6577
99919917	B101	4835	6248
99919917	B102	5472	6248
99919917	B103	4992	6012
99919917	B104	5400	5985
99919917	B105	5170	6136
99919917	S1	5163	6288
80010401	PB1	5360	6010
80010401	S1	4989	6009
80010401	B101	4617	6009
80010401	B102	4984	5692
30080205	PB1	6610	7361
30080205	PB2	6611	7367
30080205	B101	6611	7869
30080205	B102	6614	7869
30080205	End	6607	8069
21010101	ZX1	6651	7803
21010101	PB1	6651	7803
21010101	B101	6651	7803
21010101	B102	6651	7803
21010101	PB2	6651	7803
