Key	CellX	CellY
VisibleObstacle		
	1	1
	2	1
	0	1
	1	2
	1	0
	2	2
	2	0
	0	2
	0	0
	1	3
	2	3
	0	3
	1	4
	2	4
	0	4
	1	5
	2	5
	0	5
	1	6
	2	6
	0	6
	1	7
	2	7
	0	7
	1	8
	2	8
	0	8
	1	9
	2	9
	0	9
	1	10
	2	10
	0	10
	1	11
	2	11
	0	11
	1	12
	2	12
	0	12
	1	13
	2	13
	0	13
	1	14
	2	14
	0	14
	0	15
	1	15
	0	16
	1	16
	0	17
	1	17
	0	18
	1	18
	0	19
	1	19
	0	20
	1	20
	0	21
	1	21
	0	22
	1	22
	0	23
	1	23
	0	24
	1	24
	2	23
	2	24
	2	22
	1	25
	2	25
	0	25
	3	25
	2	26
	3	26
	3	24
	1	26
	0	26
	2	21
	2	20
	2	19
	2	18
	2	17
	2	16
	2	15
	1	27
	2	27
	0	27
	1	28
	2	28
	0	28
	1	29
	2	29
	0	29
	1	30
	2	30
	0	30
	1	31
	2	31
	0	31
	1	32
	2	32
	0	32
	1	33
	2	33
	0	33
	1	34
	2	34
	0	34
	1	35
	2	35
	0	35
	1	36
	2	36
	0	36
	1	37
	2	37
	0	37
	1	38
	2	38
	0	38
	1	39
	2	39
	0	39
	1	40
	2	40
	0	40
	1	41
	2	41
	0	41
	1	42
	2	42
	0	42
	1	43
	2	43
	0	43
	1	44
	2	44
	0	44
	1	45
	2	45
	0	45
	1	46
	2	46
	0	46
	1	47
	2	47
	0	47
	1	48
	2	48
	0	48
	1	49
	2	49
	0	49
	1	50
	2	50
	0	50
	1	51
	2	51
	0	51
	1	52
	2	52
	0	52
	3	52
	2	53
	3	53
	3	51
	1	53
	2	54
	3	54
	1	54
	2	55
	3	55
	1	55
	2	56
	3	56
	1	56
	2	57
	3	57
	1	57
	2	58
	3	58
	1	58
	3	59
	4	59
	2	59
	3	60
	4	60
	4	58
	2	60
	3	61
	4	61
	2	61
	3	62
	4	62
	2	62
	3	63
	4	63
	2	63
	3	64
	4	64
	2	64
	3	65
	4	65
	2	65
	3	66
	4	66
	2	66
	3	67
	4	67
	2	67
	3	68
	4	68
	2	68
	3	69
	4	69
	2	69
	3	70
	4	70
	2	70
	1	70
	2	71
	3	71
	1	71
	1	69
	2	72
	3	72
	1	72
	2	73
	3	73
	1	73
	0	73
	1	74
	2	74
	0	74
	0	72
	1	75
	2	75
	0	75
	1	76
	2	76
	0	76
	1	77
	2	77
	0	77
	1	78
	2	78
	0	78
	1	79
	2	79
	0	79
	0	71
	0	70
	1	68
	1	67
	1	66
	1	65
	1	64
	1	63
	1	62
	1	61
	1	60
	1	59
	3	50
	3	49
	3	48
	3	47
	3	46
	0	53
	0	54
	0	55
	0	57
	0	58
	0	56
	0	60
	0	61
	0	59
	0	62
	0	63
	0	64
	0	65
	0	66
	0	67
	0	68
	0	69
	3	1
	3	2
	3	0
	4	1
	4	2
	4	0
	5	1
	5	2
	5	0
	6	1
	6	2
	6	0
	7	2
	6	3
	7	3
	7	1
	5	3
	8	2
	8	3
	8	1
	9	2
	9	3
	9	1
	10	2
	10	3
	10	1
	11	2
	11	3
	11	1
	12	2
	12	3
	12	1
	13	2
	14	2
	13	3
	13	1
	14	3
	14	1
	15	2
	15	3
	15	1
	16	2
	16	3
	16	1
	17	2
	18	2
	17	3
	17	1
	18	3
	18	1
	19	2
	19	3
	19	1
	20	2
	20	3
	20	1
	21	2
	21	3
	21	1
	22	2
	22	3
	22	1
	23	2
	23	3
	23	1
	15	0
	16	0
	14	0
	13	0
	12	0
	11	0
	10	0
	9	0
	8	0
	7	0
	17	0
	18	0
	19	0
	20	0
	21	0
	22	0
	23	0
	24	0
	25	0
	24	1
	25	1
	26	0
	26	1
	28	0
	29	0
	27	0
	28	1
	29	1
	27	1
	30	0
	31	0
	30	1
	31	1
	32	0
	32	1
	33	0
	33	1
	34	0
	34	1
	35	0
	36	0
	35	1
	36	1
	37	0
	37	1
	38	0
	38	1
	39	0
	39	1
	40	0
	40	1
	41	0
	41	1
	42	0
	43	0
	42	1
	43	1
	44	0
	45	0
	44	1
	45	1
	46	0
	46	1
	47	0
	47	1
	48	0
	48	1
	49	0
	49	1
	51	0
	52	0
	50	0
	51	1
	52	1
	50	1
	53	0
	54	0
	53	1
	54	1
	56	0
	57	0
	55	0
	56	1
	57	1
	55	1
	58	0
	59	0
	58	1
	59	1
	62	0
	63	0
	61	0
	62	1
	63	1
	61	1
	65	0
	66	0
	64	0
	65	1
	66	1
	64	1
	68	0
	69	0
	67	0
	68	1
	69	1
	67	1
	70	0
	71	0
	70	1
	71	1
	72	0
	72	1
	75	0
	76	0
	74	0
	75	1
	76	1
	74	1
	80	0
	81	0
	79	0
	80	1
	81	1
	79	1
	132	0
	133	0
	131	0
	132	1
	133	1
	131	1
	130	0
	129	0
	130	1
	129	1
	128	0
	128	1
	127	0
	126	0
	127	1
	126	1
	125	0
	124	0
	125	1
	124	1
	122	0
	123	0
	121	0
	122	1
	123	1
	121	1
	120	0
	119	0
	120	1
	119	1
	118	0
	117	0
	118	1
	117	1
	116	0
	116	1
	114	0
