Id	Behavior	Name	Environment	TerrainRoot	CloseLoadingDelay	SwitchNpcCd	SceneCamera	CameraId	Terrains[1]	Terrains[2]	Terrains[3]	Position[1]	Position[2]	Position[3]	Rotation[1]	Rotation[2]	Rotation[3]
20000101	20000101	0			0.15	15	1	12	200001010								
20000102	20000102	0			0.15	15	1	12	200001020								
20000103	20000103	0			0.15	15	1	12	200001030								
20000104	20000104	0			0.15	15	1	12	200001040								
20000201	20000201	0			0.15	15	1	12	200002010								
20000202	20000202	0			0.15	15	1	12	200002020								
20000203	20000203	0			0.15	15	1	12	200002030								
20000204	20000204	0			0.15	15	1	12	200002040								
20000301	20000301	0			0.15	15	20	12	200003010								
20000302	20000302	0			0.15	15	20	12	200003020								
20000303	20000303	0			0.15	15	20	12	200003030								
20000304	20000304	0			0.15	15	20	12	200003040								
