Id	Behavior	Name	Environment	TerrainRoot	CloseLoadingDelay	SwitchNpcCd	SceneCamera	CameraId	Terrains[1]	Terrains[2]	Terrains[3]	Position[1]	Position[2]	Position[3]	Rotation[1]	Rotation[2]	Rotation[3]
10050101	10050101	普通5-1			0.15	15	2	9	100501010			0|0|0			0|0|0		
10050102	10050102	普通5-2			0.15	15	1	9	100501020			0|0|0			0|0|0		
10050103	10050103	普通5-3			0.15	15	1	9	100501030			0|0|0			0|0|0		
10050104	10050104	普通5-4			0.15	15	1	9	100501040			0|0|0			0|0|0		
10050201	10050201	普通5-5			0.15	15	2	9	100502010			0|0|0			0|0|0		
10050202	10050202	普通5-6			0.15	15	2	9	100502020			0|0|0			0|0|0		
10050203	10050203	普通5-7			0.15	15	2	9	100502030			0|0|0			0|0|0		
10050204	10050204	普通5-8			0.15	15	2	9	100502040			0|0|0			0|0|0		
10050301	10050301	普通5-9			0.15	15	1	9	100503010			0|0|0			0|0|0		
10050302	10050302	普通5-10			0.15	15	18	9	100503020			0|0|0			0|0|0		
10050303	10050303	普通5-11			0.15	15	1	10	100503030			0|0|0			0|0|0		
10050304	10050304	普通5-12			0.15	15	1	9	100503040			0|0|0			0|0|0		
