Id	Behavior	Name	Environment	TerrainRoot	CloseLoadingDelay	SwitchNpcCd	SceneCamera	CameraId	Terrains[1]	Terrains[2]	Terrains[3]	Position[1]	Position[2]	Position[3]	Rotation[1]	Rotation[2]	Rotation[3]
99990101	99990101				0.15	15	1	9	999901010								
99990102	99990102				0.15	15	1	9	999901020								
99990104	99990104				0.15	15	1	9	999901040								
99999922	99999922				0.15	15	1	9	999999220								
99999923	99999923				0.15	15	1	9	999999230								
99996001	99996001				0.15	15	2	9	999960010								
99960001	99960001				0.15	15	2	9	999600010								
99960002	99960002				0.15	15	2	9	999600020								
99960010	99960010				0.15	15	4	9	999600100								
99960011	99960011				0.15	15	9	9	999600110								
