Id	Behavior	Name	Environment	TerrainRoot	CloseLoadingDelay	SwitchNpcCd	SceneCamera	CameraId	Terrains[1]	Terrains[2]	Terrains[3]	Position[1]	Position[2]	Position[3]	Rotation[1]	Rotation[2]	Rotation[3]
30060101	30060101	赏金任务:追杀-修女 Easy			0.15	15	1	9	300601010								
30060102	30060102	赏金任务:追杀-修女 Normal			0.15	15	1	9	300601020								
30060103	30060103	赏金任务:追杀-修女 Hard			0.15	15	1	9	300601030								
30060201	30060201	赏金任务:追杀-摇摇乐 Easy			0.15	15	1	9	300602010								
30060202	30060202	赏金任务:追杀-摇摇乐 Normal			0.15	15	1	9	300602020								
30060203	30060203	赏金任务:追杀-摇摇乐 Hard			0.15	15	1	9	300602030								
30060301	30060301	赏金任务:黑入-孤儿 Easy			0.15	15	1	9	300603010								
30060302	30060302	赏金任务:黑入-孤儿 Normal			0.15	15	1	9	300603020								
30060303	30060303	赏金任务:黑入-孤儿 Hard			0.15	15	1	9	300603030								
30060401	30060401	赏金任务:救援-武藏 Easy			0.15	15	1	9	300604010								
30060402	30060402	赏金任务:救援-武藏 Normal			0.15	15	1	9	300604020								
30060403	30060403	赏金任务:救援-武藏 Hard			0.15	15	1	9	300604030								
30060501	30060501	赏金任务:修复-阿瓦隆 Easy			0.15	15	1	9	300605010								
30060502	30060502	赏金任务:修复-阿瓦隆 Normal			0.15	15	1	9	300605020								
30060503	30060503	赏金任务:修复-阿瓦隆 Hard			0.15	15	1	9	300605030								
30060601	30060601	赏金任务:同型怪-囚徒 Easy			0.15	15	2	9	300606010								
30060602	30060602	赏金任务:同型怪-囚徒 Normal			0.15	15	2	9	300606020								
30060603	30060603	赏金任务:同型怪-囚徒 Hard			0.15	15	2	9	300606030								
30060701	30060701	赏金任务:同型怪-刀锯 Easy			0.15	15	2	9	300607010								
30060702	30060702	赏金任务:同型怪-刀锯 Normal			0.15	15	2	9	300607020								
30060703	30060703	赏金任务:同型怪-刀锯 Hard			0.15	15	2	9	300607030								
30060801	30060801	赏金任务:阿尔法军团 Easy			0.15	15	2	9	300608010								
30060802	30060802	赏金任务:阿尔法军团 Normal			0.15	15	2	9	300608020								
30060803	30060803	赏金任务:阿尔法军团 Hard			0.15	15	2	9	300608030								
30060901	30060901	赏金任务:贝塔军团 Easy			0.15	15	1	9	300609010								
30060902	30060902	赏金任务:贝塔军团 Normal			0.15	15	1	9	300609020								
30060903	30060903	赏金任务:贝塔军团 Hard			0.15	15	1	9	300609030								
30061001	30061001	赏金任务:小型机械 Easy			0.15	15	2	9	300610010								
30061002	30061002	赏金任务:小型机械 Normal			0.15	15	2	9	300610020								
30061003	30061003	赏金任务:小型机械 Hard			0.15	15	2	9	300610030								
30061101	30061101	赏金任务:剑客Easy			0.15	15	2	9	300611010								
30061102	30061102	赏金任务:剑客Normal			0.15	15	2	9	300611020								
30061103	30061103	赏金任务:剑客Hard			0.15	15	2	9	300611030								
30061201	30061201	赏金任务:擎天柱Easy			0.15	15	10	9	300612010								
30061202	30061202	赏金任务:擎天柱Normal			0.15	15	10	9	300612020								
30061203	30061203	赏金任务:擎天柱Hard			0.15	15	10	9	300612030								
30061301	30061301	赏金任务:蜘蛛Easy			0.15	15	1	9	300613010								
30061302	30061302	赏金任务:蜘蛛Normal			0.15	15	1	9	300613020								
30061303	30061303	赏金任务:蜘蛛Hard			0.15	15	1	9	300613030								
