Id	Behavior	Name	Environment	TerrainRoot	CloseLoadingDelay	SwitchNpcCd	SceneCamera	CameraId	Terrains[1]	Terrains[2]	Terrains[3]	Position[1]	Position[2]	Position[3]	Rotation[1]	Rotation[2]	Rotation[3]
97900301	97900301				0.15	15	1	9	979003010								
97900302	97900302				0.15	15	1	9	979003020								
97900303	97900303				0.15	15	1	9	979003030								
97900304	97900304				0.15	15	1	9	979003040								
97900305	97900305				0.15	15	1	9	979003050								
97900306	97900306				0.15	15	1	9	979003060								
97900901	97900901				0.15	15	1	9	979009010								
97900902	97900902				0.15	15	1	9	979009020								
97901001	97901001				0.15	15	1	9	979010010								
97901002	97901002				0.15	15	1	9	979010020								
97901101	97901101				0.15	15	1	9	979011010								
97901102	97901102				0.15	15	1	9	979011020								
97901103	97901103				0.15	15	1	9	979011030								
97901201	97901201				0.15	15	1	9	979012010								
97901202	97901202				0.15	15	1	9	979012020								
97901203	97901203				0.15	15	1	9	979012030								
97901301	97901301				0.15	15	1	9	979013010								
97901302	97901302				0.15	15	1	9	979013020								
97901303	97901303				0.15	15	1	9	979013030								
97901304	97901304				0.15	15	1	9	979013040								
97901401	97901401				0.15	15	1	9	979014010								
97901402	97901402				0.15	15	1	9	979014020								
97901501	97901501				0.15	15	1	9	979015010								
97901502	97901502				0.15	15	1	9	979015020								
97901503	97901503				0.15	15	1	9	979015030								
97901504	97901504				0.15	15	1	9	979015040								
97901505	97901505				0.15	15	1	9	979015050								
97901601	97901601				0.15	15	1	9	979016010								
97901602	97901602				0.15	15	1	9	979016020								
97901701	97901701				0.15	15	1	9	979017010								
97901702	97901702				0.15	15	1	9	979017020								
97901703	97901703				0.15	15	1	9	979017030								
97901704	97901704				0.15	15	1	9	979017040								
97901705	97901705				0.15	15	1	9	979017050								
97901706	97901706				0.15	15	1	9	979017060								
97901801	97901801				0.15	15	1	9	979018010								
97901802	97901802				0.15	15	1	9	979018020								
97901803	97901803				0.15	15	1	9	979018030								
97901804	97901804				0.15	15	1	9	979018040								
97901901	97901901				0.15	15	1	9	979019010								
97901902	97901902				0.15	15	1	9	979019020								
97901903	97901903				0.15	15	1	9	979019030								
97901904	97901904				0.15	15	1	9	979019040								
97901905	97901905				0.15	15	1	9	979019050								
97901906	97901906				0.15	15	1	9	979019060								
97901907	97901907				0.15	15	1	9	979019070								
97901908	97901908				0.15	15	1	9	979019080								
97901909	97901909				0.15	15	1	9	979019090								
97901910	97901910				0.15	15	1	9	979019100								
97901911	97901911				0.15	15	1	9	979019110								
97901912	97901912				0.15	15	1	9	979019120								
97902001	97902001				0.15	15	1	9	979020010								
97902002	97902002				0.15	15	1	9	979020020								
97902003	97902003				0.15	15	1	9	979020030								
97902101	97902101				0.15	15	1	9	979021010								
97902102	97902102				0.15	15	1	9	979021020								
97902103	97902103				0.15	15	1	9	979021030								
97902104	97902104				0.15	15	1	9	979021040								
97902105	97902105				0.15	15	1	9	979021050								
97902106	97902106				0.15	15	1	9	979021060								
97902107	97902107				0.15	15	1	9	979021070								
97902108	97902108				0.15	15	1	9	979021080								
97902109	97902109				0.15	15	1	9	979021090								
97902110	97902110				0.15	15	1	9	979021100								
97902501	97902501				0.15	15	1	9	979025010								
97902502	97902502				0.15	15	1	9	979025020								
97902503	97902503				0.15	15	1	9	979025030								
97902504	97902504				0.15	15	1	9	979025040								
97902505	97902505				0.15	15	1	9	979025050								
97902506	97902506				0.15	15	1	9	979025060								
97902507	97902507				0.15	15	1	9	979025070								
97903601	97903601				0.15	15	1	9	979036010								
97903602	97903602				0.15	15	1	9	979036020								
97903603	97903603				0.15	15	1	9	979036030								
97903604	97903604				0.15	15	1	9	979036040								
97903605	97903605				0.15	15	1	9	979036050								
97903606	97903606				0.15	15	1	9	979036060								
97903607	97903607				0.15	15	1	9	979036070								
97903608	97903608				0.15	15	1	9	979036080								
97971401	97971401				0.15	15	1	9	979714010								
97971402	97971402				0.15	15	1	9	979714020								
97971403	97971403				0.15	15	1	9	979714030								
97971404	97971404				0.15	15	1	9	979714040								
97971405	97971405				0.15	15	1	9	979714050								
97971406	97971406				0.15	15	1	9	979714060								
97903501	97903501				0.15	15	1	9	979035010								
97903502	97903502				0.15	15	1	9	979035020								
97903503	97903503				0.15	15	1	9	979035030								
97903504	97903504				0.15	15	1	9	979035040								
97903505	97903505				0.15	15	1	9	979035050								
97903506	97903506				0.15	15	1	9	979035060								
97903507	97903507				0.15	15	1	9	979035070								
97903508	97903508				0.15	15	1	9	979035080								
97903509	97903509				0.15	15	1	9	979035090								
97903510	97903510				0.15	15	1	9	979035100								
97903511	97903511				0.15	15	1	9	979035110								
97903512	97903512				0.15	15	1	9	979035120								
97903513	97903513				0.15	15	1	9	979035130								
