Id	Name	Shape	SizeX	SizeY	OffsetX	OffsetY	Speed	HitSpeed	Direction	TargetType	TrackTarget	LiveTime	FillTime	DeadExplosion	HitCount	RepeatDamage	HitEffect[1]	HitEffect[2]	DamageInterval	StartJoint	Effect	WaitTime	DamageCount	DamageRange	ExplosionEffect	LineType	LineParams[1]	LineParams[2]	LineParams[3]	LineParams[4]	LineParams[5]	LineParams[6]	LineParams[7]	BornPosition	ChildDelay	ChildInterval	ChildCountLimit	ChildId	BornChildWhileDead	SwitchTargetOnHit	BornDirectionType	BeHitCenter	HitShakeDirection	HitShakeDuration	HitShakeIntensity	BeHitState	Magic[1]	Magic[2]	Magic[3]	Magic[4]	Magic[5]	MagicLauncherNpc[1]	MagicLauncherNpc[3]	MagicLauncherNpc[2]	EffectHeight	HitOnJoint	ResizeEffect	BindLauncher	LockLauncherFightTarget	BindSkill	ActiveDelayTime	ExplodeOnFloor	DodgeLimitMark	HitEffectUseMissileDirection	IgnoreNpcTimeScale	ScaleTimeOnHit	TimeScale	TimeScaleDuration
80000001	破霸体	1	0.1	0.1			0			4		0.1			1		FxTongyongPobati				FxNpcYujing02		1			1					0	0	0	1							0	3					800010					200105			0	HitCase		0					0					
80000002	1点伤害	1	0.1	0.1			0			1		0.1			1		FxMb1LuolanMd010001QiangkouShouji						1			1					0	0	0	1							0	3					801010								0	HitCase		0					0					
80000003	破霸体后死亡	2	0.1				0			4		0.1			1		FxTongyongPobati				FxNpcYujing02		1			1					0	0	0	1							0	3					100002								0	HitCase		0					0					
81500101	耳光	1	3	3		1.5	0			4		0.1			-1								-1			1					0	0	0	0							0	3				815001011	801040	200003	815056			200003			0	HitCase	1	0					1					
81500201	随意喷发（抛物线）	2	2.5				15			4		3		1	1					Bip001LHand	FxMb1OrphanMd030001Attack02Dandao		1		FxMb1OrphanMd030001Attack02Bao	3	-50	0	12	0.75	0	0	0	0	5000		1	81500203	1		0	3				815002011									0	HitCase		0			9999	1	1					
81500203	投掷物伤害	2	2.5				0			4		0.1			-1								-1			1					0	0	0	2	0.1		1	81500204	1		3	2				815002031	801040	815057							0	HitCase		0					0					
81500204	持续冰冻区域	2	2.5				0			4		5			-1	1			0.1				-1			1	0				0	0	0	2							0	3					815002	815003							0	HitCase		0					0					
81500301	随意踩踏	2	3			3	0			4		0.1			-1								-1			1					0	0	0	0							0	1				815003011	801040	200003	815058			200003			0	HitCase	1	0					1					
81500303	随意踩踏（特效）	2	1.33			1	0			4		2			-1						FxMb1OrphanMd030001Attack03		-1			1					0	0	0	0							0	3													0	HitCase		0					0					
81500401	跳跃 - 轻	2	3				0			4		0.75			-1								-1			1					0	0	0	0	0.75		1	81500411			0	3													0	HitCase	1	1					1					
81500411	跳跃 - 轻 （伤害）	2	5				0			4		0.1			-1								-1			1					0	0	0	2	0		1	81500412			0	2				815004111	801050	200003	815059			200003		815004112	0	HitCase		0					1					
81500412	P3 空中飞人 （弹道特效）	2	10				0			4		2			-1						FxMb1OrphanMd030001Attack04		-1			1					0	0	0	2							0	3													0	HitCase		0					0					
81500501	跳跃 - 重	2	7				0			4		0.7			-1								-1			1					0	0	0	0	0.7		1	81500511			0	3													0	HitCase	1	1					1					
81500511	跳跃 - 重 （伤害）	2	10				0			4		0.1			-1								-1			1					0	0	0	2	0		1	81500512			0	2				815005111	801080	200005	815001	815060		200005			0	HitCase	1	0					1					
81500512	P3 空中飞人 （弹道特效）	2	15				0			4		1			-1						FxMb1OrphanMd030001Attack05		-1			1					0	0	0	2							0	3													0	HitCase		0					0					
81500601	喷射 - 直线	1	1.5	1.5	1.5	1	3.7			4		2			-1								-1			1					0	0	0	0		0.25	8	81500611			0	3													0	HitCase		0					1					
81500602	喷射 - 地面特效	2	1.33				0			4		15			-1						FxMb1OrphanMd030001Attack06Dimian		-1			1					0	0	0	0							0	3													0	HitCase		0					0					
81500611	持续冰冻区域	2	1.2	1.2			0			4		10			-1	1			0.1				-1			1					0	0	0	2							0	3					815002	815003							0	HitCase	1	0			0.1		0					
81500701	喷射 - 弧线	2	2				0		95	4		2			-1								-1			2	-93	0	7.5	7.5	0	0	0	0		0.15	12	81500611			0	3													0	HitCase		0					1					
81500702	喷射 - 地面特效	2	1.33				0			4		15			-1						FxMb1OrphanMd030001Attack07Dimian		-1			1					0	0	0	0							0	3													0	HitCase		0					0					
81500801	喷射 - 弧线	2	2				0		95	4		2			-1								-1			2	-93	0	3.3	3.3	0	0	0	0		0.15	12	81500811			0	3													0	HitCase	1	0					1					
