Id	Name	Shape	SizeX	SizeY	OffsetX	OffsetY	Speed	HitSpeed	Direction	TargetType	TrackTarget	LiveTime	FillTime	DeadExplosion	HitCount	RepeatDamage	HitEffect[1]	HitEffect[2]	DamageInterval	StartJoint	Effect	WaitTime	DamageCount	DamageRange	ExplosionEffect	LineType	LineParams[1]	LineParams[2]	LineParams[3]	LineParams[4]	LineParams[5]	LineParams[6]	LineParams[7]	BornPosition	ChildDelay	ChildInterval	ChildCountLimit	ChildId	BornChildWhileDead	SwitchTargetOnHit	BornDirectionType	BeHitCenter	HitShakeDirection	HitShakeDuration	HitShakeIntensity	BeHitState	Magic[1]	Magic[2]	Magic[3]	Magic[4]	Magic[5]	MagicLauncherNpc[1]	MagicLauncherNpc[3]	MagicLauncherNpc[2]	EffectHeight	HitOnJoint	ResizeEffect	BindLauncher	LockLauncherFightTarget	BindSkill	ActiveDelayTime	ExplodeOnFloor	DodgeLimitMark	HitEffectUseMissileDirection	IgnoreNpcTimeScale	ScaleTimeOnHit	TimeScale	TimeScaleDuration
95010001	能量包	2	2				8			4		999		1	-1						FxDropPower		-1			3	-80	0.1	10	0	0	0	0	3	999		1	95010002	1		4	1													1	HitCase		0			999	1	0					
95010002	·····	2	2				0			4		999		1	1						FxDropPower		1		FxDropPowerBeHit	1					0	0	0	2							2	1					950111								0	HitCase		0					0					
95010003	速度包	2	2				8			4		999		1	-1						FxDropSpeed		-1			3	-80	0.1	10	0	0	0	0	3	999		1	95010004	1		4	1													1	HitCase		0			999	1	0					
95010004	·····	2	2				0			4		999		1	1						FxDropSpeed		1		FxDropSpeedBeHit	1					0	0	0	2							2	1					950112								0	HitCase		0					0					
95010005	生命值包	2	2				8			4		999		1	-1						FxDropCure		-1			3	-80	0.1	10	0	0	0	0	3	999		1	95010006	1		4	1													1	HitCase		0			999	1	0					
95010006	·····	2	2				0			4		999		1	1						FxDropCure		1		FxDropCureBeHit	1					0	0	0	2							2	1					950113								0	HitCase		0					0					
95010021	·····	2	2				0			4		999		1	1						FxDropCure		1		FxDropCureBeHit	1					0	0	0	2							2	1					950113								0	HitCase		0					0					
95010031	冲锋	1	3	7		2	0			6		3			-1	0			0.1		FxNpcYujing02		-1			1					0	0	0	0							0	1				950100311	950114	200003				816004	950109		0	HitCase	1	1					0					
95010041	小坦克-Skill-01-炮击	2	1				30			6		5		1	1		FxDibingShouji			EffectCase1	FxMe1DestroyerMd001001Attack02Dandao		1			1					0	0	0	0	9999		1	95010211	1		1	1													0	HitCase		0					1					
95010101	小坦克-Skill-01-激光射线	1	2	20		10	0			6		0.85			-1	1	FxDibingShouji		0.1				-1			1					0	0	0	0							0	1				950101011	811003					816004	950109		0	HitCase	1	0					1					
