Id	AttribId	PromotedId	Kind	Type	Name	MoveUseFaceDir	HasRunTilt	HeadImageName	OnlinePortrait	EnergyBar	SPPrefab	ModelId	BodyRadius	HitRadius	IgnoreCollisionToNpc	IgnoreCollisionFromNpc	ModelScale	EffectScale	MissileScale	BossHp	HpWdigetCount	HpWidgetHeight	HpWidgetType	RollCharHeight	HitDownTime	FallDownTime	LieOnFloorTime	StandUpTime	StandUpImmuneHitTime	MaxHitValue	BeHitInterval	Ball	RandomBall	AttackSkillId	DodgeSkillId	NoThreat	NotToThreatTarget	BornTime	DeathTime	HasRunToStand	HasRunStart	HasStandTransition	CollisionPriority	AttackIconImage	DodgeIconImage	ExSkillIconImage	DeathMagic[1]	DeathMagic[2]	DeathMagic[3]	DeathMagic[4]	RobotBornMagic[1]	BornMagic[1]	BornMagic[2]	BornMagic[3]	BornMagic[4]	BornMagic[5]	BornMagic[6]	BornMagic[7]	BornMagic[8]	BornMagic[9]	BornMagic[10]	BornMagic[11]	BornMagic[12]	SkillId[1]	SkillId[2]	SkillId[3]	SkillId[4]	SkillId[5]	SkillId[6]	SkillId[7]	SkillId[8]	SkillId[9]	SkillId[10]	SkillId[11]	SkillId[12]	SkillId[13]	SkillId[14]	SkillId[15]	SkillId[16]	SkillId[17]	SkillId[18]	SkillId[19]	SkillId[20]	SkillId[21]	SkillId[22]	SkillId[23]	SkillId[24]	SkillId[25]	SkillId[26]	SkillId[27]	SkillId[28]	SkillId[29]	SkillId[30]	SkillId[31]	SkillId[32]	SkillId[33]	SkillId[34]	SkillId[35]	SkillId[36]	SkillId[37]	SkillId[38]	SkillId[39]	SkillId[40]	SkillId[41]	SkillId[42]	SkillId[43]	SkillId[44]	SkillId[45]	SkillId[46]	SkillId[47]	SkillId[48]	SkillId[49]	SkillId[50]	SkillId[51]	SkillId[52]	SkillId[53]	SkillId[54]	SkillId[55]	SkillId[56]	SkillId[57]	SkillId[58]	SkillId[59]	SkillId[60]	SkillId[61]	SkillId[62]	SkillId[63]	SkillId[64]	SkillId[65]	SkillId[66]	SkillId[67]	SkillId[68]	SkillId[69]	SkillId[70]	SkillId[71]	SkillId[72]	SkillId[73]	SkillId[74]	SkillId[75]	SkillId[76]	SkillId[77]	SkillId[78]	SkillId[79]	SkillId[80]	SkillId[81]	SkillId[82]	SkillId[83]	SkillId[84]	SkillId[85]	SkillId[86]	SkillId[87]	SkillId[88]	SkillId[89]	SkillId[90]	SkillId[91]	SkillId[92]	SkillId[93]	SkillId[94]	SkillId[95]	SkillId[96]	SkillId[97]	SkillId[98]	SkillId[99]	SkillId[100]
9039	2	3		2	单机垃圾毒龙钻							Mb1RobotarmorMd030001	2				0.8	1		1	10	0.8	2	1.5	0.7	0.35	0.15	1.5	0	99999								3.5	7				3				90390098	90390096	90390094	90390092		9039	900022	821203	970006	821256	100098	100097	900056					903901	903902	903903	903904	903905	903906	903907	903908																																																																																												
2006	2	1		2	通用召唤物								0		1	1	1	1		0		0	0	1	0			0	0	99999						1	1	0	0	0			3										900064	900065	900056																																																																																																												
2007	2	1		2	极限闪避召唤物								0.5		1	1	1	0		0		30	0	0	0	0	0	0	0	99999						0	0	0	0	0			3																																																																																																																								
2010	2	1	1	2	能量泄露区域								0		1	1	1	1		0		0	0	1	0			0	0	99999						1	1	0	0	0			3										900064	900065	900056																																																																																																												
2011	2	1		2	能量球								0		1	1	1	1		0		0	0	1	0			0	0	99999						1	1	0	0	0			3										900064	900065	900056																																																																																																												
2012	2	1	1		角色强度测试监测器										1	1	1							1	0.05			0.05										0.05	0.05				3										970006																																																																																																														
2013	2	1	1	1	角色输出强度测试扳手机械	1						Mo1BraveMd010031	1				1	1		1	99	0	2	1	0.05			0.05		99999								0.05	0.05				3									2013	970006																																																																																																														
2014	11	1	1	1	角色生存测试毒龙钻							Mb1RobotarmorMd030001	2				1	1		1	99	0	2	1	0.05			0.05		99999								0.05	0.05				3									2014	970006	100079										201401																																																																																																			
2015	12	1		1	角色治疗测试扳手机械							Mo1BraveMd010031	1				1	1		1	99	0	2	1	0.05			0.05		99999								0.05	0.05				3				20150098	20150096	20150094	20150092		2015	970006																																																																																																														
8213	2	1		2	电球召唤物	1						Mb1BravepartMd010011	0		1	1	1	1																		1	1	1.7	20								82130098	82130096	82130094	82130092		8213	900056	900057	900031	900032	900011	821312	821323					821301	821302	821303	821304	821305																																																																																															
8214	2	1	3	2	电球战斗节奏控制	1							0		1	1	1	1																		1	1																900031	900032	821312	900011	900056	900057																																																																																																									
8215	2	1		2	大电球							Mb1BraveMd010011	2.5				1	1		1	30	2.3	2	1.5						99999							1	2.5	999				3				82150098	82150096	82150094	82150092		8215	900022	970006	100098	100097	900056	821525	821544					821501	821502	821503	821504	821505	821506	821507	821508	821509	821510	821511	821512	821513																																																																																							
8216	2	1	3	1	狂躁的自爆虫							Mo1BraveMd010101	0.6				1	1		0	5	0.8	2	1.5	0.85	0.3		0.75	0.3	10								1.2	0.2								82160098	82160096	82160094	82160092			900011	821316	821315	821319																																																																																																											
