Id	AttribId	PromotedId	Kind	Type	Name	MoveUseFaceDir	HasRunTilt	HeadImageName	OnlinePortrait	EnergyBar	SPPrefab	ModelId	BodyRadius	HitRadius	IgnoreCollisionToNpc	IgnoreCollisionFromNpc	ModelScale	EffectScale	BossHp	HpWdigetCount	HpWidgetHeight	HpWidgetType	RollCharHeight	HitDownTime	FallDownTime	LieOnFloorTime	StandUpTime	StandUpImmuneHitTime	MaxHitValue	BeHitInterval	Ball	RandomBall	AttackSkillId	DodgeSkillId	NoThreat	NotToThreatTarget	BornTime	DeathTime	HasRunToStand	HasRunStart	HasStandTransition	CollisionPriority	AttackIconImage	DodgeIconImage	ExSkillIconImage	DeathMagic[1]	DeathMagic[2]	DeathMagic[3]	DeathMagic[4]	RobotBornMagic[1]	BornMagic[1]	BornMagic[2]	BornMagic[3]	BornMagic[4]	BornMagic[5]	BornMagic[6]	BornMagic[7]	BornMagic[8]	BornMagic[9]	BornMagic[10]	BornMagic[11]	BornMagic[12]	SkillId[1]	SkillId[2]	SkillId[3]	SkillId[4]	SkillId[5]	SkillId[6]	SkillId[7]	SkillId[8]	SkillId[9]	SkillId[10]	SkillId[11]	SkillId[12]	SkillId[13]	SkillId[14]	SkillId[15]	SkillId[16]	SkillId[17]	SkillId[18]	SkillId[19]	SkillId[20]	SkillId[21]	SkillId[22]	SkillId[23]	SkillId[24]	SkillId[25]	SkillId[26]	SkillId[27]	SkillId[28]	SkillId[29]	SkillId[30]	SkillId[31]	SkillId[32]	SkillId[33]	SkillId[34]	SkillId[35]	SkillId[36]	SkillId[37]	SkillId[38]	SkillId[39]	SkillId[40]	SkillId[41]	SkillId[42]	SkillId[43]	SkillId[44]	SkillId[45]	SkillId[46]	SkillId[47]	SkillId[48]	SkillId[49]	SkillId[50]	SkillId[51]	SkillId[52]	SkillId[53]	SkillId[54]	SkillId[55]	SkillId[56]	SkillId[57]	SkillId[58]	SkillId[59]	SkillId[60]	SkillId[61]	SkillId[62]	SkillId[63]	SkillId[64]	SkillId[65]	SkillId[66]	SkillId[67]	SkillId[68]	SkillId[69]	SkillId[70]	SkillId[71]	SkillId[72]	SkillId[73]	SkillId[74]	SkillId[75]	SkillId[76]	SkillId[77]	SkillId[78]	SkillId[79]	SkillId[80]	SkillId[81]	SkillId[82]	SkillId[83]	SkillId[84]	SkillId[85]	SkillId[86]	SkillId[87]	SkillId[88]	SkillId[89]	SkillId[90]	SkillId[91]	SkillId[92]	SkillId[93]	SkillId[94]	SkillId[95]	SkillId[96]	SkillId[97]	SkillId[98]	SkillId[99]	SkillId[100]
9951	5			2	重构演出者							Mo1BioMd010141	0.5				1	1	0	5	0.8	2	1.5	0.8	0.3		1.45	0.3	10								1.2	2.5	0			3				99510098	99510096	99510094	99510092		9951												995101	995102	995103	995104	995105	995106																																																																																														
9037	3			2	弓箭手							Me1BioMd004050	0.5				1	1	0	3	0.8	2	1.5	0.8	0.3		1.45	0.3	10								1.2	2.5	0			3				90370098	90370096	90370094	90370092		9037	995203	995201										903701	903702	903703	903704	903705																																																																																															
9953	95			1	阿瓦隆							Me1CamouflageMd001002	1				1	1	0	6	1.5	2	1.5	0.8	0.3		1.45	0.3	10								0.05	0.95	0			3				99530098	99530096	99530094	99530092		9953												995301	995302	995303	995304	995305	995306	995307	995308	995309	995310	995311	995312	995313																																																																																							
9033	5		2	2	利爪							Me1BioMd004020	1	0.3			1	1	0	5	0.8	2	1.5	0.9	0.3		0.95	0.3	10								1.2	2.5	0			3				90330098	90330096	90330094	90330092		9033	900007	900008	100027	900011	900051	903310	903311					903301	903302	903303	903304	903305	903306	903307	903308																																																																																												
9034	3		2	2	囚徒							Me1BioMd004010	1	0.3			0.8	1	0	5	0.8	2	1.5	0.9	0.3		0.95	0.3	10								1.2	2.5	0			3				90340098	90340096	90340094	90340092		9034	900007	900008	100027	900011	900051							903401	903402	903403	903404	903405	903406	903407																																																																																													
9954	4		2	1	激光原虫-测试							Mo1JgrcMd000002	1.1				1	1	0	3	0.8	2	1.5	0.65	0.3		1.65	0.3	10								1.2	2.5	0			3				99540098	99540096	99540094	99540092		9954	900008	100027	900011	900033	900026																																																																																																										
9026	4		2	1	激光原虫							Mo1JgrcMd000002	1.1				1	1	0	3	0.8	2	1.5	0.65	0.3		1.65	0.3	10								1.2	1.7	0			3				90260098	90260096	90260094	90260092		9026	900008	100027	900011	900033								902601	902602	902603	902604	902605	902606																																																																																														
9955	3		1	1	三阶露西亚-BOSS							R3LuxiyaMd010031	0.3	0.3			1	1	1	10	0.8	2	1.5	1	0.7	0.2	0.7	0.7	5	0							1	1.7	1			3				99550098	99550096	99550094	99550092		9955	100050	100051	100074	102242	102261																																																																																																										
9958	5		2	2	利爪--测试							Me1BioMd004020	1	0.3			1	1	0	5	0.8	2	1.5	0.9	0.3		0.95	0.3	10								1.2	2.5	0			3				99580098	99580096	99580094	99580092		9958	900007	900008	100027	900011	900051	903310	903311																																																																																																								
9959	10		2	2	构造体								1	0.3			1	1	0	5	0.8	2	1.5	0.9	0.3		1.2	0.3	10								0.05	2	0			3				99590098	99590096	99590094	99590092		9959																																																																																																															
