Role	State	Target	TransitionDuration
MeRiderMd010010	AnyState	Born	0
MeRiderMd010010	AnyState	Stand2	0
MeRiderMd010010	AnyState	Stand1	0
MeRiderMd010010	AnyState	Standchange	0
MeRiderMd010010	AnyState	Run	0
MeRiderMd010010	AnyState	Walk	0
MeRiderMd010010	AnyState	Death	0
MeRiderMd010010	AnyState	Hit1	0
MeRiderMd010010	AnyState	Hit2	0
MeRiderMd010010	AnyState	Behitfly	0
MeRiderMd010010	AnyState	Hover	0
MeRiderMd010010	AnyState	Hoverhit	0
MeRiderMd010010	AnyState	Falldown	0
MeRiderMd010010	AnyState	Hitdown	0
MeRiderMd010010	AnyState	Lieonfloor	0
MeRiderMd010010	AnyState	Standup	0
MeRiderMd010010	AnyState	Straight	0
MeRiderMd010010	AnyState	Stun	0
MeRiderMd010010	AnyState	TurnLeft	0
MeRiderMd010010	AnyState	TurnRight	0
MeRiderMd010010	AnyState	StraightBefore	0
MeRiderMd010010	AnyState	StraightAfter	0
MeRiderMd010010	AnyState	Attack01	0
MeRiderMd010010	AnyState	Attack02	0
MeRiderMd010010	AnyState	Attack03	0
MeRiderMd010010	AnyState	Attack04	0
MeRiderMd010010	AnyState	Move1	0
MeRiderMd010010	AnyState	Move2	0
MeRiderMd010010	AnyState	Move3	0
MeRiderMd010010	Stand2	Standchange	0
MeRiderMd010010	Stand2	Run	0
MeRiderMd010010	Stand2	Walk	0
MeRiderMd010010	Stand1	Run	0
MeRiderMd010010	Stand1	Walk	0
MeRiderMd010010	Standchange	Stand1	0
MeRiderMd010010	Standchange	Run	0
MeRiderMd010010	Standchange	Walk	0
MeRiderMd010010	Run	Stand2	0
MeRiderMd010010	Walk	Stand2	0
MeRiderMd010010	Hit1	Stand2	0
MeRiderMd010010	Hit2	Stand2	0
MeRiderMd010010	Behitfly	Hover	0
MeRiderMd010010	Behitfly	Falldown	0
MeRiderMd010010	Hover	HoverHit	0
MeRiderMd010010	Hoverhit	Hover	0
MeRiderMd010010	Falldown	Lieonfloor	0
MeRiderMd010010	Hitdown	Lieonfloor	0
MeRiderMd010010	Lieonfloor	Standup	0
MeRiderMd010010	Standup	Stand2	0
MeRiderMd010010	Straight	Stand2	0
MeRiderMd010010	Stun	Stand2	0
MeRiderMd010010	TurnLeft	Stand2	0
MeRiderMd010010	TurnRight	Stand2	0
