Id	Type	Time	HoverTime	ImmuneHitTime	Speed	MoveTime	HitFlyHeight1	HitFlyHeight2	HitFlyTime1	HitFlyTime2	HitFlyTime3	OriginType	ImmuneHitValue	Acceleration
205021021	1	1	0.3									1	0	
205061011	1	1	0.3									1	0	
205099041	1	1	0.3									1	0	
205100031	1	1	0.3									1	0	
205102011	1	1	0.3									1	0	
206005051	4	1	0.3	2	10	0.1						1	3	
206201031	1	1	0.3									1	0	
206308041	1	1	0.3									1	0	
206311071	1	1	0.3									1	0	
206311101	1	1	0.3									1	0	
206312071	1	1	0.3									1	0	
100201011	1	1	0.3									1	0	
100202011	1	1	0.3									1	0	
100203011	1	1	0.3									1	0	
100204011	3	1	0.3		2	1	1.2	0.25	0.2	0.6	0.2	1	3	-1
100205011	3	1	0.3		2	1	1.3	0.25	0.2	0.6	0.2	1	3	-1
100206011	3	1	0.3		2	1	1.5	0.25	0.2	0.6	0.2	1	3	-1
100207041	1	1	0.3									1	0	
100207051	1	1.2	0.3									1	0	
100208011	1	1	0.3		5	0.1						0	0	
100209011	2	1	0.3		5	0.1						0	0	
100209021	6	1	0.3		5	0.1						0		
100210011	1	1	0.3		5	0.1						0	0	
100211011	6	1	0.3									0		
100212011	1	1	0.3									0	0	
100212021	1	1	0.3									0	0	
100213011	3	1	0.3		2	1	1	0.25	0.2	0.6	0.2	0	3	
100214011	1	1	0.3		3	0.1						1	0	
100214031	1	1	0.3		3	0.1						1	0	
100215011	2	1	0.3		3	0.1						1	0	
100215031	2	1	0.3		3	0.1						1	0	
100216011	1	1	0.3		2	0.1						1	0	
100216031	1	1	0.3		2	0.1						1	0	
100216061	6	1	0.3		3	0.1						1		
100217021	5	1	0.3		5	0.1						1		
100220041	1	1	0.3		10							1	0	0.1
100221041	1	1	0.3		10							1	0	0.1
100222041	1	1	0.3		10							1	0	0.1
100224011	1	1	0.3									1	0	
100225011	1	1	0.3									1	0	
100225021	1	1	0.3									1	0	
100225061	2	1	0.3									1	0	
100225071	2	1	0.3									1	0	
100225111	2	1	0.3									1	0	
100225121	2	1	0.3									1	0	
100225131	5	1	0.3									1		
100225171	6	1	0.3									1		
100230031	2	1	0.3									0	0	
100230041	6	1	0.3		5	0.1						0		
100231011	1	1	0.3		5	0.1						0	0	
100232011	1	1	0.3		3	0.1						1	0	
100232031	1	1	0.3		3	0.1						1	0	
