Id	Type	Time	HoverTime	ImmuneHitTime	Speed	MoveTime	HitFlyHeight1	HitFlyHeight2	HitFlyTime1	HitFlyTime2	HitFlyTime3	OriginType	ImmuneHitValue	Acceleration
100601011	6	1.3	0.3		5	0.1						1		
100602011	5	1.3	0.3		6	0.1						1		
100602021	5	1.3	0.3		6	0.1						1		
100603011	6	1.3	0.3		8	0.1						1		
100604011	4	1.3	0.3	2	12	0.2						1	3	-8
100605011	4	1.3	0.3	2	8	0.4						1	3	-5.5
100606011	4	1.3	0.3	2	8	0.4						1	3	-5.5
100607011	4	1.3	0.3	2	8	0.4						1	3	-5.5
100607021	3	1	0.3				1.2	0.25	0.2	0.6	0.2	1	3	
100611011	1	1.3	0.3									1	0	
100611021	2	1.3	0.3									1	0	
100611031	6	1.3	0.3									1		
100612011	1	1.3	0.3									1	0	
100612021	2	1.3	0.3									1	0	
100612031	6	1.3	0.3									1		
100613011	1	1.3	0.3									1	0	
100613021	2	1.3	0.3									1	0	
100613031	6	1.3	0.3									1		
100613081	3	1	0.3				1.2	0.25	0.2	0.6	0.2	1	3	
100614011	5	1.3	0.3									1		
100614021	4	1.3	0.3	2	8	0.2						1	3	-10
100617011	6	1	0.3		10	0.25						1		-5
100617101	3	1	0.3		5	1	1.2	0.25	0.2	0.6	0.2	1	3	-5
100621011	3	1	0.2		3	0.5	1	0.25	0.2	0.6	0.2	1	3	
100621021	3	0.7	0.2		20	0.6	1	0.25	0.2	0.3	0.2	1	3	-30
100622011	4	1	0.3	2	8	0.2						1	3	-10
100622021	3	1	0.3				1.2	0.25	0.2	0.6	0.2	1	3	
101101011	2	1	0.3									1	0	
101101021	1	1	0.3									1	0	
101101031	1	1	0.3									1	0	
101102011	1	1	0.3									1	0	
101103011	1	1	0.3									1	0	
101103021	2	1	0.3									1	0	
101103031	5	1	0.3		5	0.1						1		
101103061	1	1	0.3									1	0	
101104011	1	1	0.3									1	0	
101104021	2	1	0.3									1	0	
101104031	1	1	0.3									1	0	
101104041	2	1	0.3									1	0	
101104051	1	1	0.3									1	0	
101105011	1	1	0.3									1	0	
101105021	2	1	0.3									1	0	
101105031	1	1	0.3									1	0	
101105041	2	1	0.3									1	0	
101105051	1	1	0.3									1	0	
101106011	5	1	0.3									1		
101107011	1	1	0.3									1	0	
101108011	1	1	0.3									1	0	
101109011	1	1	0.3									1	0	
101110011	5	1	0.3									1		
101110061	1	1	0.3									1	0	
101111011	5	1	0.3									1		
101111061	1	1	0.3									1	0	
101112011	5	1	0.3									1		
101112061	1	1	0.3									1	0	
101113011	1	1	0.3									1	0	
101113021	1	1	0.3									1	0	
101113031	5	1	0.3		10	0.1						1		-50
101113141	1	1	0.3									1	0	
101113161	1	1	0.3									1	0	
101113181	1	1	0.3									1	0	
101113201	1	1	0.3									1	0	
101113221	1	1	0.3									1	0	
101113241	1	1	0.3									1	0	
101114011	1	1	0.3									1	0	
101114021	1	1	0.3									1	0	
101114031	5	1	0.3		10	0.1						1		-50
101114141	1	1	0.3									1	0	
101114161	1	1	0.3									1	0	
101114181	1	1	0.3									1	0	
101114201	1	1	0.3									1	0	
101114221	1	1	0.3									1	0	
101114241	1	1	0.3									1	0	
101115011	1	1	0.3									1	0	
101115021	1	1	0.3									1	0	
101115031	5	1	0.3		10	0.1						1		-50
101115141	1	1	0.3									1	0	
101115161	1	1	0.3									1	0	
101115181	1	1	0.3									1	0	
101115201	1	1	0.3									1	0	
101115221	1	1	0.3									1	0	
101115241	1	1	0.3									1	0	
101116031	7	1	0.3									1		
101120011	5	1	0.3									1		
101120061	1	1	0.3									1	0	
101122011	1	1	0.3									1	0	
101122021	1	1	0.3									1	0	
101122031	1	1	0.3									1	0	
101122041	1	1	0.3									1	0	
101122051	1	1	0.3									1	0	
101122061	1	1	0.3									1	0	
101123011	1	1	0.3									1	0	
101123021	1	1	0.3									1	0	
100301011	1	1	0.3									0	0	
100302011	2	1	0.3									0	0	
100303011	2	1	0.3									0	0	
100303021	1	1	0.3									0	0	
100304011	1	1	0.3									0	0	
100305011	1	1	0.3									0	0	
100305021	2	1	0.3									0	0	
100305031	1	1	0.3									0	0	
100305041	1	1	0.3									0	0	
100306071	6	1	0.3									1		
100307071	6	1	0.3									1		
100308071	6	1	0.3									1		
100309011	5	1	0.3									1		
100310011	5	1	0.3									1		
100311011	5	1	0.3									1		
100312031	5	1	0.3									1		
100313031	5	1.2	0.3									1		
100314031	5	1.6	0.3									1		
100315061	1	1	0.3									1	0	
100315071	1	1	0.3									1	0	
100315081	1	1	0.3									1	0	
100316031	5	1.6	0.3									1		
100318021	1	1	0.3									1	0	
100323071	1	1	0.3									1	0	
102601011	3	1	0.3				0.7	0.25	0.2	0.6	0.2	1	3	
102602011	2	1	0.3									1	0	
102602021	1	1	0.3									1	0	
102603011	1	1	0.3									1	0	
102603021	2	1	0.3									1	0	
102604011	1	1	0.3									1	0	
102607011	2	1	0.3									1	0	
102607021	1	1	0.3									1	0	
102607031	3	1	0.3				0.5	0.25	0.2	0.6	0.2	1	3	
102607041	4	1	0	2	2	0.4						1	3	
102608011	2	1	0.3									1	0	
102608021	1	1	0.3									1	0	
102608031	3	1	0.3				0.5	0.25	0.2	0.6	0.2	1	3	
102608041	4	1	0	2	2	0.4						1	3	
102609011	2	1	0.3									1	0	
102609021	1	1	0.3									1	0	
102609031	3	1	0.3				0.5	0.25	0.2	0.6	0.2	1	3	
102609041	4	1	0	2	2	0.4						1	3	
102610011	1	1	0.3									1	0	
102610021	1	1	0.3									1	0	
102611011	1	1	0.3									1	0	
102611021	1	1	0.3									1	0	
102612011	1	1	0.3									1	0	
102612021	1	1	0.3									1	0	
102613011	3	1	0.3				0.6	0.25	0.2	0.6	0.2	1	3	
102613021	3	0.6	0.2		20	0.6	1	0.25	0.2	0.2	0.2	1	3	-30
102614011	3	1	0.3				0.6	0.25	0.2	0.6	0.2	1	3	
102614021	3	0.6	0.2		20	0.6	1	0.25	0.2	0.2	0.2	1	3	-30
102615011	3	1	0.3				0.6	0.25	0.2	0.6	0.2	1	3	
102615021	3	0.6	0.2		20	0.6	1	0.25	0.2	0.2	0.2	1	3	-30
102617011	5	1	0.3									1		
102618021	5	1	0.3									1		
102618061	1	1	0.3									1	0	
102619011	5	1	0.3									1		
102620011	2	1	0.3									1	0	
102620021	1	1	0.3									1	0	
102620031	3	1	0.3				0.5	0.25	0.2	0.6	0.2	1	3	
102620041	4	1	0.3	2	2	0.4						1	3	
102621011	6	1	0.3									1		
102622011	2	1	0.3									1	0	
102622021	2	1	0.3									1	0	
102623011	2	1	0.3									1	0	
102623021	2	1	0.3									1	0	
102624011	1	1	0.3									1	0	
102625011	2	1	0.3									1	0	
102628011	3	1	0.3				0.7	0.25	0.2	0.6	0.2	1	3	
102628061	3	0.7	0.2		20	0.6	1	0.25	0.2	0.3	0.2	1	3	-30
101201011	6	1	0.3									0		
101202011	2	1	0.3									0	0	
101202021	1	1	0.3									0	0	
101203011	5	1	0.3									0		
101204011	6	1	0.3									0		
101205011	1	1	0.3									0	0	
101205021	2	1	0.3									0	0	
101206011	1	1	0.3									0	0	
101207011	1	1	0.3									0	0	
101207021	2	1	0.3									0	0	
101207031	1	1	0.3									0	0	
101207041	2	1	0.3									0	0	
101207051	1	1	0.3									0	0	
101208011	1	1	0.3									0	0	
101208021	2	1	0.3									0	0	
101208031	1	1	0.3									0	0	
101208041	2	1	0.3									0	0	
101208051	1	1	0.3									0	0	
101209011	1	1	0.3									0	0	
101209021	2	1	0.3									0	0	
101209031	1	1	0.3									0	0	
101209041	2	1	0.3									0	0	
101209051	1	1	0.3									0	0	
101209061	6	1	0.3									0		
101210021	1	1	0.3									1	0	
101210031	2	1	0.3									1	0	
101211021	1	1	0.3									1	0	
101211031	2	1	0.3									1	0	
101212021	1	1	0.3									1	0	
101212031	2	1	0.3									1	0	
101213021	2	1	0.3									1	0	
101214021	2	1	0.3									1	0	
101215021	2	1	0.3									1	0	
101217021	2	1	0.3									1	0	
101218071	1	1	0.3									1	0	
101218081	2	1	0.3									1	0	
101218091	5	1	0.3		2	0.1						1		
101218101	2	1	0.3									1	0	
101218111	1	1	0.3									1	0	
101218121	2	1	0.3									1	0	
101218131	1	1	0.3									1	0	
101218141	5	1	0.3									1		
101218151	3	1	0.3				1.5	0.1	0.5	0.1	0.4	1	3	
101225011	1	1	0.3									0	0	
101225031	1	1	0.3									0	0	
101225041	1	1	0.3									0	0	
101226011	2	1	0.3									0	0	
101226021	2	1	0.3									0	0	
101226041	2	1	0.3									0	0	
101226051	2	1	0.3									0	0	
101227011	5	1	0.3									0		
101227031	1	1	0.3									0	0	
101227041	1	1	0.3									0	0	
101228011	6	1	0.3									0		
101228031	2	1	0.3									0	0	
101228041	2	1	0.3									0	0	
101229011	1	1	0.3									0	0	
101229021	2	1	0.3									0	0	
101229041	1	1	0.3									0	0	
101229051	2	1	0.3									0	0	
101230011	1	1	0.3									0	0	
101230071	1	1	0.3									0	0	
101230081	2	1	0.3									0	0	
101231011	1	1	0.3									1	0	
101231021	2	1	0.3									1	0	
101231031	1	1	0.3									1	0	
101231041	2	1	0.3									1	0	
101231051	1	1	0.3									1	0	
101231101	1	1	0.3									1	0	
101232011	1	1	0.3									1	0	
101232021	2	1	0.3									1	0	
101232031	1	1	0.3									1	0	
101232041	2	1	0.3									1	0	
101232051	1	1	0.3									1	0	
101232101	1	1	0.3									1	0	
101233011	1	1	0.3									1	0	
101233021	2	1	0.3									1	0	
101233031	1	1	0.3									1	0	
101233041	2	1	0.3									1	0	
101233051	1	1	0.3									1	0	
101233061	6	1	0.3									1		
101233121	1	1	0.3									1	0	
101234021	1	1	0.3									1	0	
101234031	2	1	0.3									1	0	
101234091	1	1	0.3									1	0	
101235021	1	1	0.3									1	0	
101235031	2	1	0.3									1	0	
101235091	1	1	0.3									1	0	
101236021	1	1	0.3									1	0	
101236031	2	1	0.3									1	0	
101236091	1	1	0.3									1	0	
101237021	2	1	0.3									1	0	
101237091	1	1	0.3									1	0	
101238021	2	1	0.3									1	0	
101238091	1	1	0.3									1	0	
101239021	2	1	0.3									1	0	
101239091	1	1	0.3									1	0	
101240011	6	1	0.3									0		
101241011	1	1	0.3									0	0	
101241031	1	1	0.3									0	0	
101241041	1	1	0.3									0	0	
