Id	Type	Time	HoverTime	ImmuneHitTime	Speed	MoveTime	HitFlyHeight1	HitFlyHeight2	HitFlyTime1	HitFlyTime2	HitFlyTime3	OriginType	ImmuneHitValue	Acceleration
971000101	3	1	0.2		300	1	1	0.25	0.1	0.7	0.2	1	1	100
903901011	6	0.6	0.2		2	0.6						1		-1.5
903902011	5	0.6	0.2									1		
903903011	3	0.8	0.2		2	0.8	0.6	0.25	0.1	0.5	0.2	1	1	-1
903904011	4	0.4	0.2	2	25	0.5						1	3	-25
903905021	3	0.8	0.2		10	0.8	2	0.25	0.1	0.5	0.2	1	1	
821300021	2	0.6	0									1	0	
821301011	4	0.5	0	2	10	0.5						1	3	-10
821302011	4	0.5	0.2	2	10	0.5						1	3	-10
821303011	4	0.5	0	2	10	0.5						1	3	-10
821304011	4	0.5	0	2	10	0.5						1	3	-10
821401011	4	0.5	0	2	10	0.5						1	3	-10
821500021	2	0.6	0.2									1	0	
821501011	4	0.5	0	2	10	0.5						1	3	
821501021	4	0.5	0	2	10	0.5						1	3	
821503121	1	0.2	0									1	0	
821504011	4	0.5	0	2	15	0.5						1	3	
821506011	3	0.5	0		15	0.5	0.5	0.25	0.1	0.2	0.2	1	1	10
821510021	2	0.6	0		0	0.6						1	0	
821513011	4	0.5	0	2	10	0.5						1	3	
821513021	4	0.5	0	2	10	0.5						1	3	
201401011	2	0.6	0.2									1	0	
