Id	Type	Time	HoverTime	ImmuneHitTime	Speed	MoveTime	HitFlyHeight1	HitFlyHeight2	HitFlyTime1	HitFlyTime2	HitFlyTime3	OriginType	ImmuneHitValue	Acceleration
870101031	1	0.2	0.2									1	0	
870102031	1	0.2	0.2									1	0	
870103041	1	0.6	0.2									1	0	
870103131	1	0.6	0.2									1	0	
870104031	1	0.6	0.2									1	0	
870107081	4	0.8	0.2	2	10	0.8						1	3	5
870111031	4	0.8	0.2	2	10	0.8						1	3	5
870202121	1	0.6	0.2									1	0	
870301011	1	0.6	0.2									1	0	
870302011	1	0.6	0.2									1	0	
870303011	1	0.6	0.2									1	0	
870304011	1	0.6	0.2									1	0	
873101041	5	0.6	0.2		1	1						1		0
873102031	4	0.6	0.2	2	5	0.6						1	3	0
873103021	5	0.6	0.2		1	1						1		0
873103061	3	0.6	0.2		4	0.6	1	0.25	0.1	0.3	0.2	1	1	-1
873103101	4	0.6	0.2	2	4	0.6						1	3	-1
873105061	5	0.6	0.2		0	0						1		0
873105081	3	0.6	0.2		4	0.6	1	0.25	0.1	0.3	0.2	1	1	-1
873106101	1	0.6	0.2									1	0	
873107061	4	0.8	0.2	2	10	0.4						1	3	-10
873107081	4	0.8	0.2	2	10	0.4						1	3	-10
873108021	5	0.6	0.2									1		
873108041	6	0.6	0.2									1		
873108081	3	0.6	0.2		5	0.6	1	0.25	0.1	0.3	0.2	1	1	5
873109061	4	0.8	0.2	2	5	0.8						1	3	5
873110021	6	0.6	0.2									1		
873110041	5	0.6	0.2									1		
873110051	4	0.6	0.2	2	5	0.6						1	3	5
873113041	3	0.6	0.2		5	0.6	1	0.25	0.1	0.3	0.2	1	1	5
873301061	5	0.7	0.2		15	0.2						1		-8
873301071	3	0.7	0.2		30	0.7	1.5	0.25	0.1	0.4	0.2	1	1	-30
873302011	5	1	0.2									1		
873302021	2	0.7	0.2									1	0	
873303011	6	0.7	0.2									1		
873303021	5	0.7	0.2									1		
873303031	4	0.7	0.2	2	15	0.7						1	3	-8
873304011	6	0.7	0.2									1		
873304021	5	0.7	0.2									1		
873304031	6	0.7	0.2									1		
873304041	4	0.7	0.2	2	20	0.7						1	3	-20
873304051	6	0.7	0.2									1		
873304061	6	0.7	0.2									1		
873305011	5	0.7	0.2		6	0.1						1		-6
873305021	2	0.7	0.2		6	0.1						1	0	-6
873305031	1	0.7	0.2		6	0.1						1	0	-6
873305041	4	0.7	0.2	2	15	0.7						1	3	-8
873306151	5	0.7	0.2		15	0.2						1		-8
873307051	5	0.7	0.2									1		
873307061	2	0.7	0.2		6	0.1						1	0	-6
873311011	3	0.5	0.7		10	0.4	2	0.25	0.1	0.2	0.2	1	1	
873312011	5	0.8	0.5									1		
873312021	6	0.8	0.5									1		
873312031	5	0.8	0.5									1		
873312041	6	0.8	0.5									1		
873312051	5	0.8	0.5									1		
873315011	5	0.7	0.2									1		
873315021	3	0.7	0.2				1	0.25	0.1	0.4	0.2	1	1	
873315031	3	0.7	0.2		30	0.7	1	0.25	0.1	0.4	0.2	1	1	-25
873316011	3	0.5	0.7		10	0.4	2	0.25	0.1	0.2	0.2	1	1	
873316021	3	0.5	0.7		10	0.4	2	0.25	0.1	0.2	0.2	1	1	
873316031	3	0.5	0.7		10	0.4	2	0.25	0.1	0.2	0.2	1	1	
