Id	Type	Time	HoverTime	ImmuneHitTime	Speed	MoveTime	HitFlyHeight1	HitFlyHeight2	HitFlyTime1	HitFlyTime2	HitFlyTime3	OriginType	ImmuneHitValue	Acceleration
900200021	6	0.5	0.2									1		
900400011	1	0.5	0.2									1	0	
900050011	1	0.5	0.2									1	0	
900050021	2	0.5	0.2									1	0	
900050031	3	0.5	0.2				1.5	0.25	0.1	0.2	0.2	1	1	
900050041	4	0.5	0.2	2								1	3	
900050051	4	0.5	0.2	2								1	3	
970701011	1	0.7	0.2		5	0.2						1	0	
970701021	1	0.7	0.2		5	0.2						1	0	
970701031	1	0.7	0.2		5	0.2						1	0	
970701041	1	0.7	0.2		5	0.2						1	0	
970701051	1	0.7	0.2		5	0.2						1	0	
970702011	3	0.4	0.2		50	0.5	0.4	0.25	0.1	0.1	0.2	1	1	-80
970703011	4	1	0.2	2	10	0.05						1	3	
970705011	1	0.9	0.2									1	0	
970706011	3	0.4	0.2		50	0.5	0.4	0.25	0.1	0.1	0.2	1	1	-80
812001011	1	0.7	0.2		5	0.2						1	0	
812001021	2	0.7	0.2		5	0.2						1	0	
812001031	1	0.7	0.2		5	0.2						1	0	
812001041	2	0.7	0.2		5	0.2						1	0	
812001051	1	0.7	0.2		5	0.2						1	0	
812001081	1	0.7	0.2		5	0.2						1	0	
812001091	2	0.7	0.2		5	0.2						1	0	
812001101	1	0.7	0.2		5	0.2						1	0	
812001111	2	0.7	0.2		5	0.2						1	0	
812001121	1	0.7	0.2		5	0.2						1	0	
812001131	2	0.7	0.2		5	0.2						1	0	
812001141	1	0.7	0.2		5	0.2						1	0	
812001151	2	0.7	0.2		5	0.2						1	0	
812001161	1	0.7	0.2		5	0.2						1	0	
812001171	2	0.7	0.2		5	0.2						1	0	
812001181	1	0.7	0.2		5	0.2						1	0	
812001191	2	0.7	0.2		5	0.2						1	0	
812001201	1	0.7	0.2		5	0.2						1	0	
812001211	2	0.7	0.2		5	0.2						1	0	
812001221	1	0.7	0.2		5	0.2						1	0	
812001231	2	0.7	0.2		5	0.2						1	0	
812001241	1	0.7	0.2		5	0.2						1	0	
812001251	2	0.7	0.2		5	0.2						1	0	
812001261	1	0.7	0.2		5	0.2						1	0	
812001271	2	0.7	0.2		5	0.2						1	0	
812002011	3	0.4	0.2		50	0.5	0.4	0.25	0.1	0.1	0.2	1	1	-80
812003011	4	1	0.2	2	10	0.05						1	3	
812005011	1	0.9	0.2									1	0	
812006011	3	0.4	0.2		50	0.5	0.4	0.25	0.1	0.1	0.2	1	1	-80
812011011	3	0.5	0.2		10	0.5	1.2	0.25	0.1	0.2	0.2	1	1	
812013011	3	0.5	0.2		10	0.5	1.2	0.25	0.1	0.2	0.2	1	1	
812013031	3	0.5	0.2		10	0.5	1.2	0.25	0.1	0.2	0.2	1	1	
812013051	3	0.5	0.2		10	0.5	1.2	0.25	0.1	0.2	0.2	1	1	
812015111	3	0.5	0.2		10	0.5	1.2	0.25	0.1	0.2	0.2	1	1	
812015121	3	0.5	0.2		10	0.5	1.2	0.25	0.1	0.2	0.2	1	1	
812015131	3	0.5	0.2		10	0.5	1.2	0.25	0.1	0.2	0.2	1	1	
811011011	1	0.5	0.2									1	0	
811012011	1	0.5	0.2									1	0	
811001011	1	0.5	0.2									1	0	
811002011	1	0.5	0.2									1	0	
811021011	3	0.6	0.2		20	0.3	0.4	0.25	0.1	0.3	0.2	1	1	
811022011	1	0.2	0.2									1	0	
811022021	2	0.2	0.2									1	0	
811023011	5	0.5	0.2									1		
811026121	1	0.5	0.2									1	0	
811028011	1	0.5	0.2									1	0	
811028021	2	0.5	0.2									1	0	
811211011	1	0.5	0.2									1	0	
811212011	1	0.5	0.2									1	0	
811201011	1	0.5	0.2									1	0	
811202011	1	0.5	0.2									1	0	
811221011	3	0.6	0.2		20	0.3	0.4	0.25	0.1	0.3	0.2	1	1	
811222011	1	0.2	0.2									1	0	
811222021	2	0.2	0.2									1	0	
811223011	5	0.5	0.2									1		
811226121	1	0.5	0.2									1	0	
811228011	1	0.5	0.2									1	0	
811228021	2	0.5	0.2									1	0	
