Id	Icon	LinkEffect	ReleaseEffect	ExEffect
815061	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconGeneral11.png	FxUiBallLinkRed	FxUi009	FxUijixianshanbi
815062	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconGeneral21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
815063	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconGeneral31.png	FxUiBallLinkYellow	FxUi009	FxUijixianshanbi
815071	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR3Shenwei11.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
815072	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR3Shenwei21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
815073	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR3Shenwei31.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
816061	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconGeneral11.png	FxUiBallLinkRed	FxUi009	FxUijixianshanbi
816062	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconGeneral21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
816063	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconGeneral31.png	FxUiBallLinkYellow	FxUi009	FxUijixianshanbi
816071	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR3Shenwei11.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
816072	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR3Shenwei21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
816073	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR3Shenwei31.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
817061	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconGeneral11.png	FxUiBallLinkRed	FxUi009	FxUijixianshanbi
817062	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconGeneral21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
817063	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconGeneral31.png	FxUiBallLinkYellow	FxUi009	FxUijixianshanbi
818061	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR1Lifu11.png	FxUiBallLinkRed	FxUi009	FxUijixianshanbi
818062	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR1Lifu21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
818063	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR1Lifu31.png	FxUiBallLinkYellow	FxUi009	FxUijixianshanbi
819061	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR1Lifu11.png	FxUiBallLinkRed	FxUi009	FxUijixianshanbi
819062	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR1Lifu21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
819063	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR1Lifu31.png	FxUiBallLinkYellow	FxUi009	FxUijixianshanbi
831061	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR1Lifu11.png	FxUiBallLinkRed	FxUi009	FxUijixianshanbi
831062	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR1Lifu21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
831063	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR1Lifu31.png	FxUiBallLinkYellow	FxUi009	FxUijixianshanbi
832062	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR1Lifu11.png	FxUiBallLinkRed	FxUi009	FxUijixianshanbi
832063	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR1Lifu21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
832064	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR1Lifu31.png	FxUiBallLinkYellow	FxUi009	FxUijixianshanbi
832065	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR3Shenwei11.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
832066	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR3Shenwei21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
832067	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR3Shenwei31.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
