Id	Name	SkillType	CastTime	AfterTime	Animation	FinalMagicIds	Cd	DistNoTarget	SkillMoveType	DistAbort	SkillMoveTrackDistance	MissileLockTarget	SkillFaceType	DodgeLimitTime
100201	红球1消	11	0.6	1	Attack11	100227		10	2		2	0	0	
100202	红球2消	12	0.6	1	Attack11	100227		10	2		2	0	0	
100203	红球3消	13	0.6	1	Attack11	100227		10	2		2	0	0	
100204	黄球1消	31	0.45	0.85	Attack31			10	2		2	0	0	
100205	黄球2消	32	0.45	0.85	Attack31			10	2		2	0	0	
100206	黄球3消	33	0.45	0.85	Attack31			10	2		2	0	0	
100207	大招	2	4	0.4	Attack51			10	2		2	0	0	
100208	普攻	1	0.5	1.2	Attack01			10	2		2	0	0	
100209	普攻	1	0.8	1	Attack02			10	2		2	0	0	
100210	普攻	1	0.5	0.9	Attack03			10	2		2	0	0	
100211	普攻	1	0.6	0.9	Attack04			10	2		2	0	0	
100212	普攻	1	0.6	0.9	Attack05			10	2		2	0	0	
100213	普攻	1	0.7	0.8	Attack06	100227		10	2		2	0	0	
100214	特殊攻击	1	0.65	1.1	Attack41			10	2		2	0	0	
100215	特殊攻击	1	0.65	1	Attack42			10	2		2	0	0	
100216	特殊攻击	1	1.15	0.85	Attack43			10	2		2	0	0	
100217	特殊攻击	1	0.5	0.85	Attack44	100227		10	2		2	0	0	
100218	胜利	8	100	0	Win			10	2		2	0	0	
100219	出生动作	4	0	3.7	Born			10	2		2	0	0	
100220	蓝球1消	21	0.4	0.8	Attack21			10	2		2	0	0	
100221	蓝球2消	22	0.4	0.8	Attack21			10	2		2	0	0	
100222	蓝球3消	23	0.4	0.8	Attack21			10	2		2	0	0	
100223	胜利2	8	100	0	Win2			10	2		2	0	0	
100224	出场技	3	0.6	1	Attack11	100227		10	2		2	0	0	
100225	援助技能（双刀一套）	7	3.6	0	AttackQte			10	2		2	0	0	
100226	闪避	5	0.4	0.9	Move1	100094|100227		10	2		2	0	0	0.4
100227	默认向后闪避	6	0.5	0.8	Move2	100094|100227		10	2		2	0	0	0.5
100228	闪避通用特效		0.5	0.4	Move1			10	2		2	0	0	
100229	交互动作	9	0	100	Save			10	2		2	0	0	
100230	刺杀动作	45	2	0.5	Attack07			10	2		2	0	0	
100231	普攻1（突进）	1	0.5	1.2	Attack01			10	2		2	0	0	
100232	双刀1（突进）	1	0.65	1.1	Attack41			10	2		2	0	0	
