Id	Name	SkillType	CastTime	AfterTime	Animation	FinalMagicIds	Cd	DistNoTarget	SkillMoveType	DistAbort	SkillMoveTrackDistance	MissileLockTarget	SkillFaceType	DodgeLimitTime
102201	普攻1	1	0.3	2.4	Attack01			10	2		2	0	0	
102202	普攻2	1	0.5	3.6	Attack02			10	2		2	0	0	
102203	普攻3	1	1	2.4	Attack03			10	2		2	0	0	
102204	普攻4	1	0.75	2.9	Attack04			10	2		2	0	0	
102205	普攻5	1	1.5	2.5	Attack05	102271|102273		10	2		2	0	0	
102206	普攻1(突进版）	1	0.3	2.4	Attack01			10	2		2	0	0	
102207	红球1消	11	1.3	1.65	Attack11	102271|102273|102276|102278		10	2		2	0	0	
102208	红球2消	12	1.3	1.65	Attack11	102271|102273|102276|102278		10	2		2	0	0	
102209	红球3消	13	1.3	1.65	Attack11	102271|102273|102276|102278		10	2		2	0	0	
102210	蓝球1消	21	0.5	2.6	Attack21			10	2		2	0	0	
102211	蓝球2消	22	0.5	2.6	Attack21			10	2		2	0	0	
102212	蓝球3消	23	0.5	2.6	Attack21			10	2		2	0	0	
102213	黄球1消	31	0.8	2.45	Attack31	102271|102273		10	2		2	0	0	
102214	黄球2消	32	0.8	2.45	Attack31	102271|102273		10	2		2	0	0	
102215	黄球3消	33	0.8	2.45	Attack31	102271|102273		10	2		2	0	0	
102216	大招	2	5.9	0.85	Attack51			10	2		2	0	0	
102217	闪避	5	0.4	0.6	Move1	100094|102280		10	2		2	0	0	0.4
102218	默认向后闪避	6	0.4	0.8	Move2	100094|102280		10	2		2	0	0	0.4
102219	出生动作	4	0	3.7	Born			10	2		2	0	0	
102220	出场技	3	1.3	1.45	Attack11	102271|102273|102276|102278		10	2		2	0	0	
102221	胜利	8	100	0	Win			10	2		2	0	0	
102222	胜利2	8	100	0	Win2			10	2		2	0	0	
102223	援助技能	7	3.15	0	AttackQte			10	2		2	0	0	
102224	特殊攻击1	41	0.5	0.9	Attack41	102278		10	2		2	0	4	
102225	特殊攻击2	42	0.4	1.35	Attack42	102278		10	2		2	0	4	
102226	特殊攻击3	43	0.5	1.7	Attack43	102278		10	2		2	0	4	
102227	特殊攻击4	44	0.35	1.65	Attack44	102278		10	2		2	0	4	
102228	闪避后普攻	1	0.6	2.4	Attack06	102280		10	2		2	0	0	
102229	交互技能	9	0	100	Save			10	2		2	0	0	
101501	普攻1	1	0.65	1	Attack01			10	2		2	0	0	
101502	普攻2	1	0.65	0.8	Attack02			10	2		2	0	0	
101503	普攻3	1	1	1.1	Attack03			10	2		2	0	0	
101504	普攻4	1	1.5	0.6	Attack04			10	2		2	0	0	
101505	红球1消	11	1.5	1.1	Attack11			10	2		2	0	0	
101506	红球2消	12	1.5	1.1	Attack11			10	2		2	0	0	
101507	红球3消	13	1.5	1.1	Attack11			10	2		2	0	0	
101508	蓝球1消	21	0.7	1.2	Attack21			10	5		2	0	0	
101509	蓝球2消	22	0.7	1.2	Attack21			10	5		2	0	0	
101510	蓝球3消	23	0.7	1.2	Attack21			10	5		2	0	0	
101511	黄球1消	31	0.85	1.05	Attack31			10	2		2	0	0	
101512	黄球2消	32	0.85	1.05	Attack31			10	2		2	0	0	
101513	黄球3消	33	0.85	1.05	Attack31			10	2		2	0	0	
101514	大招	2	2.1	0.9	Attack51	100092		10	2		2	0	0	
101515	闪避	5	0.4	1	Move1	101576		10	2		2	0	0	0.5
101516	默认向后闪避	6	0.4	1.1	Move2	101576		10	2		2	0	0	0.5
101517	出生动作	4	3.7	0	Born	101548		10	2		2	0	0	
101518	出场技	3	1.5	1.1	Attack11			10	2		2	0	0	
101519	胜利	8	100	0	Win	101548		10	2		2	0	0	
101520	胜利2	8	100	0	Win2			10	2		2	0	0	
101521	援助技能	7	2.7	0	AttackQte	101544|101546		10	2		2	0	0	
101522	交互技能	9	0	100	Save			10	2		2	0	0	
101523	普攻1（大招）	1	0.65	1	Attack01			10	2		2	0	0	
101524	普攻2（大招）	1	0.65	0.8	Attack02			10	2		2	0	0	
101525	普攻3（大招）	1	1	1.1	Attack03			10	2		2	0	0	
101526	普攻4（大招）	1	1.5	0.6	Attack04			10	2		2	0	0	
101527	突进-普攻1	1	0.45	1	Attack01			10	2		2	0	0	
101528	突进-普攻1（大招）	1	0.45	1	Attack01			10	2		2	0	0	
