Id	Name	SkillType	CastTime	AfterTime	Animation	FinalMagicIds	Cd	DistNoTarget	SkillMoveType	DistAbort	SkillMoveTrackDistance	MissileLockTarget	SkillFaceType	DodgeLimitTime
995101	震击		2.1	0	Attack02			10	2				0	
995102	慢速电球		1.3	0	Attack03			10	2				4	
995103	快速电球		2.3	0	Attack03			10	2				4	
995104	多重电阵		4	0	Attack01			10	2				1	
995105	电阵		2.6	0	Attack05			10	2				0	
995106	迸发		2.8	0	Attack06			10	2				2	
903701	远程普攻		2.2	0	Attack01			10	2				4	
903702	蓄力一击		1.3	0	Attack02			10	2				4	
903703	会心一击		2.2	0	Attack03			10	2			1	4	
903704	挥击		1.667	0	Attack04			10	2				4	
903705	灵活反击		1.5	0	Attack05			10	2				4	
903751	位移闪避-玩家操作		0.65	0	Attack05			10	2		0		0	
903752	位移闪避-玩家操作		0.65	0	Attack05			10	4		0		0	
903755	普通攻击-玩家操作		1	0.3	Attack02			10	2				4	
903756	普通攻击-玩家操作		1	0.3	Attack02			10	2				4	
903757	位移闪避-玩家操作		1	0.5	Attack05			10	4		0		0	
903761	挥舞弓-玩家操作		0.7	0.9	Attack04			10	2				4	
903762	远程三连发-玩家操作		1.7	0.5	Attack01			10	2				4	
903763	会心一击-玩家操作		2	0.7	Attack03			8	2			1	4	
904401	形态切换		3	0	Attack01			10	2				4	
904402	机枪扇形扫射		5.1	0	Attack02			10	2				4	
904403	机枪左扫射		5.1	0	Attack03			10	2				4	
904404	机枪右扫射		5.1	0	Attack04			10	2				4	
904405	天空投射		4.3	0	Attack05			10	2				4	
904406	压地冲击		4.3	0	Attack06			10	2				4	
904407	跳跃打击		1.4	0	Attack07			10	2				4	
904408	光球释放		3.9	0	Attack08			10	2				4	
904409	后压		0.9	0	Attack09			10	2				4	
904410	后压硬直		0.9	0	Attack11			10	2				4	
904411	后压起身		1.2	0	Attack12			10	2				4	
904412	正面机枪扫射		3.3	0	Attack13			10	2				4	
904413	正面火炮		1.7	0	Attack14			10	2				4	
904414	跳跃位移		1.4	0	Attack07			10	2				4	
903301	二连抓		2.067	0	Attack01			10	1				4	
903302	扑杀		1.633	0	Attack02			10	6				4	
903303	蓄能爪击		2	0	Attack03			10	1				4	
903304	后跳		0.667	0	Attack04			10	1				0	
903305	大扑杀		1.7	0	Attack05			10	3				4	
903306	疯狂		2.067	0	Attack07			10	0				1	
903307	晕		1.333	0	Attack06			10	0				0	
903308	前跳		0.667	0	Attack04			10	1				0	
903309	晕		999	0	Stun			10	0				0	
903310	扑向玩家		1.633	0	Attack02			10	6				4	
903401	前中挥击		1.667	0	Attack01			10	0				4	
903402	横扫加回旋		4.667	0	Attack02			10	6				4	
903403	旋转先手		0.8	0	Attack03			10	1				1	
903404	旋转		0.4	0	Attack04			10	4				0	
903405	旋转后手		0.967	0	Attack05			10	0				0	
903406	突刺		2.167	0	Attack06			10	4				1	
903407	空袭		2.667	0	Attack07			10	0				2	
903408	空袭-教学关用		2.667	0	Attack07			10	0				2	
903409	横扫回旋-教学关卡		4.667	0	Attack02			10	6				4	
902601	蓄力激光		6.267	0	Attack01			10	0				4	
902602	3束		1.9	0	Attack02			10	0				4	
902603	甩尾		1.83	0	Attack03			10	1				4	
902604	蓄能光球		2.167	0	Attack04			10	0				4	
902605	光球投射		1.633	0	Attack06			10	0				4	
902606	后跳		1.333	0	Attack07			10	1				4	
819006	二连击-第一段		2.367	0	Attack01			10	1				4	
819007	二连击-第二段		2.6	0	Attack02			10	1				4	
819008	半月斩		3.467	0	Attack45			10	1				4	
819009	快斩		1.467	0	Attack11			10	0				4	
819010	拔刀斩		2.367	0	Attack01	102270		10	4				4	
819011	突进旋风斩		2.1	0	Attack31			10	1				4	
819012	单剑气		1	0	Attack41			10	0				4	
819013	剑气爆发-第一段		1	0	Attack41			10	0				4	
819014	剑气爆发-第二段		1.267	0	Attack42			10	0				4	
819015	剑气爆发-第三段		1.4	0	Attack43			10	0				4	
819016	剑气爆发-第四段		1.367	0	Attack44			10	0				4	
819017	偏斜斩		2.433	0	Attack04			10	1				4	
819018	空间斩裂-大招		6.2	0	Attack51			10	0				4	
