Id	Name	SkillType	CastTime	AfterTime	Animation	FinalMagicIds	Cd	DistNoTarget	SkillMoveType	DistAbort	SkillMoveTrackDistance	MissileLockTarget	SkillFaceType	DodgeLimitTime
902301	360°旋转		999	0	Attack08			10	2		2		4	
902302			5	0	Attack08			10	2		2			
902303			6	0	Attack08			10	2		2		4	
902304	360°旋转 （双向）		999	0	Attack08			10	2		2		4	
902305			999	0	Attack08			10	2		2		4	
902306			999	0	Attack08			10	2		2		4	
902307			999	0	Attack08			10	2		2		4	
902308			999	0	Attack08			10	2		2		4	
902309			999	0	Attack08			10	2		2		4	
902310			999	0	Attack08			10	2		2		4	
902401			2.4	0	Attack01			10	2		2			
902402			4	0	Attack02			10	1		2			
970501	Skill-01-变身		3	0	Attack01			10	2		2		1	
970502	Skill-01-变身		3	0	Attack02			10	2		2		1	
970503	Skill-01-变身		3	0	Attack03			10	2		2		1	
970601	Skill-01-变身		3.9	0	Attack01			10	2		2		0	
970602	Skill-01-变身		2.3	0	Attack02			10	2		2	1	2	
970603	Skill-01-变身		4.17	0	Attack03			10	2		2		1	
970701	Skill-01-旋风斩	1	5.04	0	Attack01			10	2		2		1	
970702	Skill-02-剑风	1	2.7	0	Attack02			10	2		2		1	
970703	Skill-03-重劈斩	1	3.44	0	Attack03			10	2		2		1	
970704	Skill-04-瞬移	1	1	0	Attack04			10	2		1		1	
970705	Skill-05-横扫	1	2.94	0	Attack05			10	2		2		1	
970706	Skill-06-戳刺	1	2.77	0	Attack06			10	2		2		1	
970707	瘫痪-in	1	1	0	Attack07			10	2		2		1	
970708	瘫痪-loop	1	0.27	0	Attack08			10	2		2		1	
970709	瘫痪-out	1	1.5	0	Attack09			10	2		2		1	
812001	Skill-01-旋风斩		4.85	0	Attack01			10	4		2		1	
812002	Skill-02-剑风		2.7	0	Attack02			10	2		2		2	
812003	Skill-03-重劈斩		3.07	0	Attack13			10	2		2		1	
812004	Skill-04-瞬移		1	0	Attack04			10	2		1		1	
812005	Skill-05-横扫		2.97	0	Attack15			10	2		2		1	
812006	Skill-06-戳刺		2.6	0	Attack16			10	2		2		1	
812007	瘫痪-in		1.47	0	Attack07			10	2		2		1	
812008	瘫痪-loop		0.27	0	Attack08			10	2		2		1	
812009	瘫痪-out		1.74	0	Attack09			10	2		2		1	
812010	Skill-04-瞬移		1	0	Attack04			10	2		1		1	
812011	Skill-02-剑风		1	0	Attack02			10	2		2	1	1	
812012	Skill-03-瞬移（解除隐身）		1	0	Attack04			10	2		1		1	
812013	Skill-02-剑风		1	0	Attack02			10	2		2	1	1	
812014	Skill-04-瞬移		1	0	Attack04			10	2		1		1	
811001	R-01-右爪打中间		1.77	0	Attack02			10	2		2			
811002	R-02-右爪打右边		1.67	0	Attack14			10	2		2			
811011	L-01-左爪打中间		1.77	0	Attack01			10	2		2			
811012	L-02-左爪打左边		1.67	0	Attack15			10	2		2			
811003	L-03-左转30°		1.1	0	Attack23			10	2		2		4	
811004	L-04-左转90°		1.35	0	Attack26			10	2		2		4	
811005	L-05-左转180°		1.8	0	Attack22			10	2		2		4	
811013	R-03-右转30°		1.1	0	Attack19			10	2		2		4	
811014	R-04-右转90°		1.4	0	Attack25			10	2		2		4	
811015	R-05-右转180°		1.8	0	Attack21			10	2		2		4	
811021	M-01-前方挥砍		2.97	0	Attack03			10	2		2			
811022	M-02-机枪扫射		4.34	0	Attack04			10	2		2			
811023	M-03-怒吼		2.17	0	Attack05			10	2		2			
811024	M-04-跳跃		1.9	0	Attack06			10	2		2			
811025	M-05-全屏散弹		4	1	Attack16			10	2		2			
811026	M-06-爆裂导弹		2	0	Attack17			10	2		2			
811027	M-07-发怒		2.9	0	Attack18			10	2		2			
811028	M-08-瞬间炮击		1.54	0	Attack24			10	2		2	1	0	
811029	M-09-地狱火导弹		2	0	Attack17			10	2		2			
811101	L-01-左转45°		1	1	Attack27			10	2		2		4	
811102	L-02-左转90°		1.4	1	Attack29			10	2		2		4	
811103	L-03-左转135°		1.5	1	Attack32			10	2		2		4	
811104	L-04-左转180°		1.7	1	Attack34			10	2		2		4	
811121	M-01-出生动作		5.3	1	Attack07			10	2		2			
811122	M-02-机枪扫射		3.2	1	Attack08			10	2		2			
811123	M-03-上下激光		4.07	1	Attack09			10	2		2			
811124	M-04-环形激光		8.5	1	Attack10			10	2		2		4	
811125	M-05-朝天咆哮		3.34	1	Attack11			10	2		2			
811126	M-06-扇形激光		3.24	1	Attack12			10	2		2			
811127	M-07-爆裂导弹（强化版）		3.5	1	Attack13			10	2		2			
811128	M-08-全屏散弹（强化版）		3.34	1	Attack36			10	2		2			
811129	M-09-地狱火（强化版）		3.5	1	Attack13			10	2		2			
811131	瘫痪in		1.27	1	StraightBefore			10	2		2			
811132	瘫痪Loop		3	1	Straight			10	2		2			
811133	瘫痪out		2.04	1	StraightOut			10	2		2			
811111	R-01-右转45°		1	1	Attack28			10	2		2		4	
811112	R-02-右转90°		1.4	1	Attack31			10	2		2		4	
811113	R-03-右转135°		1.5	1	Attack33			10	2		2		4	
811114	R-04-右转180°		1.7	1	Attack35			10	2		2		4	
811201	R-01-右爪打中间		1.77	0	Attack02			10	2		2			
811202	R-02-右爪打右边		1.67	0	Attack14			10	2		2			
811211	L-01-左爪打中间		1.77	0	Attack01			10	2		2			
811212	L-02-左爪打左边		1.67	0	Attack15			10	2		2			
811203	L-03-左转30°		1.1	0	Attack23			10	2		2		4	
811204	L-04-左转90°		1.35	0	Attack26			10	2		2		4	
811205	L-05-左转180°		1.8	0	Attack22			10	2		2		4	
811213	R-03-右转30°		1.1	0	Attack19			10	2		2		4	
811214	R-04-右转90°		1.4	0	Attack25			10	2		2		4	
811215	R-05-右转180°		1.8	0	Attack21			10	2		2		4	
811221	M-01-前方挥砍		2.97	0	Attack03			10	2		2			
811222	M-02-机枪扫射		4.34	0	Attack04			10	2		2			
811223	M-03-怒吼		2.17	0	Attack05			10	2		2			
811224	M-04-跳跃		1.9	0	Attack06			10	2		2			
811225	M-05-全屏散弹		4	1	Attack16			10	2		2			
811226	M-06-爆裂导弹		2	0	Attack17			10	2		2			
811227	M-07-发怒		2.9	0	Attack18			10	2		2			
811228	M-08-瞬间炮击		1.54	0	Attack24			10	2		2	1	0	
811229	M-09-地狱火导弹		2	0	Attack17			10	2		2			
811301	L-01-左转45°		1	1	Attack27			10	2		2		4	
811302	L-02-左转90°		1.4	1	Attack29			10	2		2		4	
811303	L-03-左转135°		1.5	1	Attack32			10	2		2		4	
811304	L-04-左转180°		1.7	1	Attack34			10	2		2		4	
811321	M-01-出生动作		5.3	1	Attack07			10	2		2			
811322	M-02-机枪扫射		3.2	1	Attack08			10	2		2			
811323	M-03-上下激光		4.07	1	Attack09			10	2		2			
811324	M-04-环形激光		8.5	1	Attack10			10	2		2		4	
811325	M-05-朝天咆哮		3.34	1	Attack11			10	2		2			
811326	M-06-扇形激光		3.24	1	Attack12			10	2		2			
811327	M-07-爆裂导弹（强化版）		3.5	1	Attack13			10	2		2			
811328	M-08-全屏散弹（强化版）		3.34	1	Attack36			10	2		2			
811329	M-09-地狱火（强化版）		3.5	1	Attack13			10	2		2			
811331	瘫痪in		1.27	1	StraightBefore			10	2		2			
811332	瘫痪Loop		3	1	Straight			10	2		2			
811333	瘫痪out		2.04	1	StraightOut			10	2		2			
811311	R-01-右转45°		1	1	Attack28			10	2		2		4	
811312	R-02-右转90°		1.4	1	Attack31			10	2		2		4	
811313	R-03-右转135°		1.5	1	Attack33			10	2		2		4	
811314	R-04-右转180°		1.7	1	Attack35			10	2		2		4	
813000	切换物理形态		1.67	0	Born			10	2		2			
813001	物理三段式		2.07	0	Attack01			10	6		0		4	
813002	一闪		1	0	Attack06			10	6		2		4	
813003	恶魔之吻		2.44	0	Attack03			10	2		2	1		
813004	影袭		3.44	0	Attack04			10	2		2			
813010	切换烈焰形态		1.8	0	Attack08			10	2		2			
813011	烈焰三段式		4.27	0	Attack02			10	2		2			
813012	烈焰一闪		1	0	Attack06			10	6		2		4	
813013	地火		5	0	Attack05			10	2		2	1		
813014	前闪避		0.87	0	Attack07			10	4		2			
813015	后闪避		0.87	0	Attack07			10	4		2			
813016	力竭 in		0.4	0	Attack11			10	2		2			
813017	力竭 loop		3	0	Attack12			10	2		2			
813018	力竭 out		0.34	0	Attack13			10	2		2			
813020	切换黑暗形态		2.6	0	Born			10	2		2		1	
813021	黑暗三段式		2.1	0	Attack01			10	6		2		4	
813022	黑暗一闪		0.97	0	Attack03			10	6		2		4	
813023	黑暗侵蚀——遁入黑暗		0.6	0	Attack02			10	4		2			
813024	黑暗侵蚀——突袭		0.3	0	Attack04			10	4		2		2	
813025	黑暗侵蚀——回归		0.8	0	Attack05			10	2		1			
813026	暗影回避		0.64	0	Attack07			10	4		2	1		
813027	黑暗剑风		1	0	Attack06			10	2		1		4	
813033	恶魔之吻		2.44	0	Attack03			10	2		2			
813034	影袭		3.44	0	Attack04			10	2		2			
814001	普攻		3.47	0	Attack01			10	2		2		4	
814002	直线光束		1.54	0	Attack02			10	2		2		4	
814003	垂直光束		1.2	0	Attack03			10	2		2	1		
814004	呼唤毒圈		3	0	Attack04			10	2		2			
814005	全屏轰炸		4	0	Attack05			10	2		2			
814006	闪现		0.7	0	Attack06			10	2		0			
814007	高空形态 in		0.5	0	Attack07			10	2		2			
814008	高空形态 loop		999	0	Attack08			10	2		2			
814009	高空形态 out		0.5	0	Attack09			10	2		2			
814011	普攻 - 快速		2.1	0	Attack11			10	6		2		4	
814012	直线光束 -快速		1.2	0	Attack12			10	2		2			
814021	闪现		0.7	0	Attack06			10	2		0			
814022	闪现		0.7	0	Attack06			10	2		0			
814051	闪现		0.35	0.35	Attack06			10	2		0		0	
814052	闪现		0.35	0.35	Attack06			10	4		0		0	
814055	直线光束 -快速		1	0.2	Attack12			8	0		2		1	
814056	普攻 - 快速		1.5	0.6	Attack11			8	3		0		2	
814057	直线光束 -快速		0.8	0.4	Attack12			8	4		0		0	
814061	垂直光束		1.2	0.2	Attack03			8	2		2	1	1	
814062	呼唤毒圈		1.8	1.2	Attack04			3	2		2			
814063	全屏轰炸		3.2	0.8	Attack05			10	5		2		2	
814101	滚动		999	0				10	4		2			
